price,rooms,address
"$1,000 - 2,850",Studio - 2 Beds,"1736 W Randol Mill Rd, Arlington, TX 76012"
"$1,087 - 1,947",1-3 Beds,"2305 Windsprint Way, Arlington, TX 76014"
"$899 - 1,304",1-2 Beds,"2115 Park Springs Cir, Arlington, TX 76013"
"$849 - 1,280",1-2 Beds,"9001 Randol Mill Rd, Fort Worth, TX 76120"
"$831 - 2,793",Studio - 2 Beds,"8951 Randol Mill Rd, Fort Worth, TX 76120"
"$1,035 - 1,850",1-2 Beds,"9001 Meadowbrook Blvd, Fort Worth, TX 76120"
"$1,290 - 2,270",1-3 Beds,"300 Bardin Greene Dr, Arlington, TX 76018"
"$1,181 - 3,989",1-3 Beds,"3006 Franciscan Dr, Arlington, TX 76015"
"$1,285 - 2,423",1-3 Beds,"1601 W Arbrook Blvd, Arlington, TX 76015"
"$1,096 - 2,382",1-2 Beds,"811 NE Green Oaks Blvd, Arlington, TX 76006"
"$1,130 - 1,540",1-2 Beds,"711 Brentford Pl, Arlington, TX 76006"
"$909 - 1,464",1-3 Beds,"2910 S Collins St, Arlington, TX 76014"
"$1,097 - 2,178",1-2 Beds,"2105 Cottonwood Club Rd, Arlington, TX 76010"
"$925 - 1,880",1-3 Beds,"2502 Burney Oaks Ln, Arlington, TX 76006"
"$1,092 - 1,596",1-2 Beds,"1802 Wimbledon Oaks Ln, Arlington, TX 76017"
"$849 - 2,452",Studio - 3 Beds,"1224 E Lamar Blvd, Arlington, TX 76011"
"$1,049 - 1,700",1-2 Beds,"2014 Remington Dr, Arlington, TX 76010"
"$1,367 - 7,351",1-2 Beds,"425 E Lamar Blvd, Arlington, TX 76011"
"$1,700 - 2,861",1-2 Beds,"250 W Arbrook Blvd, Arlington, TX 76014"
"$1,400 - 3,185",1-3 Beds,"505 E Lamar Blvd, Arlington, TX 76011"
"$1,541 - 2,748",1-3 Beds,"735 Washington Dr, Arlington, TX 76011"
"$1,456 - 8,008",Studio - 3 Beds,"4151 Viridian Village Dr, Arlington, TX 76005"
"$1,385 - 2,500",Studio - 2 Beds,"2811 S Cooper St, Arlington, TX 76015"
"$1,408 - 3,000",Studio - 3 Beds,"3701 Dr. MLK Jr Dr, Arlington, TX 76014"
"$2,999 - 3,688",2-3 Beds,"3148 Misty Forest Way, Arlington, TX 76005"
"$927 - 1,769",1-2 Beds,"724 Polk Dr, Arlington, TX 76011"
