price,rooms,address
"$1,349 - 7,909",Studio - 3 Beds,"110 Jacob Fontaine Lane, Austin, TX 78752"
"$1,609 - 7,552",1-2 Beds,"11009 Alterra Pky, Austin, TX 78758"
"$1,350 - 2,330",1-2 Beds,"2511 Montopolis Dr, Austin, TX 78741"
"$1,449 - 2,930",1-2 Beds,"12100 Archeleta Blvd, Austin, TX 78739"
"$2,186 - 17,282",Studio - 3 Beds,"303 W 5th St, Austin, TX 78701"
"$1,340 - 2,045",1-2 Beds,"14115 N Highway 183, Austin, TX 78717"
"$1,450 - 3,650",Studio - 2 Beds,"9127 Research Blvd, Austin, TX 78758"
"$1,485 - 3,360",Studio - 2 Beds,"10801 N Mopac Expy, Austin, TX 78759"
"$1,292 - 3,386",1-3 Beds,"12217 N Interstate 35, Austin, TX 78753"
"$1,460 - 2,345",Studio - 2 Beds,"1900 E Parmer Ln, Austin, TX 78754"
"$1,422 - 3,185",1-3 Beds,"5511 Caprock Smt Dr, Austin, TX 78738"
"$1,475 - 2,512",Studio - 2 Beds,"12210 Tech Ridge Blvd, Austin, TX 78753"
"$1,199 - 3,587",Studio - 3 Beds,"9225 N Lake Creek Pky, Austin, TX 78717"
"$1,127 - 3,227",Studio - 2 Beds,"12001 Heatherly Dr, Austin, TX 78747"
"$1,220 - 3,149",Studio - 3 Beds,"6007 N Interstate 35, Austin, TX 78723"
"$1,619 - 1,825",2-4 Beds,"1301 Crossing Pl, Austin, TX 78741"
"$1,806 - 5,295",Studio - 2 Beds,"1515 S Lamar Blvd, Austin, TX 78704"
"$1,259 - 4,069",1-3 Beds,"5417 S Mo Pac Expy S, Austin, TX 78749"
"$1,318 - 2,484",1-4 Beds,"4500 Steiner Ranch Blvd, Austin, TX 78732"
"$1,206 - 1,842",1-2 Beds,"2611 Bee Caves Rd, Austin, TX 78746"
"$1,198 - 4,053",1-3 Beds,"6263 McNeil Dr, Austin, TX 78729"
"$1,740 - 5,683",1-3 Beds,"3050 Tamarron Blvd, Austin, TX 78746"
"$1,147 - 4,008",1-2 Beds,"13145 N Highway 183, Austin, TX 78750"
"$1,450 - 2,728",1-3 Beds,"801 Sugaree Ave, Austin, TX 78757"
"$1,442 - 5,145",Studio - 2 Beds,"1500 S Lamar Blvd, Austin, TX 78704"
"$999 - 1,700",1-3 Beds,"9200 North Plz, Austin, TX 78753"
"$1,349 - 7,909",Studio - 3 Beds,"110 Jacob Fontaine Lane, Austin, TX 78752"
"$1,609 - 7,552",1-2 Beds,"11009 Alterra Pky, Austin, TX 78758"
"$1,350 - 2,330",1-2 Beds,"2511 Montopolis Dr, Austin, TX 78741"
"$1,449 - 2,930",1-2 Beds,"12100 Archeleta Blvd, Austin, TX 78739"
"$2,186 - 17,282",Studio - 3 Beds,"303 W 5th St, Austin, TX 78701"
"$1,340 - 2,045",1-2 Beds,"14115 N Highway 183, Austin, TX 78717"
"$1,450 - 3,650",Studio - 2 Beds,"9127 Research Blvd, Austin, TX 78758"
"$1,485 - 3,360",Studio - 2 Beds,"10801 N Mopac Expy, Austin, TX 78759"
"$1,292 - 3,386",1-3 Beds,"12217 N Interstate 35, Austin, TX 78753"
"$1,460 - 2,345",Studio - 2 Beds,"1900 E Parmer Ln, Austin, TX 78754"
"$1,422 - 3,185",1-3 Beds,"5511 Caprock Smt Dr, Austin, TX 78738"
"$1,475 - 2,512",Studio - 2 Beds,"12210 Tech Ridge Blvd, Austin, TX 78753"
"$1,199 - 3,587",Studio - 3 Beds,"9225 N Lake Creek Pky, Austin, TX 78717"
"$1,127 - 3,227",Studio - 2 Beds,"12001 Heatherly Dr, Austin, TX 78747"
"$1,220 - 3,149",Studio - 3 Beds,"6007 N Interstate 35, Austin, TX 78723"
"$1,619 - 1,825",2-4 Beds,"1301 Crossing Pl, Austin, TX 78741"
"$1,806 - 5,295",Studio - 2 Beds,"1515 S Lamar Blvd, Austin, TX 78704"
"$1,259 - 4,069",1-3 Beds,"5417 S Mo Pac Expy S, Austin, TX 78749"
"$1,318 - 2,484",1-4 Beds,"4500 Steiner Ranch Blvd, Austin, TX 78732"
"$1,206 - 1,842",1-2 Beds,"2611 Bee Caves Rd, Austin, TX 78746"
"$1,198 - 4,053",1-3 Beds,"6263 McNeil Dr, Austin, TX 78729"
"$1,740 - 5,683",1-3 Beds,"3050 Tamarron Blvd, Austin, TX 78746"
"$1,147 - 4,008",1-2 Beds,"13145 N Highway 183, Austin, TX 78750"
"$1,450 - 2,728",1-3 Beds,"801 Sugaree Ave, Austin, TX 78757"
"$1,442 - 5,145",Studio - 2 Beds,"1500 S Lamar Blvd, Austin, TX 78704"
"$999 - 1,700",1-3 Beds,"9200 North Plz, Austin, TX 78753"
"$1,245 - 2,055",1-3 Beds,"8200-8220 Research Blvd, Austin, TX 78758"
"$1,300 - 2,346",1-3 Beds,"4900 E Oltorf St, Austin, TX 78741"
"$1,099 - 1,674",Studio - 2 Beds,"3622 Menchaca Rd, Austin, TX 78704"
"$1,085 - 4,164",1-3 Beds,"10500 S IH 35 Frontage Rd, Austin, TX 78748"
"$1,390 - 2,055",1-2 Beds,"6514 Ross Rd, Del Valle, TX 78617"
"$1,635 - 2,275",1-2 Beds,"9910 Hill Ln, Manor, TX 78653"
"$1,110 - 2,450",1-3 Beds,"610 E Wells Branch Pky, Pflugerville, TX 78660"
"$1,250 - 1,721",1-3 Beds,"4700 Ross Rd, Del Valle, TX 78617"
"$1,484 - 3,453",Studio - 2 Beds,"4009 Sabio Dr, Austin, TX 78749"
"$1,227 - 9,999",Studio - 1 Bed,"1614 E 6th St, Austin, TX 78702"
"$2,047 - 7,990",Studio - 2 Beds,"501 Brazos St, Austin, TX 78701"
"$1,653 - 3,091",Studio - 2 Beds,"7400 N Lamar Blvd, Austin, TX 78752"
"$1,315 - 3,237",1-3 Beds,"383 Rocky Ridge Trl, Austin, TX 78737"
"$1,369 - 5,139",1-3 Beds,"15222 FM 620 N, Austin, TX 78717"
"$1,403 - 5,039",Studio - 3 Beds,"3901 Berkman Dr, Austin, TX 78723"
"$1,630 - 2,675",1-2 Beds,"6709 N Lamar Blvd, Austin, TX 78752"
"$1,775 - 2,735",1-2 Beds,"10605 Delta Dr, Austin, TX 78758"
"$1,400 - 2,889",Studio - 2 Beds,"10100 Metropolitan Dr, Austin, TX 78758"
"$1,412 - 2,843",1-3 Beds,"7301 S IH-35 SVRD NB, Austin, TX 78744"
"$1,145 - 4,070",Studio - 2 Beds,"1414 E 51st St, Austin, TX 78723"
"$1,159 - 1,912",1-4 Beds,"3600 E Slaughter Ln, Austin, TX 78747"
"$1,405 - 2,305",1-3 Beds,"8001 E William Cannon Dr, Austin, TX 78744"
"$1,415 - 2,865",Studio - 2 Beds,"5400 Jain Ln, Austin, TX 78721"
"$1,320 - 2,439",1-3 Beds,"2213 Cascades Ave, Austin, TX 78747"
"$1,135 - 2,825",Studio - 2 Beds,"122 Sheraton Ave, Austin, TX 78745"
"$1,195 - 1,995",1-2 Beds,"3707 Menchaca Rd, Austin, TX 78704"
"$1,129 - 2,769",1-2 Beds,"2819 Foster Ln, Austin, TX 78757"
"$1,383 - 3,668",1-2 Beds,"2901 Barton Skyway, Austin, TX 78746"
"$1,129 - 2,089",1-3 Beds,"1817 E Oltorf St, Austin, TX 78741"
"$995 - 1,580",1-2 Beds,"600 Barwood Park, Austin, TX 78753"
"$1,075 - 1,500",1-2 Beds,"3524 Greystone Dr, Austin, TX 78731"
"$1,598 - 2,296",1-2 Beds,"2800 Bartons Bluff Ln, Austin, TX 78746"
"$1,022 - 1,788",1-2 Beds,"8312 Fathom Cir, Austin, TX 78750"
"$1,037 - 4,672",1-4 Beds,"9323 Manchaca Rd, Austin, TX 78748"
"$1,177 - 2,008",1-3 Beds,"5400 W Parmer Ln, Austin, TX 78727"
"$1,909 - 4,182",Studio - 2 Beds,"300 N Lamar Blvd, Austin, TX 78703"
"$1,261 - 6,591",1-3 Beds,"401 Little Texas Ln, Austin, TX 78745"
"$1,236 - 3,684",1-2 Beds,"5200 N Lamar Blvd, Austin, TX 78751"
"$2,392 - 3,624",1-2 Beds,"201 Lavaca St, Austin, TX 78701"
"$1,333 - 4,698",1-3 Beds,"5800 Brodie Ln, Austin, TX 78745"
"$1,188 - 4,258",1-3 Beds,"1630 Wells Branch Pky W, Austin, TX 78728"
"$1,218 - 2,499",1-3 Beds,"10015 Lake Creek Pky, Austin, TX 78729"
