price,rooms,address
"$1,195 - 2,895",Studio - 3 Beds,"300 W Fayette St, Baltimore, MD 21201"
"$1,329 - 2,249",Studio - 3 Beds,"6906 Donachie Rd, Baltimore, MD 21239"
"$1,277 - 2,107",Studio - 2 Beds,"1111 Park Ave, Baltimore, MD 21201"
"$1,495 - 2,300",Studio - 1 Bed,"300 W Redwood St, Baltimore, MD 21201"
"$1,600 - 4,200",Studio - 2 Beds,"3850 Boston St, Baltimore, MD 21224"
"$2,070 - 4,645",1-2 Beds,"2001 Aliceanna St, Baltimore, MD 21231"
"$1,801 - 3,670",Studio - 3 Beds,"2450 Rye St, Baltimore, MD 21230"
"$946 - 2,516",Studio - 2 Beds,"101 W Fayette St, Baltimore, MD 21201"
"$999 - 1,899",Studio - 2 Beds,"14 E Chase St, Baltimore, MD 21202"
"$1,195",2 Beds,"1307 Wildwood Pky, Baltimore, MD 21229"
"$1,270 - 1,901",1-2 Beds,"2022 Kelbourne Rd, Baltimore, MD 21237"
"$1,095 - 2,395",1-3 Beds,"1190 W Northern Pky, Baltimore, MD 21210"
"$850 - 1,305",1-2 Beds,"6004-6028 Amberwood Rd, Baltimore, MD 21206"
Call for Rent,1-3 Beds,"2349 Perring Manor Rd, Baltimore, MD 21234"
"$1,685 - 2,606",1-2 Beds,"611 S Charles St, Baltimore, MD 21230"
"$1,218 - 2,830",1-3 Beds,"6617 Bonnie Ridge Dr, Baltimore, MD 21209"
"$799 - 1,949",Studio - 4 Beds,"929 N Wolfe St, Baltimore, MD 21205"
"$1,160 - 1,505",2-4 Beds,"6306 Holly Ln, Baltimore, MD 21212"
"$1,148 - 1,557",Studio - 2 Beds,"6808 Milbrook Park Dr, Baltimore, MD 21215"
"$1,174 - 1,442",2 Beds,"1 Solar Cir, Parkville, MD 21234"
"$1,369 - 1,769",1-3 Beds,"2223 Wheatley Dr, Baltimore, MD 21207"
"$771 - 1,631",1-3 Beds,"6042 Barstow Rd, Baltimore, MD 21206"
"$1,265 - 3,806",Studio - 3 Beds,"10 Light St, Baltimore, MD 21202"
"$1,360 - 2,075",Studio - 3 Beds,"300 W Lombard St, Baltimore, MD 21201"
"$1,012 - 1,247",1-2 Beds,"2421-A Wellbridge Dr, Baltimore, MD 21234"
"$1,384 - 3,455",Studio - 2 Beds,"622 S Broadway, Baltimore, MD 21231"
"$1,410 - 5,860",Studio - 4 Beds,"500 W University Pky, Baltimore, MD 21210"
"$1,289 - 1,785",2-4 Beds,"9 E 33rd St, Baltimore, MD 21218"
"$1,625 - 2,730",1-3 Beds,"8501 Franklin Square Dr, Baltimore, MD 21237"
"$1,481 - 3,088",Studio - 2 Beds,"2 Hopkins Plz, Baltimore, MD 21201"
"$1,736 - 9,654",Studio - 3 Beds,"100 E Redwood St, Baltimore, MD 21202"
"$1,635 - 3,385",Studio - 3 Beds,"2001 W Cold Spring Ln, Baltimore, MD 21209"
"$1,420 - 3,215",Studio - 3 Beds,"101 N Schroeder St, Baltimore, MD 21223"
"$1,500 - 2,318",1-2 Beds,"9 E Mount Royal Ave, Baltimore, MD 21202"
"$1,275",1 Bed,"1517 EUTAW Pl, Baltimore, MD 21217"
"$1,775 - 3,325",1-2 Beds,"1211 S Eaton St, Baltimore, MD 21224"
"$1,686 - 4,720",Studio - 3 Beds,"555 President St, Baltimore, MD 21202"
"$1,790 - 3,950",1-3 Beds,"1800 S Hanover St, Baltimore, MD 21230"
"$1,313 - 1,854",Studio - 2 Beds,"725 W Pratt St, Baltimore, MD 21201"
"$1,004 - 4,016",Studio - 4 Beds,"3905 Bank St, Baltimore, MD 21224"
"$1,195 - 2,895",Studio - 3 Beds,"300 W Fayette St, Baltimore, MD 21201"
"$1,329 - 2,249",Studio - 3 Beds,"6906 Donachie Rd, Baltimore, MD 21239"
"$1,277 - 2,107",Studio - 2 Beds,"1111 Park Ave, Baltimore, MD 21201"
"$1,495 - 2,300",Studio - 1 Bed,"300 W Redwood St, Baltimore, MD 21201"
"$1,600 - 4,200",Studio - 2 Beds,"3850 Boston St, Baltimore, MD 21224"
"$2,070 - 4,645",1-2 Beds,"2001 Aliceanna St, Baltimore, MD 21231"
"$1,801 - 3,670",Studio - 3 Beds,"2450 Rye St, Baltimore, MD 21230"
"$946 - 2,516",Studio - 2 Beds,"101 W Fayette St, Baltimore, MD 21201"
"$999 - 1,899",Studio - 2 Beds,"14 E Chase St, Baltimore, MD 21202"
"$1,195",2 Beds,"1307 Wildwood Pky, Baltimore, MD 21229"
"$1,270 - 1,901",1-2 Beds,"2022 Kelbourne Rd, Baltimore, MD 21237"
"$1,095 - 2,395",1-3 Beds,"1190 W Northern Pky, Baltimore, MD 21210"
"$850 - 1,305",1-2 Beds,"6004-6028 Amberwood Rd, Baltimore, MD 21206"
Call for Rent,1-3 Beds,"2349 Perring Manor Rd, Baltimore, MD 21234"
"$1,685 - 2,606",1-2 Beds,"611 S Charles St, Baltimore, MD 21230"
"$1,218 - 2,830",1-3 Beds,"6617 Bonnie Ridge Dr, Baltimore, MD 21209"
"$799 - 1,949",Studio - 4 Beds,"929 N Wolfe St, Baltimore, MD 21205"
"$1,160 - 1,505",2-4 Beds,"6306 Holly Ln, Baltimore, MD 21212"
"$1,148 - 1,557",Studio - 2 Beds,"6808 Milbrook Park Dr, Baltimore, MD 21215"
"$1,174 - 1,442",2 Beds,"1 Solar Cir, Parkville, MD 21234"
"$1,369 - 1,769",1-3 Beds,"2223 Wheatley Dr, Baltimore, MD 21207"
"$771 - 1,631",1-3 Beds,"6042 Barstow Rd, Baltimore, MD 21206"
"$1,265 - 3,806",Studio - 3 Beds,"10 Light St, Baltimore, MD 21202"
"$1,360 - 2,075",Studio - 3 Beds,"300 W Lombard St, Baltimore, MD 21201"
