price,rooms,address
"$2,780 - 6,390",Studio - 3 Beds,"235 Old Colony Ave, Boston, MA 02127"
"$3,422 - 14,056",Studio - 2 Beds,"200 Brookline Ave, Boston, MA 02215"
"$3,195 - 5,450",Studio - 2 Beds,"221 Massachusetts Ave, Boston, MA 02115"
"$3,000 - 4,300",Studio - 2 Beds,"201 S Huntington Ave, Boston, MA 02130"
"$2,904 - 7,960",Studio - 3 Beds,"89 E Dedham St, Boston, MA 02118"
"$4,240 - 22,510",Studio - 3 Beds,"212 Stuart St, Boston, MA 02116"
"$2,600 - 4,965",Studio - 3 Beds,"1211 Dorchester Ave, Boston, MA 02125"
"$3,142 - 5,495",Studio - 3 Beds,"35-43 Braintree St, Boston, MA 02134"
"$3,428 - 15,479",Studio - 3 Beds,"180 Brookline Ave, Boston, MA 02215"
"$4,367 - 16,915",1-3 Beds,"1330 Boylston St, Boston, MA 02215"
"$3,809 - 18,275",Studio - 2 Beds,"1335 Boylston St, Boston, MA 02215"
"$2,967 - 13,243",Studio - 3 Beds,"219 Western Ave, Allston, MA 02134"
"$2,700 - 7,489",Studio - 4 Beds,"175 Washington St, Brighton, MA 02135"
"$2,805 - 9,425",Studio - 3 Beds,"151 N First St, Cambridge, MA 02141"
"$2,325 - 4,125",Studio - 2 Beds,"101 Mill Rd, Everett, MA 02149"
"$2,599 - 3,545",Studio - 2 Beds,"250 Vale St, Chelsea, MA 02150"
"$2,125 - 3,525",Studio - 2 Beds,"484 2nd St, Everett, MA 02149"
"$2,480 - 4,467",Studio - 2 Beds,"780 Morrissey Blvd, Dorchester, MA 02122"
"$2,935 - 6,792",Studio - 3 Beds,"301 Guest St, Allston, MA 02134"
"$3,090 - 5,025",Studio - 3 Beds,"10 Innerbelt Rd, Somerville, MA 02143"
"$2,380 - 3,989",Studio - 2 Beds,"255 Vale St, Chelsea, MA 02150"
"$3,105 - 4,525",1-2 Beds,"1 Hancock Village Dr, Chestnut Hill, MA 02467"
"$3,087 - 12,108",Studio - 3 Beds,"899 Congress St, Boston, MA 02210"
"$2,735 - 3,460",Studio - 2 Beds,"320-326 D St, Boston, MA 02127"
