price,rooms,address
"$1,428 - 2,683",1-2 Beds,"525 E 21st St, Charlotte, NC 28206"
"$1,050 - 1,650",1-3 Beds,"2930 Tacoma St, Charlotte, NC 28208"
"$1,205 - 1,905",1-3 Beds,"10051 Perimeter Station Dr, Charlotte, NC 28216"
"$1,507 - 4,958",1-3 Beds,"12400 Toscana Way, Charlotte, NC 28273"
"$1,090 - 4,234",1-2 Beds,"1022-1026 Forest Oak Dr, Charlotte, NC 28209"
"$1,230 - 1,575",1-3 Beds,"10015 Madison Square Pl, Charlotte, NC 28216"
"$1,250 - 1,820",1-3 Beds,"8940 Camden Creek Ln, Charlotte, NC 28273"
"$1,340 - 2,438",1-3 Beds,"1906 Courtside Ln, Charlotte, NC 28270"
"$1,112 - 2,916",1-3 Beds,"5301 Roundstone Way, Charlotte, NC 28216"
"$1,035 - 3,685",Studio - 2 Beds,"120 N Cedar St, Charlotte, NC 28202"
"$1,170 - 1,935",1-3 Beds,"655 W Mallard Creek Church Rd, Charlotte, NC 28262"
"$1,447 - 4,980",1-2 Beds,"2715 Wet Stone Way, Charlotte, NC 28208"
"$1,410 - 3,905",Studio - 3 Beds,"1308 Lorna St, Charlotte, NC 28205"
"$1,170 - 1,915",1-3 Beds,"7116 Finn Hall Ave, Charlotte, NC 28216"
"$1,185 - 1,730",1-3 Beds,"9015 Kings Grant Dr, Charlotte, NC 28262"
"$1,806 - 4,744",Studio - 3 Beds,"550 E Brooklyn Village Ave, Charlotte, NC 28202"
"$1,398 - 4,167",1-3 Beds,"2120 N Brevard St, Charlotte, NC 28206"
"$1,559 - 4,649",Studio - 3 Beds,"500 W Trade St, Charlotte, NC 28202"
"$1,712 - 4,539",Studio - 3 Beds,"5350 Pinehurst Park Dr, Charlotte, NC 28211"
"$1,295 - 2,700",1-3 Beds,"9235 Senator Royal Dr, Charlotte, NC 28262"
"$1,355 - 2,025",1-3 Beds,"12509 Crown Park Ct, Charlotte, NC 28273"
"$1,217 - 3,427",Studio - 2 Beds,"1615 Mockingbird Ln, Charlotte, NC 28209"
"$1,295 - 2,375",1-3 Beds,"5025 Wembley Central Ln, Charlotte, NC 28213"
"$1,789 - 4,099",1-3 Beds,"4220 Colony Plaza Dr, Charlotte, NC 28211"
"$1,530 - 3,460",Studio - 2 Beds,"2705 Haverford Pl, Charlotte, NC 28209"
"$1,260 - 2,735",1-3 Beds,"11020 David Taylor Dr, Charlotte, NC 28262"
"$1,475 - 3,270",Studio - 2 Beds,"200 E Cama St, Charlotte, NC 28217"
"$1,316 - 2,476",1-3 Beds,"5340 Periwinkle Hill Ave, Charlotte, NC 28213"
"$1,333 - 3,514",1-3 Beds,"16200 Croft Dr, Charlotte, NC 28269"
"$1,280 - 4,120",Studio - 3 Beds,"8050 Lapis Ln NW, Charlotte, NC 28262"
"$1,448 - 3,172",1-3 Beds,"8108 Grace Farms Dr, Charlotte, NC 28213"
"$1,164 - 2,705",Studio - 3 Beds,"2051 Establishment Way, Charlotte, NC 28217"
"$1,068 - 2,700",1-3 Beds,"6026 Station Crossing Ave, Charlotte, NC 28217"
"$1,404 - 2,781",1-3 Beds,"10601 Harrisburg Rd, Charlotte, NC 28215"
"$1,631 - 3,064",Studio - 2 Beds,"14011 Bespoke Rd, Charlotte, NC 28277"
"$1,379 - 5,014",Studio - 3 Beds,"2818 Cullman Ave, Charlotte, NC 28206"
"$1,364 - 2,917",Studio - 2 Beds,"1200 S Mint St, Charlotte, NC 28203"
"$1,379 - 5,023",Studio - 3 Beds,"1133 Harding Pl, Charlotte, NC 28204"
"$1,365 - 2,875",1-3 Beds,"2818 Barrow Rd, Charlotte, NC 28269"
"$1,496 - 3,300",Studio - 2 Beds,"3615 Tryclan Dr, Charlotte, NC 28217"
"$1,428 - 2,683",1-2 Beds,"525 E 21st St, Charlotte, NC 28206"
"$1,050 - 1,650",1-3 Beds,"2930 Tacoma St, Charlotte, NC 28208"
"$1,205 - 1,905",1-3 Beds,"10051 Perimeter Station Dr, Charlotte, NC 28216"
"$1,507 - 4,958",1-3 Beds,"12400 Toscana Way, Charlotte, NC 28273"
"$1,090 - 4,234",1-2 Beds,"1022-1026 Forest Oak Dr, Charlotte, NC 28209"
"$1,230 - 1,575",1-3 Beds,"10015 Madison Square Pl, Charlotte, NC 28216"
"$1,250 - 1,820",1-3 Beds,"8940 Camden Creek Ln, Charlotte, NC 28273"
"$1,340 - 2,438",1-3 Beds,"1906 Courtside Ln, Charlotte, NC 28270"
"$1,112 - 2,916",1-3 Beds,"5301 Roundstone Way, Charlotte, NC 28216"
"$1,035 - 3,685",Studio - 2 Beds,"120 N Cedar St, Charlotte, NC 28202"
"$1,170 - 1,935",1-3 Beds,"655 W Mallard Creek Church Rd, Charlotte, NC 28262"
"$1,447 - 4,980",1-2 Beds,"2715 Wet Stone Way, Charlotte, NC 28208"
"$1,410 - 3,905",Studio - 3 Beds,"1308 Lorna St, Charlotte, NC 28205"
"$1,170 - 1,915",1-3 Beds,"7116 Finn Hall Ave, Charlotte, NC 28216"
"$1,185 - 1,730",1-3 Beds,"9015 Kings Grant Dr, Charlotte, NC 28262"
"$1,806 - 4,744",Studio - 3 Beds,"550 E Brooklyn Village Ave, Charlotte, NC 28202"
"$1,398 - 4,167",1-3 Beds,"2120 N Brevard St, Charlotte, NC 28206"
"$1,559 - 4,649",Studio - 3 Beds,"500 W Trade St, Charlotte, NC 28202"
