price,rooms,address
"$1,605 - 6,135",Studio - 2 Beds,"555 W Madison St, Chicago, IL 60661"
"$2,352 - 5,470",Studio - 3 Beds,"234 W Polk St, Chicago, IL 60607"
"$1,055 - 5,900",Studio - 4 Beds,"853 W Blackhawk St, Chicago, IL 60642"
"$3,400 - 9,950",1-3 Beds,"2300 N Lincoln Park, Chicago, IL 60614"
"$1,170 - 1,550",Studio - 1 Bed,"5630 N Sheridan Rd, Chicago, IL 60660"
"$1,595 - 7,198",Studio - 4 Beds,"5035 S East End Ave, Chicago, IL 60615"
"$1,928 - 6,189",Studio - 3 Beds,"728 N Morgan St, Chicago, IL 60642"
"$2,900 - 9,000",1-4 Beds,"910 W Huron St, Chicago, IL 60642"
"$2,171 - 6,218",Studio - 2 Beds,"400 E South Water St, Chicago, IL 60601"
"$2,250 - 13,635",Studio - 3 Beds,"930 W Altgeld St, Chicago, IL 60614"
"$894 - 14,129",Studio - 3 Beds,"3233 S King, Chicago, IL 60616"
"$2,333 - 4,633",Studio - 2 Beds,"1457 N Halsted St, Chicago, IL 60642"
"$2,211 - 18,282",Studio - 4 Beds,"808 S Michigan Ave, Chicago, IL 60605"
"$2,080 - 15,980",Studio - 4 Beds,"1000 S Michigan Ave, Chicago, IL 60605"
"$2,126 - 5,812",Studio - 2 Beds,"1 W Superior St, Chicago, IL 60654"
"$2,230 - 8,000",Studio - 3 Beds,"833 N Clark St, Chicago, IL 60610"
"$1,903 - 5,178",Studio - 2 Beds,"400 N McClurg Ct, Chicago, IL 60611"
"$2,581 - 16,219",Studio - 3 Beds,"465 N Park Dr, Chicago, IL 60611"
"$2,379 - 20,718",Studio - 3 Beds,"313 W Wolf Point Plz, Chicago, IL 60654"
"$2,051 - 10,912",Studio - 2 Beds,"225 N Columbus Dr, Chicago, IL 60601"
"$2,214 - 6,439",Studio - 2 Beds,"747 N Wabash Ave, Chicago, IL 60611"
"$1,887 - 6,440",Studio - 2 Beds,"77 W Huron, Chicago, IL 60654"
"$1,950 - 4,433",Studio - 3 Beds,"1326 S Michigan Ave, Chicago, IL 60605"
"$2,662 - 13,045",Studio - 3 Beds,"14 W Superior St, Chicago, IL 60654"
"$2,450 - 5,250",1-3 Beds,"8 E Huron St, Chicago, IL 60611"
"$2,470 - 2,624",1 Bed,"2623-2627 N Clark St, Chicago, IL 60614"
"$1,433 - 2,374",Studio - 1 Bed,"4600 N Clarendon Ave, Chicago, IL 60640"
Call for Rent,1-3 Beds,"850 N Lake Shore Dr, Chicago, IL 60611"
"$1,605 - 6,135",Studio - 2 Beds,"555 W Madison St, Chicago, IL 60661"
"$2,352 - 5,470",Studio - 3 Beds,"234 W Polk St, Chicago, IL 60607"
"$1,055 - 5,900",Studio - 4 Beds,"853 W Blackhawk St, Chicago, IL 60642"
"$3,400 - 9,950",1-3 Beds,"2300 N Lincoln Park, Chicago, IL 60614"
"$1,170 - 1,550",Studio - 1 Bed,"5630 N Sheridan Rd, Chicago, IL 60660"
"$1,595 - 7,198",Studio - 4 Beds,"5035 S East End Ave, Chicago, IL 60615"
"$1,928 - 6,189",Studio - 3 Beds,"728 N Morgan St, Chicago, IL 60642"
"$2,900 - 9,000",1-4 Beds,"910 W Huron St, Chicago, IL 60642"
"$2,171 - 6,218",Studio - 2 Beds,"400 E South Water St, Chicago, IL 60601"
"$2,250 - 13,635",Studio - 3 Beds,"930 W Altgeld St, Chicago, IL 60614"
"$894 - 14,129",Studio - 3 Beds,"3233 S King, Chicago, IL 60616"
"$2,333 - 4,633",Studio - 2 Beds,"1457 N Halsted St, Chicago, IL 60642"
"$2,211 - 18,282",Studio - 4 Beds,"808 S Michigan Ave, Chicago, IL 60605"
"$2,080 - 15,980",Studio - 4 Beds,"1000 S Michigan Ave, Chicago, IL 60605"
"$2,126 - 5,812",Studio - 2 Beds,"1 W Superior St, Chicago, IL 60654"
"$2,230 - 8,000",Studio - 3 Beds,"833 N Clark St, Chicago, IL 60610"
"$1,903 - 5,178",Studio - 2 Beds,"400 N McClurg Ct, Chicago, IL 60611"
"$2,581 - 16,219",Studio - 3 Beds,"465 N Park Dr, Chicago, IL 60611"
"$2,379 - 20,718",Studio - 3 Beds,"313 W Wolf Point Plz, Chicago, IL 60654"
"$2,051 - 10,912",Studio - 2 Beds,"225 N Columbus Dr, Chicago, IL 60601"
"$2,214 - 6,439",Studio - 2 Beds,"747 N Wabash Ave, Chicago, IL 60611"
"$1,887 - 6,440",Studio - 2 Beds,"77 W Huron, Chicago, IL 60654"
"$1,950 - 4,433",Studio - 3 Beds,"1326 S Michigan Ave, Chicago, IL 60605"
"$2,662 - 13,045",Studio - 3 Beds,"14 W Superior St, Chicago, IL 60654"
"$2,450 - 5,250",1-3 Beds,"8 E Huron St, Chicago, IL 60611"
"$2,470 - 2,624",1 Bed,"2623-2627 N Clark St, Chicago, IL 60614"
"$1,433 - 2,374",Studio - 1 Bed,"4600 N Clarendon Ave, Chicago, IL 60640"
Call for Rent,1-3 Beds,"850 N Lake Shore Dr, Chicago, IL 60611"
"$1,740 - 4,483",Studio - 3 Beds,"182 W Lake St, Chicago, IL 60601"
"$1,895 - 4,980",1-2 Beds,"1935 S Wabash Ave, Chicago, IL 60616"
"$1,016 - 7,692",Studio - 2 Beds,"2937 South King Dr, Chicago, IL 60616"
"$2,595",2 Beds,"925 W Huron St, Chicago, IL 60642"
"$1,475 - 2,695",Studio - 2 Beds,"1936 N Clark St, Chicago, IL 60614"
"$1,937 - 9,477",Studio - 3 Beds,"637 N Wells St, Chicago, IL 60654"
"$2,380 - 5,244",Studio - 2 Beds,"601 W Jackson Blvd, Chicago, IL 60661"
"$2,248 - 3,579",Studio - 2 Beds,"840 W Blackhawk St, Chicago, IL 60642"
"$2,450 - 6,492",Studio - 3 Beds,"2345 N Lincoln Ave, Chicago, IL 60614"
"$1,983 - 3,157",Studio - 2 Beds,"8 E 9th St, Chicago, IL 60605"
"$1,360 - 1,656",Studio - 1 Bed,"5101-5115 N Sheridan Rd, Chicago, IL 60640"
"$2,467 - 11,141",1-3 Beds,"200 E Illinois St, Chicago, IL 60611"
