price,rooms,address
"$1,070 - 1,900",Studio - 3 Beds,"12000 Fairhill Rd, Cleveland, OH 44120"
"$1,600 - 2,750",1-2 Beds,"1618 Hazel Dr, Cleveland, OH 44106"
"$1,275 - 4,400",1-2 Beds,"2017 E 9th St, Cleveland, OH 44115"
"$1,570 - 5,078",1-2 Beds,"515 Euclid Ave, Cleveland, OH 44114"
"$1,385 - 2,411",Studio - 1 Bed,"2550 Detroit Ave, Cleveland, OH 44113"
"$944 - 1,899",Studio - 2 Beds,"7218 Euclid Ave, Cleveland, OH 44103"
"$1,240 - 2,500",Studio - 2 Beds,"1878 E 90th St, Cleveland, OH 44106"
"$1,360 - 3,135",Studio - 3 Beds,"200 Euclid Ave, Cleveland, OH 44114"
$680 - 975,Studio - 1 Bed,"14011 Brookpark Rd, Brookpark, OH 44142"
"$1,355 - 6,549",Studio - 3 Beds,"12301 Cedar Rd, Cleveland Heights, OH 44106"
"$880 - 3,295",Studio - 3 Beds,"2901 Euclid Ave, Cleveland, OH 44115"
"$1,575 - 2,700",Studio - 1 Bed,"10001 Chester Ave, Cleveland, OH 44106"
"$1,200 - 2,560",1-2 Beds,"1965 E 6th St, Cleveland, OH 44114"
"$1,544 - 4,500",1-2 Beds,"1211 St Clair Ave NE, Cleveland, OH 44114"
"$1,425 - 11,633",1-4 Beds,"1055 Old River Rd, Cleveland, OH 44113"
"$1,820 - 10,425",Studio - 4 Beds,"10730 Euclid Ave, Cleveland, OH 44106"
"$1,350 - 4,000",Studio - 2 Beds,"3007 Clinton Ave, Cleveland, OH 44113"
"$1,650 - 2,575",1-2 Beds,"725 Johnson Ct, Cleveland, OH 44113"
"$1,500 - 2,300",1 Bed,"1599 E 118th St, Cleveland, OH 44106"
"$1,312 - 3,172",1-3 Beds,"1001-1101 Euclid Ave, Cleveland, OH 44115"
"$1,700 - 2,900",1-2 Beds,"2048 Fulton Rd, Cleveland, OH 44113"
"$1,430 - 3,036",Studio - 2 Beds,"425 Literary Rd, Cleveland, OH 44113"
"$959 - 2,199",Studio - 4 Beds,"4010 Lorain Ave, Cleveland, OH 44113"
"$1,270 - 2,430",Studio - 2 Beds,"12201 Larchmere Blvd, Cleveland, OH 44120"
"$1,359 - 2,265",1-2 Beds,"21200 Brookpark Rd, Cleveland, OH 44126"
"$1,200 - 2,490",1-2 Beds,"75 Public Sq, Cleveland, OH 44113"
"$1,350 - 3,000",Studio - 2 Beds,"2410 Scranton Rd, Cleveland, OH 44113"
"$1,638 - 2,441",1-2 Beds,"2461 W 25th St, Cleveland, OH 44113"
"$1,010 - 4,830",1-3 Beds,"55 Public Sq, Cleveland, OH 44113"
"$1,651 - 2,405",1-2 Beds,"1866 E 93rd St, Cleveland, OH 44106"
"$1,499 - 2,613",Studio - 2 Beds,"10300 Cedar Ave, Cleveland, OH 44106"
"$1,430 - 6,666",Studio - 3 Beds,"1111 Fairfield Ave, Cleveland, OH 44113"
"$1,469 - 3,630",1-2 Beds,"1820 E 97th St, Cleveland, OH 44106"
"$1,199 - 3,230",1-2 Beds,"1118 Euclid Ave, Cleveland, OH 44115"
"$1,300 - 2,300",1-2 Beds,"1750 Ansel Rd, Cleveland, OH 44106"
"$899 - 1,600",Studio - 2 Beds,"1801 E 12th St, Cleveland, OH 44114"
"$1,340 - 1,850",1-2 Beds,"1220 Huron Rd E, Cleveland, OH 44115"
"$1,450 - 5,000",1-2 Beds,"3107 Detroit Ave, Cleveland, OH 44113"
"$900 - 1,600",1-3 Beds,"2431-2439 Overlook Rd, Cleveland, OH 44106"
"$720 - 1,105",Studio - 2 Beds,"7006 Detroit Ave, Cleveland, OH 44102"
"$1,070 - 1,900",Studio - 3 Beds,"12000 Fairhill Rd, Cleveland, OH 44120"
"$1,600 - 2,750",1-2 Beds,"1618 Hazel Dr, Cleveland, OH 44106"
"$1,275 - 4,400",1-2 Beds,"2017 E 9th St, Cleveland, OH 44115"
"$1,570 - 5,078",1-2 Beds,"515 Euclid Ave, Cleveland, OH 44114"
"$1,385 - 2,411",Studio - 1 Bed,"2550 Detroit Ave, Cleveland, OH 44113"
"$944 - 1,899",Studio - 2 Beds,"7218 Euclid Ave, Cleveland, OH 44103"
"$1,240 - 2,500",Studio - 2 Beds,"1878 E 90th St, Cleveland, OH 44106"
"$1,360 - 3,135",Studio - 3 Beds,"200 Euclid Ave, Cleveland, OH 44114"
$680 - 975,Studio - 1 Bed,"14011 Brookpark Rd, Brookpark, OH 44142"
"$1,355 - 6,549",Studio - 3 Beds,"12301 Cedar Rd, Cleveland Heights, OH 44106"
"$880 - 3,295",Studio - 3 Beds,"2901 Euclid Ave, Cleveland, OH 44115"
"$1,575 - 2,700",Studio - 1 Bed,"10001 Chester Ave, Cleveland, OH 44106"
"$1,200 - 2,560",1-2 Beds,"1965 E 6th St, Cleveland, OH 44114"
"$1,544 - 4,500",1-2 Beds,"1211 St Clair Ave NE, Cleveland, OH 44114"
"$1,425 - 11,633",1-4 Beds,"1055 Old River Rd, Cleveland, OH 44113"
"$1,820 - 10,425",Studio - 4 Beds,"10730 Euclid Ave, Cleveland, OH 44106"
"$1,350 - 4,000",Studio - 2 Beds,"3007 Clinton Ave, Cleveland, OH 44113"
"$1,650 - 2,575",1-2 Beds,"725 Johnson Ct, Cleveland, OH 44113"
"$1,500 - 2,300",1 Bed,"1599 E 118th St, Cleveland, OH 44106"
"$1,312 - 3,172",1-3 Beds,"1001-1101 Euclid Ave, Cleveland, OH 44115"
"$1,700 - 2,900",1-2 Beds,"2048 Fulton Rd, Cleveland, OH 44113"
"$1,430 - 3,036",Studio - 2 Beds,"425 Literary Rd, Cleveland, OH 44113"
"$959 - 2,199",Studio - 4 Beds,"4010 Lorain Ave, Cleveland, OH 44113"
"$1,270 - 2,430",Studio - 2 Beds,"12201 Larchmere Blvd, Cleveland, OH 44120"
"$1,359 - 2,265",1-2 Beds,"21200 Brookpark Rd, Cleveland, OH 44126"
"$1,200 - 2,490",1-2 Beds,"75 Public Sq, Cleveland, OH 44113"
"$1,350 - 3,000",Studio - 2 Beds,"2410 Scranton Rd, Cleveland, OH 44113"
"$1,638 - 2,441",1-2 Beds,"2461 W 25th St, Cleveland, OH 44113"
"$975 - 1,595",Studio - 2 Beds,"955 W Saint Clair Ave, Cleveland, OH 44113"
"$894 - 1,049",1-2 Beds,"15500 Lake Shore Blvd, Cleveland, OH 44110"
"$950 - 1,100",1-2 Beds,"17500 Euclid Ave, Cleveland, OH 44112"
"$1,110 - 1,829",1-2 Beds,"256 Northridge Oval, Brooklyn, OH 44144"
$700 - 980,1-3 Beds,"9755 Westview Dr, Parma, OH 44129"
"$899 - 1,190",1-2 Beds,"4605-4639 E 131st St, Garfield Heights, OH 44105"
$899,1 Bed,"2809-2949 Van Aken Blvd, Shaker Heights, OH 44120"
$655 - 885,Studio - 2 Beds,"1541 E 191st St, Euclid, OH 44117"
"$1,550 - 3,400",1-2 Beds,"2348 Overlook Rd, Cleveland Heights, OH 44106"
"$795 - 1,025",1-2 Beds,"2590 N Moreland Blvd, Shaker Heights, OH 44120"
"$900 - 1,800",1-3 Beds,"3725-3747 Warrensville Center Rd, Shaker Heights, OH 44122"
"$1,370 - 4,484",1-3 Beds,"5455 N Marginal Rd, Cleveland, OH 44114"
"$970 - 1,560",Studio - 2 Beds,"629 Euclid Ave, Cleveland, OH 44114"
"$850 - 1,150",1-3 Beds,"4298 Rocky River Dr, Cleveland, OH 44135"
$780 - 800,1 Bed,"12929 Shaker Blvd, Cleveland, OH 44120"
