price,rooms,address
"$1,295 - 2,195",Studio - 2 Beds,"324 E 2nd Ave, Columbus, OH 43201"
"$1,138 - 2,500",1-2 Beds,"680 Civitas Ave, Columbus, OH 43215"
"$1,250 - 3,550",Studio - 2 Beds,"433 W Broad St, Columbus, OH 43215"
"$1,070 - 1,443",1-2 Beds,"1261 Gabrielle Elaine Dr, Columbus, OH 43228"
"$999 - 1,495",1-2 Beds,"1708 Creeksedge Dr, Columbus, OH 43209"
"$1,295 - 1,650",2-3 Beds,"4312 Westport Rd, Columbus, OH 43228"
"$1,050 - 1,375",1-2 Beds,"833 Misty Hollow Ln, Columbus, OH 43228"
"$889 - 1,889",1-3 Beds,"2765 Coldstream Ln, Columbus, OH 43209"
$855,2 Beds,"1728 E Long St, Columbus, OH 43203"
"$950 - 1,060",1-2 Beds,"3819 Plane Tree Dr W, Columbus, OH 43228"
"$1,200",2 Beds,"1691 Red Robin St, Columbus, OH 43229"
"$1,300 - 3,000",1-3 Beds,"1005 W 5th Ave, Columbus, OH 43212"
"$1,144 - 1,584",Studio - 2 Beds,"6700 Allister Way, Columbus, OH 43235"
"$1,295 - 2,295",1-2 Beds,"100 Frankfort Sq, Columbus, OH 43206"
"$754 - 1,450",1-3 Beds,"1699 Shanley Dr, Columbus, OH 43224"
"$865 - 1,245",1-2 Beds,"1190 Chambers Rd, Columbus, OH 43212"
"$949 - 1,399",1-2 Beds,"5811 Spring Run Cir, Columbus, OH 43229"
"$780 - 1,100",1-2 Beds,"680-692 Riverview Dr, Columbus, OH 43202"
"$1,229 - 3,469",Studio - 2 Beds,"205 Vine St, Columbus, OH 43215"
"$1,059 - 1,684",1-2 Beds,"3300 W Dublin-Granville Rd, Columbus, OH 43235"
"$1,355 - 1,835",1-2 Beds,"720 Michigan Ave, Columbus, OH 43215"
"$1,214 - 3,277",Studio - 2 Beds,"205 S High St, Columbus, OH 43215"
"$1,080 - 1,175",1-2 Beds,"4711 Bay Run Dr, Columbus, OH 43228"
"$1,128 - 2,170",Studio - 2 Beds,"500 W Broad St, Columbus, OH 43215"
"$1,145 - 1,405",1-2 Beds,"1500 Braeton Pkwy, Columbus, OH 43235"
"$1,159 - 1,772",1-2 Beds,"223 E Town St, Columbus, OH 43215"
"$1,100 - 1,633",1-2 Beds,"1155 Winston Decker Dr, Columbus, OH 43228"
"$1,282 - 1,995",1-2 Beds,"40 Hutchinson Ave, Columbus, OH 43235"
"$1,165 - 1,430",1-2 Beds,"4600 Sunbury Springs Pky, Columbus, OH 43230"
"$1,350 - 3,020",Studio - 2 Beds,"50 S Grant Ave, Columbus, OH 43215"
"$1,178 - 6,915",Studio - 3 Beds,"111 Belle St, Columbus, OH 43215"
"$1,417 - 4,140",1-3 Beds,"1444 City View Dr, Columbus, OH 43215"
"$1,325 - 3,045",Studio - 2 Beds,"399 Delashmut Ave, Columbus, OH 43212"
"$1,563 - 3,014",1-3 Beds,"955 Dorchester Way, Grandview Heights, OH 43212"
"$1,655 - 1,805",2 Beds,"7999 Wildflower Ln, Westerville, OH 43081"
"$1,189 - 1,475",1-2 Beds,"4955 Enclave Blvd, Westerville, OH 43081"
"$1,669 - 3,779",1-2 Beds,"825 Junction Way, Grandview Heights, OH 43212"
"$1,199 - 1,440",1-2 Beds,"5927 Avery Wood Ave, Dublin, OH 43016"
"$1,590 - 3,365",Studio - 3 Beds,"200 W Main St, New Albany, OH 43054"
"$1,859 - 3,109",1-3 Beds,"800 Burr Ave, Grandview Heights, OH 43212"
"$1,295 - 2,195",Studio - 2 Beds,"324 E 2nd Ave, Columbus, OH 43201"
"$1,138 - 2,500",1-2 Beds,"680 Civitas Ave, Columbus, OH 43215"
"$1,250 - 3,550",Studio - 2 Beds,"433 W Broad St, Columbus, OH 43215"
"$1,070 - 1,443",1-2 Beds,"1261 Gabrielle Elaine Dr, Columbus, OH 43228"
"$999 - 1,495",1-2 Beds,"1708 Creeksedge Dr, Columbus, OH 43209"
"$1,295 - 1,650",2-3 Beds,"4312 Westport Rd, Columbus, OH 43228"
"$1,050 - 1,375",1-2 Beds,"833 Misty Hollow Ln, Columbus, OH 43228"
"$889 - 1,889",1-3 Beds,"2765 Coldstream Ln, Columbus, OH 43209"
$855,2 Beds,"1728 E Long St, Columbus, OH 43203"
"$950 - 1,060",1-2 Beds,"3819 Plane Tree Dr W, Columbus, OH 43228"
"$1,200",2 Beds,"1691 Red Robin St, Columbus, OH 43229"
"$1,300 - 3,000",1-3 Beds,"1005 W 5th Ave, Columbus, OH 43212"
"$1,144 - 1,584",Studio - 2 Beds,"6700 Allister Way, Columbus, OH 43235"
"$1,295 - 2,295",1-2 Beds,"100 Frankfort Sq, Columbus, OH 43206"
"$754 - 1,450",1-3 Beds,"1699 Shanley Dr, Columbus, OH 43224"
"$865 - 1,245",1-2 Beds,"1190 Chambers Rd, Columbus, OH 43212"
"$949 - 1,399",1-2 Beds,"5811 Spring Run Cir, Columbus, OH 43229"
"$780 - 1,100",1-2 Beds,"680-692 Riverview Dr, Columbus, OH 43202"
"$1,229 - 3,469",Studio - 2 Beds,"205 Vine St, Columbus, OH 43215"
"$1,059 - 1,684",1-2 Beds,"3300 W Dublin-Granville Rd, Columbus, OH 43235"
"$1,355 - 1,835",1-2 Beds,"720 Michigan Ave, Columbus, OH 43215"
"$1,214 - 3,277",Studio - 2 Beds,"205 S High St, Columbus, OH 43215"
"$1,080 - 1,175",1-2 Beds,"4711 Bay Run Dr, Columbus, OH 43228"
"$1,128 - 2,170",Studio - 2 Beds,"500 W Broad St, Columbus, OH 43215"
"$1,145 - 1,405",1-2 Beds,"1500 Braeton Pkwy, Columbus, OH 43235"
"$1,159 - 1,772",1-2 Beds,"223 E Town St, Columbus, OH 43215"
"$1,125 - 2,607",1-3 Beds,"8352 E Broad St, Blacklick, OH 43004"
"$1,090 - 1,355",1-2 Beds,"4900 Gender Rd, Canal Winchester, OH 43110"
"$1,180 - 1,950",1-3 Beds,"5814 Avery Crest Dr W, Dublin, OH 43016"
"$1,120 - 1,825",1-3 Beds,"7405 Long Rd, Canal Winchester, OH 43110"
"$1,150 - 1,550",1-2 Beds,"307 W Johnstown Rd, Gahanna, OH 43230"
"$1,175 - 2,866",1-2 Beds,"2900 Angelo Joseph Ln, Columbus, OH 43204"
"$700 - 1,565",Studio - 5 Beds,"440 W State St, Columbus, OH 43215"
"$1,295 - 4,195",Studio - 3 Beds,"826 Bowman Way, Columbus, OH 43212"
"$1,215 - 4,070",Studio - 2 Beds,"21 W 2nd Ave, Columbus, OH 43201"
"$1,503 - 2,698",Studio - 2 Beds,"283 E 1st Ave, Columbus, OH 43215"
"$1,177 - 2,132",Studio - 2 Beds,"721 Grandview Crossing Way, Columbus, OH 43215"
"$1,129 - 3,329",1-2 Beds,"250 Brodbelt Ln, Columbus, OH 43215"
"$849 - 1,274",1-3 Beds,"5750 Roche Dr, Columbus, OH 43229"
"$994 - 2,942",Studio - 2 Beds,"150-190 S High St, Columbus, OH 43215"
"$739 - 1,129",Studio - 3 Beds,"2143 Winslow Dr, Columbus, OH 43207"
"$949 - 1,729",1-4 Beds,"181 Derrer Rd, Columbus, OH 43204"
"$849 - 1,399",1-2 Beds,"321 Directory Dr, Columbus, OH 43213"
"$1,295 - 2,805",Studio - 3 Beds,"1401 Aschinger Blvd, Columbus, OH 43212"
"$875 - 1,100",1-3 Beds,"360 Broad Meadows Blvd, Columbus, OH 43214"
$750 - 950,1-2 Beds,"3170 Cleveland Ave, Columbus, OH 43224"
"$999 - 1,373",1-2 Beds,"3058-A Allegheny Ave, Columbus, OH 43209"
"$1,196 - 1,423",Studio - 2 Beds,"1075 Weybridge Rd, Columbus, OH 43220"
"$1,000 - 1,570",1-2 Beds,"1820 Hickory Creek Ln, Columbus, OH 43229"
$974,1 Bed,"1700 Bond Ave, Columbus, OH 43229"
"$1,499 - 3,199",1-3 Beds,"2425 W Dublin Granville Rd, Columbus, OH 43235"
"$1,545 - 2,690",1-2 Beds,"565 W 1st Ave, Columbus, OH 43215"
"$1,295 - 2,310",Studio - 2 Beds,"1025 Dennison Ave, Columbus, OH 43201"
"$1,063 - 1,760",1-2 Beds,"3030 Sunbury Ridge Dr, Columbus, OH 43219"
"$1,246 - 2,574",1-3 Beds,"2828 Marblevista Blvd, Columbus, OH 43204"
"$1,119 - 1,169",2 Beds,"1112 Ashberry Village Dr, Columbus, OH 43228"
"$1,375 - 1,500",2 Beds,"2093 Hampstead Dr S, Columbus, OH 43229"
"$1,299 - 2,084",Studio - 2 Beds,"3450 Indianola Ave, Columbus, OH 43214"
"$1,345 - 4,572",Studio - 3 Beds,"12 W Gay St, Columbus, OH 43215"
"$1,193 - 4,496",Studio - 2 Beds,"350 Mt Vernon Ave, Columbus, OH 43215"
"$1,199 - 2,334",1-2 Beds,"401 W Rich St, Columbus, OH 43215"
"$1,352 - 3,232",Studio - 2 Beds,"8900 Lyra Dr, Columbus, OH 43240"
"$2,320 - 7,425",1-3 Beds,"155 E Broad St, Columbus, OH 43215"
"$1,130 - 1,875",1-3 Beds,"3780 Codet Rd, Columbus, OH 43219"
"$1,446 - 2,300",1-2 Beds,"1179 E Main St, Columbus, OH 43205"
"$1,125 - 1,790",1-3 Beds,"227 Allston Way, Columbus, OH 43235"
"$1,325 - 2,900",Studio - 2 Beds,"370 Carmelina Ave, Columbus, OH 43212"
"$1,920 - 2,354",1-2 Beds,"772 N 4th St, Columbus, OH 43215"
"$1,135 - 2,445",Studio - 2 Beds,"1366 Olivine Dr, Columbus, OH 43215"
Call for Rent,1 Bed,"710 Grandview Ave, Columbus, OH 43215"
"$1,347 - 5,206",Studio - 3 Beds,"5353 Wilcox Rd, Dublin, OH 43016"
"$1,019 - 2,269",1-3 Beds,"6460 Chelsea Glen Dr, Canal Winchester, OH 43110"
"$1,194 - 3,443",1-3 Beds,"5704 New Albany Rd W, New Albany, OH 43054"
"$983 - 1,929",1-2 Beds,"5222 Flower Valley Dr, Canal Winchester, OH 43110"
"$1,050 - 1,450",2-3 Beds,"6870 E Livingston Ave, Reynoldsburg, OH 43068"
"$1,090 - 1,520",1-2 Beds,"6300 Calebs Creek Way, Westerville, OH 43081"
"$1,212 - 1,431",1-2 Beds,"3116 Hayden Rd, Dublin, OH 43017"
"$1,300 - 1,600",2 Beds,"7800 Deer Creek Dr, Westerville, OH 43081"
"$1,049 - 1,259",1-2 Beds,"8200 Worthington Galena Rd, Westerville, OH 43081"
"$1,006 - 1,418",Studio - 2 Beds,"1100 Polaris Crossing Blvd, Westerville, OH 43081"
"$1,053 - 2,127",1-3 Beds,"8181 Herald Cv, Blacklick, OH 43004"
"$1,350 - 2,590",1-3 Beds,"1600 W Lane Ave, Upper Arlington, OH 43221"
"$1,922 - 2,768",2 Beds,"5464 Eagle River Dr, Dublin, OH 43016"
"$970 - 1,429",1-2 Beds,"2067 Creekview Ct, Reynoldsburg, OH 43068"
"$1,179 - 1,519",1-2 Beds,"5700 Rocky Ridge Landings Dr, Westerville, OH 43081"
"$2,310 - 2,325",3 Beds,"749 Enclave Village Pl, Lewis Center, OH 43035"
"$1,034 - 1,890",1-3 Beds,"2332 Asics Dr, Hilliard, OH 43026"
Call for Rent,1-2 Beds,"1390 Christopher Wren Dr, Gahanna, OH 43230"
"$1,184 - 1,239",2 Beds,"2870 Kengary Way, Reynoldsburg, OH 43068"
"$1,112 - 1,242",1-2 Beds,"2591 Goldenstrand Dr, Hilliard, OH 43026"
"$695 - 1,550",Studio - 3 Beds,"2760 Flag Ln, Reynoldsburg, OH 43068"
"$1,295 - 1,425",2-3 Beds,"1789 Elaine Rd, Columbus, OH 43227"
"$825 - 1,263",1-2 Beds,"5020 Chatterton Rd, Columbus, OH 43232"
"$1,300",2 Beds,"5951 Parliament Dr, Columbus, OH 43213"
"$850 - 1,350",Studio - 3 Beds,"947 Forest Creek Dr E, Columbus, OH 43223"
"$750 - 1,651",Studio - 3 Beds,"4592 Channing Ter, Columbus, OH 43232"
"$850 - 1,571",1-4 Beds,"14 Oak Rd, Columbus, OH 43217"
$850,2 Beds,"5803 Avenue Chateau Du Nord Ave, Columbus, OH 43229"
"$780 - 1,195",1-2 Beds,"869 E Dublin Granville Rd, Columbus, OH 43229"
"$1,383 - 2,224",1-3 Beds,"6363 Jordan Louise Dr, New Albany, OH 43054"
"$1,574 - 2,049",1-2 Beds,"5060 Warner Rd, Westerville, OH 43081"
"$1,832 - 2,294",2 Beds,"2500 Hard Rd, Dublin, OH 43016"
"$1,176 - 1,729",1-2 Beds,"2677 Collinford Dr, Dublin, OH 43016"
"$874 - 1,538",1-3 Beds,"5521 Chatford Sq, Columbus, OH 43232"
"$1,075 - 1,325",1-2 Beds,"5400 Diamond Loch, Columbus, OH 43228"
"$1,825 - 2,795",2 Beds,"1484 McNaughten Rd, Columbus, OH 43232"
"$1,225 - 1,525",2 Beds,"5312 Gatehouse Dr, Columbus, OH 43213"
"$1,049 - 3,175",Studio - 3 Beds,"50 E 7th Ave, Columbus, OH 43201"
"$1,193 - 1,850",1-3 Beds,"6345 Cooper Rd, Columbus, OH 43231"
"$999 - 1,450",Studio,"260 S 4th St, Columbus, OH 43215"
"$1,075 - 3,995",Studio - 2 Beds,"985 N High St, Columbus, OH 43201"
"$1,245 - 1,295",2 Beds,"306 W Johnstown Rd, Columbus, OH 43230"
"$1,069 - 2,129",1-2 Beds,"2460 Walcutt Rd, Columbus, OH 43228"
"$932 - 1,466",1-2 Beds,"5680 Hibernia Dr, Columbus, OH 43232"
"$974 - 1,925",1-3 Beds,"4551 Durrow Dr, Columbus, OH 43228"
"$1,105 - 1,635",1-3 Beds,"5695 Cherry Bottom Rd, Columbus, OH 43230"
"$984 - 1,059",1-3 Beds,"1881 Solera Dr, Columbus, OH 43229"
Call for Rent,1-2 Beds,"2645 Hard Rd, Columbus, OH 43235"
"$1,100 - 1,400",1-2 Beds,"1359 Yorkland Rd, Columbus, OH 43232"
$850 - 905,1-2 Beds,"4646 Tamarack Blvd, Columbus, OH 43229"
"$1,034 - 1,629",1-3 Beds,"2680 Silver Oak Dr, Columbus, OH 43232"
"$1,214 - 1,550",1-2 Beds,"7505 Worthington Galena Rd, Worthington, OH 43085"
"$1,010 - 2,029",1-2 Beds,"6340 Saddler Way, Canal Winchester, OH 43110"
"$1,328 - 2,267",2 Beds,"7552 Woodland Trace Dr, Reynoldsburg, OH 43068"
"$1,233 - 2,349",1-2 Beds,"5746 Leila Ln, Westerville, OH 43081"
"$1,029 - 1,737",1-2 Beds,"839 Sheridan Ave, Bexley, OH 43209"
"$1,316 - 2,917",1-3 Beds,"5935 Central College Rd, New Albany, OH 43054"
"$1,200",2 Beds,"1177 Woodwind Dr, Reynoldsburg, OH 43068"
"$1,095 - 1,330",1-2 Beds,"2471 Prendergast Pl, Reynoldsburg, OH 43068"
"$1,067 - 1,398",1-2 Beds,"3833 Abbie Lakes Dr, Canal Winchester, OH 43110"
Call for Rent,1-3 Beds,"7261 Tussing Rd, Reynoldsburg, OH 43068"
"$1,290 - 2,570",1-3 Beds,"6300 Refugee Rd, Canal Winchester, OH 43110"
"$1,030 - 1,210",1-2 Beds,"421 Lancaster Ave, Reynoldsburg, OH 43068"
"$1,355 - 2,085",2-3 Beds,"3655 Rosslare Harbour Dr, Pickerington, OH 43147"
"$999 - 1,409",1-2 Beds,"500 Dove Tree Dr, Galloway, OH 43119"
"$1,275 - 1,599",2-3 Beds,"6611 Seahurst Dr, Canal Winchester, OH 43110"
"$975 - 1,090",1-2 Beds,"4674 Leap Ct, Hilliard, OH 43026"
"$800 - 1,900",1-3 Beds,"6592 Steinway Dr, Reynoldsburg, OH 43068"
"$1,034 - 1,205",1-2 Beds,"170 Heatherbridge Ln, Blacklick, OH 43004"
"$945 - 1,275",1-2 Beds,"3995 Cracker Cove Ln, Canal Winchester, OH 43110"
"$1,058 - 1,513",1-2 Beds,"6564 Millridge Cir, Dublin, OH 43017"
"$975 - 1,130",1-2 Beds,"785 Cross Pointe Rd, Gahanna, OH 43230"
"$915 - 1,429",1-3 Beds,"4334 Appian Way W, Gahanna, OH 43230"
"$1,000 - 1,209",1-3 Beds,"3675 Cross Ridge Ln, Canal Winchester, OH 43110"
"$817 - 1,205",1-3 Beds,"4800 Hall Rd, Columbus, OH 43228"
$895,2 Beds,"2200 Walford Ln, Columbus, OH 43224"
"$715 - 1,025",1-2 Beds,"4653 Refugee Rd, Columbus, OH 43232"
"$1,105 - 1,570",1-2 Beds,"1410 Worthington Ridge Blvd, Worthington, OH 43085"
"$1,225 - 1,620",1-2 Beds,"5391 Renner Rd, Hilliard, OH 43026"
"$1,198 - 4,986",1-3 Beds,"3415 Durban St, Hilliard, OH 43026"
"$1,385 - 2,180",1-2 Beds,"5300 Riverside Dr, Upper Arlington, OH 43220"
"$1,678 - 1,825",2 Beds,"42 Hallowell Dr, Blacklick, OH 43004"
"$1,219 - 1,234",2 Beds,"2765 Sawmill Park Dr, Dublin, OH 43017"
"$1,024 - 1,705",1-3 Beds,"135 Reynoldsburg-New Albany Rd S, Reynoldsburg, OH 43068"
"$1,395",2 Beds,"4230 Demorest Cove Ct, Grove City, OH 43123"
"$1,080 - 1,895",1-3 Beds,"3301 Brice Rd, Canal Winchester, OH 43110"
"$1,510 - 1,560",1 Bed,"1288 N High St, Columbus, OH 43201"
"$1,100 - 2,605",1-2 Beds,"149 Sanctuary Village Dr, Columbus, OH 43235"
"$895 - 1,895",Studio - 3 Beds,"11 E Gay St, Columbus, OH 43215"
"$1,100 - 1,400",1-2 Beds,"1040 Hartford Village Blvd, Columbus, OH 43228"
"$950 - 1,290",1-2 Beds,"412 Thurber Dr W, Columbus, OH 43215"
"$940 - 1,920",Studio - 4 Beds,"59 Fitzhenry Blvd, Columbus, OH 43214"
"$1,175",2 Beds,"1876 San Remo Dr, Columbus, OH 43204"
