price,rooms,address
"$999 - 1,893",1-3 Beds,"6800 Brendon Way W Dr, Indianapolis, IN 46226"
"$974 - 3,499",1-3 Beds,"7745 Solana Dr, Indianapolis, IN 46240"
"$1,195 - 3,275",1-3 Beds,"335 W 9th St, Indianapolis, IN 46202"
"$1,050 - 1,600",1-2 Beds,"8850 Riverbend Pky, Indianapolis, IN 46250"
"$725 - 1,525",Studio - 2 Beds,"7601 Carlton Arms Dr, Indianapolis, IN 46256"
"$1,699 - 3,929",1-3 Beds,"50 N Illinois St, Indianapolis, IN 46204"
"$1,275 - 1,815",1-2 Beds,"3914 Lake Clearwater Pl, Indianapolis, IN 46240"
"$845 - 2,650",Studio - 3 Beds,"6000 Westlake Dr, Indianapolis, IN 46224"
"$793 - 1,756",1-3 Beds,"5301 S Turtle Creek South Dr, Indianapolis, IN 46227"
"$799 - 1,499",Studio - 3 Beds,"7171 Twin Oaks Dr, Indianapolis, IN 46226"
"$1,587 - 3,224",Studio - 3 Beds,"5858 N College Ave, Indianapolis, IN 46220"
"$1,353 - 4,520",Studio - 2 Beds,"421 N Pennsylvania St, Indianapolis, IN 46204"
"$775 - 1,630",Studio - 3 Beds,"3645 Wingate Ct, Indianapolis, IN 46235"
"$1,389 - 2,099",2-3 Beds,"832 Park Central Ct, Indianapolis, IN 46260"
"$1,299 - 2,799",1-3 Beds,"5000 Bennett Pky, Zionsville, IN 46077"
"$1,179 - 1,650",1-3 Beds,"3717 Piermont Dr, Indianapolis, IN 46227"
"$1,059 - 1,489",1-3 Beds,"6789 S East St, Indianapolis, IN 46227"
"$1,115 - 1,985",1-3 Beds,"7202 Winslet Blvd, Indianapolis, IN 46217"
"$920 - 1,225",1-2 Beds,"3543 Idlewood Ter, Indianapolis, IN 46214"
"$999 - 2,329",1-3 Beds,"811 Antique Ct, Indianapolis, IN 46260"
"$950 - 1,650",1-4 Beds,"11415 Knollridge Ln, Indianapolis, IN 46229"
"$1,298 - 2,530",Studio - 2 Beds,"2727 E 86th St, Indianapolis, IN 46240"
"$965 - 1,495",1-3 Beds,"6363 Commons Dr, Indianapolis, IN 46254"
"$974 - 1,409",1-2 Beds,"9301 Yale Dr, Indianapolis, IN 46240"
"$1,600",1-3 Beds,"8740 Arborway Ct, Indianapolis, IN 46268"
"$1,650 - 1,850",2-3 Beds,"5500 S Emerson Ave, Indianapolis, IN 46237"
"$1,029 - 1,710",1-2 Beds,"9075 Autumn Woods Dr, Indianapolis, IN 46250"
"$1,045 - 1,570",1-2 Beds,"7135 Thatcher Dr, Indianapolis, IN 46256"
"$949 - 1,739",1-3 Beds,"9250 Kungsholm Dr, Indianapolis, IN 46250"
"$1,595 - 1,995",2-3 Beds,"412 E County Line Rd, Indianapolis, IN 46227"
"$1,225 - 2,386",Studio - 3 Beds,"617 N College, Indianapolis, IN 46204"
"$1,270 - 1,835",1-3 Beds,"5702 Castle Hill Dr, Indianapolis, IN 46250"
"$1,354 - 1,479",2 Beds,"5707 A Ivy Knoll Dr, Indianapolis, IN 46250"
"$900 - 1,100",1-2 Beds,"8020 Madison Ave, Indianapolis, IN 46227"
"$999 - 1,550",1-3 Beds,"6111 Allisonville Rd, Indianapolis, IN 46220"
"$810 - 1,570",Studio - 3 Beds,"7344 Meridian Hills Ct, Indianapolis, IN 46260"
"$1,070 - 1,400",1-2 Beds,"6650 Creek Bay Dr, Indianapolis, IN 46217"
"$1,099 - 2,267",Studio - 2 Beds,"359 N West St, Indianapolis, IN 46202"
"$760 - 1,115",1-2 Beds,"2629 Plaza Dr, Indianapolis, IN 46268"
"$650 - 1,500",Studio - 4 Beds,"3800 W Michigan St, Indianapolis, IN 46222"
"$999 - 1,893",1-3 Beds,"6800 Brendon Way W Dr, Indianapolis, IN 46226"
"$974 - 3,499",1-3 Beds,"7745 Solana Dr, Indianapolis, IN 46240"
"$1,195 - 3,275",1-3 Beds,"335 W 9th St, Indianapolis, IN 46202"
"$1,050 - 1,600",1-2 Beds,"8850 Riverbend Pky, Indianapolis, IN 46250"
"$725 - 1,525",Studio - 2 Beds,"7601 Carlton Arms Dr, Indianapolis, IN 46256"
"$1,699 - 3,929",1-3 Beds,"50 N Illinois St, Indianapolis, IN 46204"
"$1,275 - 1,815",1-2 Beds,"3914 Lake Clearwater Pl, Indianapolis, IN 46240"
"$845 - 2,650",Studio - 3 Beds,"6000 Westlake Dr, Indianapolis, IN 46224"
"$793 - 1,756",1-3 Beds,"5301 S Turtle Creek South Dr, Indianapolis, IN 46227"
"$799 - 1,499",Studio - 3 Beds,"7171 Twin Oaks Dr, Indianapolis, IN 46226"
"$1,587 - 3,224",Studio - 3 Beds,"5858 N College Ave, Indianapolis, IN 46220"
"$1,353 - 4,520",Studio - 2 Beds,"421 N Pennsylvania St, Indianapolis, IN 46204"
"$775 - 1,630",Studio - 3 Beds,"3645 Wingate Ct, Indianapolis, IN 46235"
"$1,389 - 2,099",2-3 Beds,"832 Park Central Ct, Indianapolis, IN 46260"
"$1,299 - 2,799",1-3 Beds,"5000 Bennett Pky, Zionsville, IN 46077"
"$1,179 - 1,650",1-3 Beds,"3717 Piermont Dr, Indianapolis, IN 46227"
"$1,059 - 1,489",1-3 Beds,"6789 S East St, Indianapolis, IN 46227"
"$1,115 - 1,985",1-3 Beds,"7202 Winslet Blvd, Indianapolis, IN 46217"
"$920 - 1,225",1-2 Beds,"3543 Idlewood Ter, Indianapolis, IN 46214"
"$999 - 2,329",1-3 Beds,"811 Antique Ct, Indianapolis, IN 46260"
"$950 - 1,650",1-4 Beds,"11415 Knollridge Ln, Indianapolis, IN 46229"
"$1,298 - 2,530",Studio - 2 Beds,"2727 E 86th St, Indianapolis, IN 46240"
"$965 - 1,495",1-3 Beds,"6363 Commons Dr, Indianapolis, IN 46254"
"$974 - 1,409",1-2 Beds,"9301 Yale Dr, Indianapolis, IN 46240"
"$1,600",1-3 Beds,"8740 Arborway Ct, Indianapolis, IN 46268"
"$1,650 - 1,850",2-3 Beds,"5500 S Emerson Ave, Indianapolis, IN 46237"
"$1,029 - 1,710",1-2 Beds,"9075 Autumn Woods Dr, Indianapolis, IN 46250"
"$1,045 - 1,570",1-2 Beds,"7135 Thatcher Dr, Indianapolis, IN 46256"
"$949 - 1,739",1-3 Beds,"9250 Kungsholm Dr, Indianapolis, IN 46250"
"$1,595 - 1,995",2-3 Beds,"412 E County Line Rd, Indianapolis, IN 46227"
"$1,225 - 2,386",Studio - 3 Beds,"617 N College, Indianapolis, IN 46204"
"$1,270 - 1,835",1-3 Beds,"5702 Castle Hill Dr, Indianapolis, IN 46250"
"$1,354 - 1,479",2 Beds,"5707 A Ivy Knoll Dr, Indianapolis, IN 46250"
"$1,086 - 4,634",Studio - 3 Beds,"451-475 E Market St, Indianapolis, IN 46204"
"$925 - 1,600",1-3 Beds,"7913 Ella Dobbs Ln, Indianapolis, IN 46227"
"$869 - 1,758",Studio - 3 Beds,"7999 Silverleaf Dr, Indianapolis, IN 46260"
"$665 - 1,245",Studio - 2 Beds,"9000 N College Ave, Indianapolis, IN 46240"
"$1,288 - 1,734",1-2 Beds,"6640 Heron Neck Dr, Indianapolis, IN 46217"
"$1,040 - 1,430",1-2 Beds,"5200 E Fall Creek Parkway North Dr, Indianapolis, IN 46220"
"$1,400 - 1,855",1-2 Beds,"2810 Willow Lake Dr, Indianapolis, IN 46268"
"$925 - 1,475",1-3 Beds,"4901 Whitton Pl, Indianapolis, IN 46220"
"$1,150 - 1,770",1-3 Beds,"7251 Windsor Lakes Dr, Indianapolis, IN 46237"
"$1,100 - 2,420",1-4 Beds,"1201 Indiana Ave, Indianapolis, IN 46202"
"$859 - 1,309",1-2 Beds,"9093 Bourbon St, Indianapolis, IN 46235"
"$1,090 - 1,685",1-3 Beds,"8281 Clearvista Pky, Indianapolis, IN 46256"
"$1,049 - 1,459",1-2 Beds,"5483 Holly Springs Dr W, Indianapolis, IN 46254"
"$900 - 1,400",1-3 Beds,"8002 Harcourt Rd, Indianapolis, IN 46260"
"$865 - 1,495",1-3 Beds,"7136 Crystal Bay Dr E, Indianapolis, IN 46260"
"$825 - 1,285",1-2 Beds,"9115 Knights Bridge Blvd, Indianapolis, IN 46240"
"$835 - 1,525",1-4 Beds,"8201 Madison Ave, Indianapolis, IN 46227"
"$829 - 1,225",1-2 Beds,"5350 Cider Mill Ln, Indianapolis, IN 46226"
"$700 - 1,295",1-3 Beds,"4100 Continental Ct, Indianapolis, IN 46227"
"$778 - 1,242",1-3 Beds,"3451 Sherburne Ln, Indianapolis, IN 46222"
"$815 - 1,180",1-2 Beds,"4401 S Keystone Ave, Indianapolis, IN 46227"
"$1,160 - 1,785",1-3 Beds,"1844 Pemberton Ln, Indianapolis, IN 46260"
"$968 - 1,571",Studio - 3 Beds,"4651 Mimi Dr, Indianapolis, IN 46237"
"$1,358 - 2,498",Studio - 2 Beds,"310 W Michigan St, Indianapolis, IN 46202"
"$1,050 - 1,450",1-3 Beds,"1225 W Park Way, Indianapolis, IN 46214"
"$824 - 1,224",1-3 Beds,"1130 Racquet Club North Dr, Indianapolis, IN 46260"
"$1,040 - 1,444",1-2 Beds,"8401 Boggs Creek Dr, Indianapolis, IN 46237"
"$1,299 - 3,299",Studio - 2 Beds,"6349 N College Ave, Indianapolis, IN 46220"
"$1,400",2 Beds,"4620 Englewood Ave, Indianapolis, IN 46226"
"$1,680 - 4,530",Studio - 3 Beds,"360 E Market St, Indianapolis, IN 46204"
"$914 - 1,788",1-4 Beds,"5816 W 38th St, Indianapolis, IN 46254"
"$1,065 - 2,441",1-2 Beds,"8320 Spyglass Dr, Indianapolis, IN 46260"
"$1,375 - 3,796",2-3 Beds,"5830 River Wood Dr, Indianapolis, IN 46250"
"$899 - 1,250",1-2 Beds,"4800 N Post Rd, Indianapolis, IN 46226"
"$1,056 - 1,304",1-2 Beds,"9535 Benchmark Dr, Indianapolis, IN 46240"
"$1,190 - 1,930",1-3 Beds,"6909 Murphys Landing Ln, Indianapolis, IN 46217"
"$1,090 - 2,030",Studio - 3 Beds,"3103 N Meridian St, Indianapolis, IN 46208"
"$999 - 1,140",Studio - 2 Beds,"3553 Founders Rd, Indianapolis, IN 46268"
"$910 - 1,539",1-3 Beds,"1451 E Southport Rd, Indianapolis, IN 46227"
"$840 - 1,657",Studio - 3 Beds,"5303 Rue De Ville, Indianapolis, IN 46220"
"$940 - 1,075",1-2 Beds,"7007 Deer Path Dr, Indianapolis, IN 46254"
"$899 - 1,500",1-3 Beds,"6010 W 25th St, Indianapolis, IN 46224"
"$825 - 1,295",1-3 Beds,"4259 Burkhart Dr, Indianapolis, IN 46227"
"$759 - 1,647",1-3 Beds,"6495 Piping Rock Ln, Indianapolis, IN 46254"
"$1,074 - 1,537",1-4 Beds,"625 Belhaven Pl, Indianapolis, IN 46229"
