price,rooms,address
"$718 - 1,650",Studio - 3 Beds,"11330 Colorado Ave, Kansas City, MO 64137"
"$600 - 1,930",1-2 Beds,"612 Garfield Ave, Kansas City, MO 64124"
"$1,280 - 3,373",1-3 Beds,"311 NW 96th St, Kansas City, MO 64155"
"$915 - 2,375",Studio - 3 Beds,"1936 Summit St, Kansas City, MO 64108"
"$1,310 - 2,389",1-2 Beds,"8901 N Chestnut Ave, Kansas City, MO 64156"
"$811 - 3,867",Studio - 3 Beds,"720 Main St, Kansas City, MO 64105"
"$1,325 - 13,561",Studio - 3 Beds,"1477 Main St, Kansas City, MO 64105"
"$683 - 1,875",Studio - 3 Beds,"7000 Crabapple Ln, Kansas City, MO 64129"
"$1,280 - 2,499",Studio - 2 Beds,"318 W 7th St, Kansas City, MO 64105"
"$822 - 2,873",1-3 Beds,"8000-8300 N Hickory St, Kansas City, MO 64118"
"$810 - 1,647",1-2 Beds,"201 W 99th Ter, Kansas City, MO 64114"
"$829 - 1,895",Studio - 2 Beds,"933 McGee St, Kansas City, MO 64106"
"$1,277 - 3,133",1-3 Beds,"7987-7987 NE Flintlock Rd, Kansas City, MO 64158"
"$1,187 - 2,197",Studio - 2 Beds,"2980 Gillham Rd, Kansas City, MO 64108"
"$1,279 - 3,350",Studio - 3 Beds,"1801 Diamond Pky, North Kansas City, MO 64116"
"$1,205 - 1,800",1-2 Beds,"7510 N Oak Trafficway, Gladstone, MO 64118"
"$807 - 3,027",1-2 Beds,"3808 Booth St 2, Kansas City, KS 66103"
$700 - 800,Studio,"2400-2440 NE 68th St, Kansas City, MO 64118"
"$1,274 - 2,565",1-3 Beds,"14500 E Bannister Rd, Kansas City, MO 64139"
"$1,540 - 4,100",Studio - 2 Beds,"122 Delaware St, Kansas City, MO 64105"
"$1,379 - 2,071",1-2 Beds,"601 Avenida Cesar E Chavez, Kansas City, MO 64108"
"$1,521 - 3,848",Studio - 2 Beds,"1125 Grand Blvd, Kansas City, MO 64106"
"$1,000 - 2,650",Studio - 2 Beds,"106 W 11th St, Kansas City, MO 64105"
"$1,137 - 1,627",Studio - 2 Beds,"2975 Main St, Kansas City, MO 64108"
"$1,139 - 6,879",Studio - 2 Beds,"4111 Broadway, Kansas City, MO 64111"
"$1,364 - 6,417",Studio - 1 Bed,"1800 Walnut St, Kansas City, MO 64108"
