price,rooms,address
"$2,515 - 7,500",Studio - 3 Beds,"201 The Promenade N, Long Beach, CA 90802"
"$2,620 - 4,367",Studio - 3 Beds,"635 Pine Ave, Long Beach, CA 90802"
"$2,543 - 6,602",Studio - 2 Beds,"245 W Broadway, Long Beach, CA 90802"
"$3,299 - 11,499",Studio - 2 Beds,"777 E Ocean Blvd, Long Beach, CA 90802"
"$2,319 - 10,000",Studio - 3 Beds,"330 E 3rd St, Long Beach, CA 90802"
"$2,404 - 6,025",Studio - 3 Beds,"250 E Broadway, Long Beach, CA 90802"
"$2,690 - 4,180",Studio - 3 Beds,"500 W Broadway, Long Beach, CA 90802"
"$1,650 - 6,040",Studio - 2 Beds,"230 W 3rd St, Long Beach, CA 90802"
"$2,495 - 13,995",Studio - 2 Beds,"110 W Ocean Blvd, Long Beach, CA 90802"
"$2,600",2 Beds,"3787 E 11th St, Long Beach, CA 90804"
"$2,240 - 3,195",1-2 Beds,"1718 Ximeno Ave, Long Beach, CA 90815"
"$3,411 - 8,175",1-3 Beds,"5050 E Garford St, Long Beach, CA 90815"
"$2,449 - 6,030",1-2 Beds,"225 Long Beach Blvd, Long Beach, CA 90802"
"$2,565",1-2 Beds,"421 W Broadway, Long Beach, CA 90802"
"$2,199 - 3,132",Studio - 2 Beds,"225 W 3rd St, Long Beach, CA 90802"
Call for Rent,Studio - 3 Beds,"150 W Ocean Blvd, Long Beach, CA 90802"
"$3,310 - 12,310",Studio - 3 Beds,"200 W Ocean Blvd, Long Beach, CA 90802"
"$1,829 - 5,415",Studio - 2 Beds,"101 Alamitos Ave, Long Beach, CA 90802"
"$2,412 - 4,155",Studio - 2 Beds,"207 Seaside Way, Long Beach, CA 90802"
"$1,912 - 3,348",Studio - 2 Beds,"333 1st St, Seal Beach, CA 90740"
"$2,278 - 4,354",1-3 Beds,"4455 Casa Grande Cir, Cypress, CA 90630"
"$2,350 - 4,300",1-3 Beds,"11152 Wallingsford Rd, Los Alamitos, CA 90720"
"$2,165 - 4,680",Studio - 2 Beds,"100 Long Beach Blvd, Long Beach, CA 90802"
"$1,666 - 2,615",1-3 Beds,"5601 N Paramount Blvd, Long Beach, CA 90805"
"$2,177 - 11,490",Studio - 2 Beds,"442 W Ocean Blvd, Long Beach, CA 90802"
"$2,571 - 3,893",Studio - 2 Beds,"707 E Ocean Blvd, Long Beach, CA 90802"
"$2,029 - 4,827",Studio - 2 Beds,"1081 Long Beach Blvd, Long Beach, CA 90813"
"$2,860 - 3,530",1-2 Beds,"5926 Bixby Village Dr, Long Beach, CA 90803"
"$2,764 - 9,190",1-3 Beds,"2000 Park Ave, Long Beach, CA 90815"
"$2,205 - 4,590",Studio - 4 Beds,"1900 E Ocean Blvd, Long Beach, CA 90802"
"$2,100 - 4,300",Studio - 2 Beds,"1112 Locust Ave, Long Beach, CA 90813"
"$2,087 - 2,995",Studio - 2 Beds,"404 Pine Ave, Long Beach, CA 90802"
"$2,175 - 2,625",1-2 Beds,"4550 Montair Ave, Long Beach, CA 90808"
"$1,600 - 2,270",Studio - 2 Beds,"6479 Atlantic Ave, Long Beach, CA 90805"
"$2,895",3 Beds,"16818 Downey Ave, Paramount, CA 90723"
"$1,525 - 2,955",Studio - 3 Beds,"4907 1/4 Hayter Ave, Lakewood, CA 90712"
"$2,595 - 3,550",1-2 Beds,"Long Beach, CA 90803"
"$4,615",4 Beds,"1700 E Ocean Blvd, Long Beach, CA 90802"
"$2,049 - 3,252",Studio - 2 Beds,"555 Pine Ave, Long Beach, CA 90802"
"$1,273",2 Beds,"5441 Paramount Blvd, Long Beach, CA 90805"
"$2,515 - 7,500",Studio - 3 Beds,"201 The Promenade N, Long Beach, CA 90802"
"$2,620 - 4,367",Studio - 3 Beds,"635 Pine Ave, Long Beach, CA 90802"
"$2,543 - 6,602",Studio - 2 Beds,"245 W Broadway, Long Beach, CA 90802"
"$3,299 - 11,499",Studio - 2 Beds,"777 E Ocean Blvd, Long Beach, CA 90802"
"$2,319 - 10,000",Studio - 3 Beds,"330 E 3rd St, Long Beach, CA 90802"
"$2,404 - 6,025",Studio - 3 Beds,"250 E Broadway, Long Beach, CA 90802"
"$2,690 - 4,180",Studio - 3 Beds,"500 W Broadway, Long Beach, CA 90802"
"$1,650 - 6,040",Studio - 2 Beds,"230 W 3rd St, Long Beach, CA 90802"
"$2,495 - 13,995",Studio - 2 Beds,"110 W Ocean Blvd, Long Beach, CA 90802"
"$2,600",2 Beds,"3787 E 11th St, Long Beach, CA 90804"
"$2,240 - 3,195",1-2 Beds,"1718 Ximeno Ave, Long Beach, CA 90815"
"$3,411 - 8,175",1-3 Beds,"5050 E Garford St, Long Beach, CA 90815"
"$2,449 - 6,030",1-2 Beds,"225 Long Beach Blvd, Long Beach, CA 90802"
"$2,565",1-2 Beds,"421 W Broadway, Long Beach, CA 90802"
"$2,199 - 3,132",Studio - 2 Beds,"225 W 3rd St, Long Beach, CA 90802"
Call for Rent,Studio - 3 Beds,"150 W Ocean Blvd, Long Beach, CA 90802"
"$3,310 - 12,310",Studio - 3 Beds,"200 W Ocean Blvd, Long Beach, CA 90802"
"$1,829 - 5,415",Studio - 2 Beds,"101 Alamitos Ave, Long Beach, CA 90802"
"$2,412 - 4,155",Studio - 2 Beds,"207 Seaside Way, Long Beach, CA 90802"
"$1,912 - 3,348",Studio - 2 Beds,"333 1st St, Seal Beach, CA 90740"
"$2,278 - 4,354",1-3 Beds,"4455 Casa Grande Cir, Cypress, CA 90630"
"$2,350 - 4,300",1-3 Beds,"11152 Wallingsford Rd, Los Alamitos, CA 90720"
"$2,165 - 4,680",Studio - 2 Beds,"100 Long Beach Blvd, Long Beach, CA 90802"
"$1,666 - 2,615",1-3 Beds,"5601 N Paramount Blvd, Long Beach, CA 90805"
"$2,177 - 11,490",Studio - 2 Beds,"442 W Ocean Blvd, Long Beach, CA 90802"
"$2,571 - 3,893",Studio - 2 Beds,"707 E Ocean Blvd, Long Beach, CA 90802"
"$2,029 - 4,827",Studio - 2 Beds,"1081 Long Beach Blvd, Long Beach, CA 90813"
"$2,860 - 3,530",1-2 Beds,"5926 Bixby Village Dr, Long Beach, CA 90803"
"$2,764 - 9,190",1-3 Beds,"2000 Park Ave, Long Beach, CA 90815"
"$2,250 - 2,725",1-2 Beds,"11509 216th St, Lakewood, CA 90715"
"$2,525 - 3,195",2 Beds,"4874 E Los Coyotes Diag, Long Beach, CA 90815"
"$2,253 - 3,511",1-2 Beds,"245 Pine Ave, Long Beach, CA 90802"
"$2,063 - 3,224",1-2 Beds,"5980 Bixby Village Dr, Long Beach, CA 90803"
"$3,919 - 9,550",1-3 Beds,"1025 Palo Verde Ave, Long Beach, CA 90815"
"$2,567 - 4,797",1-2 Beds,"1240 San Antonio Dr, Long Beach, CA 90807"
"$2,333 - 2,351",Studio - 2 Beds,"1809 Termino Ave, Long Beach, CA 90815"
"$2,160 - 3,005",1-2 Beds,"3500 Hathaway Ave, Long Beach, CA 90815"
"$1,715 - 2,080",Studio - 1 Bed,"5025 E Pacific Coast Hwy, Long Beach, CA 90815"
"$1,848 - 5,970",Studio - 2 Beds,"4901 Clair Del Ave, Long Beach, CA 90807"
"$2,150/mo","2 Beds, 1 Bath","15328 Orange Ave, Paramount, CA 90723"
"$3,970 /mo","4 Beds, 2 Baths","15328 Orange Ave, Paramount, CA 90723"
"$1,600/mo","Studio, 1 Bath","700 E Esther St, Long Beach, CA 90813"
"$5,500 /mo","3 Beds, 2 Baths",Apartment for Rent
"$1,995/mo","1 Bed, 1 Bath","6719 Harbor Ave, Long Beach, CA 90805"
"$3,850/mo","2 Beds, 2 Baths",House for Rent
"$1,750/mo","1 Bed, 1 Bath","5712 Lewis Ave, Long Beach, CA 90805"
"$1,850/mo","1 Bed, 1 Bath",Apartment for Rent
"$3,490/mo","2 Beds, 1 Bath","3240 Marwick Ave, Long Beach, CA 90808"
"$2,530/mo","1 Bed, 1 Bath",House for Rent
"$3,340/mo","1 Bed, 1 Bath","111 Bennett Ave, Long Beach, CA 90803"
"$2,840/mo","1 Bed, 1 Bath",Apartment for Rent
"$1,495/mo","Studio, 1 Bath","230 W 3rd St, Long Beach, CA 90802"
"$1,950/mo","2 Beds, 1 Bath",Apartment for Rent
"$3,860/mo","1 Bed, 1 Bath","1120 Linden Ave, Long Beach, CA 90813"
"$2,100/mo","1 Bed, 1 Bath",Apartment for Rent
"$1,850/mo","Studio, 1 Bath","700 E Esther St, Long Beach, CA 90813"
"$2,730 /mo","1 Bed, 1 Bath",Apartment for Rent
"$2,300 /mo","2 Beds, 2 Baths","230 W 3rd St, Long Beach, CA 90802"
"$2,250/mo","2 Beds, 2 Baths",Apartment for Rent
"$4,300/mo","3 Beds, 2 Baths","636 Pacific Ave, Long Beach, CA 90802"
"$2,995/mo","3 Beds, 1 Bath",Apartment for Rent
"$1,850/mo","1 Bed, 1 Bath","636 Pacific Ave, Long Beach, CA 90802"
"$3,275 /mo","3 Beds, 3 Baths",Apartment for Rent
"$2,900/mo","2 Beds, 2 Baths","101 Alamitos Ave, Long Beach, CA 90802"
"$1,500/mo","1 Bed, 1 Bath",Apartment for Rent
"$1,595/mo","1 Bed, 1 Bath","744 Pine Ave, Long Beach, CA 90813"
"$3,695/mo","3 Beds, 2 Baths",Apartment for Rent
"$2,800/mo","2 Beds, 1.5 Baths","3039 Fashion Ave, Long Beach, CA 90810"
"$2,980/mo","1 Bed, 1 Bath",Apartment for Rent
"$7,500/mo","3 Beds, 2 Baths","777 E Ocean Blvd, Long Beach, CA 90802"
"$2,195/mo","1 Bed, 1 Bath",Apartment for Rent
"$3,095 /mo","2 Beds, 1 Bath","3415 Linden Ave, Long Beach, CA 90807"
"$1,495/mo","Studio, 1 Bath",Apartment for Rent
"$1,595 - 1,695/mo","1 Bed, 1 Bath","3815 Gundry Ave, Long Beach, CA 90807"
"$1,695/mo","1 Bed, 1 Bath",Apartment for Rent
"$1,875/mo","1 Bed, 1 Bath","1728 E Florida St, Long Beach, CA 90802"
"$2,749/mo","1 Bed, 1 Bath",House for Rent
"$2,150/mo","1 Bed, 1 Bath","170 E Arbor St, Long Beach, CA 90805"
"$3,800/mo","2 Beds, 2 Baths","4710 E Shaw St, Long Beach, CA 90803"
"$2,700/mo","1 Bed, 1 Bath",Apartment for Rent
"$2,850/mo","2 Beds, 1 Bath","835 Locust Ave, Long Beach, CA 90813"
"$3,250/mo","1 Bed, 1 Bath",Condo for Rent
"$2,500/mo","1 Bed, 1 Bath","80 Granada Ave, Long Beach, CA 90803"
"$2,700/mo","2 Beds, 2 Baths",Apartment for Rent
"$2,554/mo","2 Beds, 1 Bath","1750 E Ocean Blvd, Long Beach, CA 90802"
"$1,550/mo","Studio, 1 Bath",Condo for Rent
"$1,650/mo","Studio, 1 Bath","388 E Ocean Blvd, Long Beach, CA 90802"
"$3,400/mo","2 Beds, 1 Bath",Condo for Rent
"$3,250/mo","2 Beds, 1.5 Baths","5585 Pacific Coast Hwy, Long Beach, CA 90804"
"$3,700/mo","2 Beds, 2 Baths",Condo for Rent
"$3,395 /mo","2 Beds, 1 Bath","2107 Earl Ave, Long Beach, CA 90806"
"$2,600/mo","2 Beds, 2 Baths",Apartment for Rent
"$2,400/mo","2 Beds, 2 Baths","315 W 3rd St, Long Beach, CA 90802"
"$2,300/mo","2 Beds, 1 Bath",Condo for Rent
"$2,400/mo","1 Bed, 1 Bath","2139 Pacific Ave, Long Beach, CA 90806"
"$2,400/mo","2 Beds, 2 Baths",Apartment for Rent
"$5,000/mo","3 Beds, 2.5 Baths","1030 E Ocean Blvd, Long Beach, CA 90802"
"$2,800/mo","2 Beds, 1 Bath",Condo for Rent
"$2,295/mo","1 Bed, 1 Bath","265 Newport Ave, Long Beach, CA 90803"
"$2,995/mo","1 Bed, 1 Bath",Apartment for Rent
"$2,000/mo","1 Bed, 1 Bath","488 E Ocean Blvd, Long Beach, CA 90802"
"$2,200/mo","1 Bed, 1 Bath",Condo for Rent
"$2,750/mo","2 Beds, 2 Baths","652 Newport Ave, Long Beach, CA 90814"
"$2,600 /mo","1 Bed, 1 Bath",House for Rent
"$2,300 /mo","1 Bed, 1 Bath","375 Atlantic Ave, Long Beach, CA 90802"
"$2,500/mo","2 Beds, 1 Bath",Condo for Rent
"$3,175/mo","1 Bed, 1 Bath","1200 Ohio Ave, Long Beach, CA 90804"
"$2,800/mo","2 Beds, 2 Baths",Condo for Rent
"$1,900/mo","2 Beds, 1 Bath","1436 E 8th St, Long Beach, CA 90813"
"$7,500/mo","3 Beds, 2 Baths",Apartment for Rent
"$2,800 /mo","2 Beds, 1 Bath","436 N Bellflower Blvd, Long Beach, CA 90814"
"$3,950/mo","2 Beds, 1.5 Baths",Condo for Rent
"$3,200/mo","2 Beds, 1 Bath","612 Nebraska Ave, Long Beach, CA 90802"
"$1,895/mo","1 Bed, 1 Bath",Condo for Rent
"$3,500/mo","2 Beds, 2 Baths","850 E Ocean Blvd, Long Beach, CA 90802"
"$3,577/mo","2 Beds, 2 Baths",Condo for Rent
"$3,900 /mo","3 Beds, 2 Baths","3029 Pacific Ave, Long Beach, CA 90806"
"$2,695 /mo","2 Beds, 1 Bath",Apartment for Rent
"$2,195/mo","2 Beds, 1 Bath","640 E 8th St, Long Beach, CA 90813"
"$1,800/mo","1 Bed, 1 Bath",Apartment for Rent
"$2,975/mo","2 Beds, 2 Baths","5075 Atlantic Ave, Long Beach, CA 90805"
"$2,050/mo","2 Beds, 1 Bath",Apartment for Rent
"$14,995 /mo","4 Beds, 4 Baths","4717 E 14th St, Long Beach, CA 90804"
"$5,500 /mo","4 Beds, 3 Baths",Townhouse for Rent
"$7,800/mo","2 Beds, 2 Baths","1921 E 6th St, Long Beach, CA 90802"
"$3,900/mo","2 Beds, 2 Baths",Townhouse for Rent
"$7,900 /mo","5 Beds, 6 Baths","109 Geneva Walk, Long Beach, CA 90803"
"$2,795/mo","1 Bed, 1 Bath",House for Rent
"$2,150/mo","2 Beds, 1 Bath","6441 E Mantova St, Long Beach, CA 90815"
"$2,200/mo","1 Bed, 1 Bath",House for Rent
"$2,500/mo","2 Beds, 2 Baths","1 62nd Pl, Long Beach, CA 90803"
