price,rooms,address
"$2,550 - 8,150",Studio - 3 Beds,"3545 Wilshire Blvd, Los Angeles, CA 90010"
"$1,635 - 2,498",Studio - 2 Beds,"951 S Oxford Ave, Los Angeles, CA 90006"
"$2,444 - 5,470",1-3 Beds,"325 W Adams Blvd, Los Angeles, CA 90007"
"$2,950 - 9,431",Studio - 3 Beds,"1010 Wilshire Blvd, Los Angeles, CA 90017"
"$2,020 - 3,200",Studio - 2 Beds,"2525 Wilshire Blvd, Los Angeles, CA 90057"
"$1,533 - 5,730",Studio - 2 Beds,"209 S Westmoreland Ave, Los Angeles, CA 90004"
"$2,568 - 6,030",Studio - 3 Beds,"3333 S La Cienega Blvd, Los Angeles, CA 90016"
"$2,600 - 12,030",Studio - 3 Beds,"960 W 7th St, Los Angeles, CA 90017"
"$2,170 - 9,505",Studio - 3 Beds,"696 S New Hampshire Ave, Los Angeles, CA 90005"
"$2,633 - 4,675",Studio - 2 Beds,"1818 N Cherokee Ave, Los Angeles, CA 90028"
"$2,132 - 3,798",Studio - 3 Beds,"2245 S Beverly Glen Blvd, Los Angeles, CA 90064"
"$1,540 - 2,405",Studio - 1 Bed,"2424 Wilshire Blvd, Los Angeles, CA 90057"
"$1,795 - 3,599",Studio - 2 Beds,"160 S Virgil Ave, Los Angeles, CA 90004"
"$2,085 - 3,956",Studio - 3 Beds,"1026 S Broadway, Los Angeles, CA 90015"
"$2,647 - 8,441",Studio - 3 Beds,"2435 S Sepulveda Blvd, Los Angeles, CA 90064"
"$3,480 - 12,750",Studio - 2 Beds,"11750 Wilshire Blvd, Los Angeles, CA 90025"
"$2,711 - 27,799",1-3 Beds,"1200 S Figueroa St, Los Angeles, CA 90015"
"$11,000 - 14,100",1-4 Beds,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
"$1,942 - 3,400",Studio - 2 Beds,"1718 N Las Palmas Ave, Los Angeles, CA 90028"
"$2,693 - 6,827",Studio - 3 Beds,"427 W 5th St, Los Angeles, CA 90013"
"$2,950 - 5,100",Studio - 3 Beds,"1027 Wilshire Blvd, Los Angeles, CA 90017"
"$2,571 - 6,300",1-3 Beds,"801 S Hope St, Los Angeles, CA 90017"
"$2,200 - 4,804",Studio - 2 Beds,"3150 Wilshire Blvd, Los Angeles, CA 90010"
"$2,865 - 4,012",1-3 Beds,"8655 Belford Ave, Los Angeles, CA 90045"
"$2,307 - 21,096",Studio - 3 Beds,"1000 W 8th St, Los Angeles, CA 90017"
"$3,073 - 13,099",Studio - 3 Beds,"6245 Wilshire Blvd, Los Angeles, CA 90048"
"$2,702 - 9,372",1-3 Beds,"5901-5921 Center Dr, Los Angeles, CA 90045"
"$1,938 - 10,000",Studio - 3 Beds,"732 S Spring St, Los Angeles, CA 90014"
"$3,115 - 8,560",1-3 Beds,"1825 N Las Palmas Ave, Los Angeles, CA 90028"
"$4,995",3 Beds,"4025 Grand View Blvd, Los Angeles, CA 90066"
"$2,907 - 6,087",Studio - 2 Beds,"11916 W Pico Blvd, Los Angeles, CA 90064"
"$3,027 - 8,709",1-3 Beds,"6220 W 3rd St, Los Angeles, CA 90036"
"$1,454 - 6,235",3-4 Beds,"1515 Colby Ave, Los Angeles, CA 90025"
"$3,243 - 8,030",Studio - 2 Beds,"640 S Curson Ave, Los Angeles, CA 90036"
"$2,250 - 3,750",Studio - 3 Beds,"3540 Wilshire Blvd, Los Angeles, CA 90010"
"$1,963 - 4,794",Studio - 2 Beds,"300 N Beaudry Ave, Los Angeles, CA 90012"
"$2,360 - 3,740",Studio - 1 Bed,"750 S Oxford Ave, Los Angeles, CA 90005"
"$2,744 - 10,019",Studio - 2 Beds,"3311 S La Cienega Blvd, Los Angeles, CA 90016"
"$2,642 - 7,668",Studio - 3 Beds,"12121 W Olympic Blvd, Los Angeles, CA 90064"
"$2,195 - 3,573",Studio - 2 Beds,"1530 Cassil Pl, Los Angeles, CA 90028"
"$2,550 - 8,150",Studio - 3 Beds,"3545 Wilshire Blvd, Los Angeles, CA 90010"
"$1,635 - 2,498",Studio - 2 Beds,"951 S Oxford Ave, Los Angeles, CA 90006"
"$2,444 - 5,470",1-3 Beds,"325 W Adams Blvd, Los Angeles, CA 90007"
"$2,950 - 9,431",Studio - 3 Beds,"1010 Wilshire Blvd, Los Angeles, CA 90017"
"$2,020 - 3,200",Studio - 2 Beds,"2525 Wilshire Blvd, Los Angeles, CA 90057"
"$1,533 - 5,730",Studio - 2 Beds,"209 S Westmoreland Ave, Los Angeles, CA 90004"
"$2,568 - 6,030",Studio - 3 Beds,"3333 S La Cienega Blvd, Los Angeles, CA 90016"
"$2,600 - 12,030",Studio - 3 Beds,"960 W 7th St, Los Angeles, CA 90017"
"$2,170 - 9,505",Studio - 3 Beds,"696 S New Hampshire Ave, Los Angeles, CA 90005"
"$2,633 - 4,675",Studio - 2 Beds,"1818 N Cherokee Ave, Los Angeles, CA 90028"
"$2,132 - 3,798",Studio - 3 Beds,"2245 S Beverly Glen Blvd, Los Angeles, CA 90064"
"$1,540 - 2,405",Studio - 1 Bed,"2424 Wilshire Blvd, Los Angeles, CA 90057"
"$1,795 - 3,599",Studio - 2 Beds,"160 S Virgil Ave, Los Angeles, CA 90004"
"$2,085 - 3,956",Studio - 3 Beds,"1026 S Broadway, Los Angeles, CA 90015"
"$2,647 - 8,441",Studio - 3 Beds,"2435 S Sepulveda Blvd, Los Angeles, CA 90064"
"$3,480 - 12,750",Studio - 2 Beds,"11750 Wilshire Blvd, Los Angeles, CA 90025"
"$2,711 - 27,799",1-3 Beds,"1200 S Figueroa St, Los Angeles, CA 90015"
"$11,000 - 14,100",1-4 Beds,"10000 Santa Monica Blvd, Los Angeles, CA 90067"
"$1,942 - 3,400",Studio - 2 Beds,"1718 N Las Palmas Ave, Los Angeles, CA 90028"
"$2,693 - 6,827",Studio - 3 Beds,"427 W 5th St, Los Angeles, CA 90013"
"$2,950 - 5,100",Studio - 3 Beds,"1027 Wilshire Blvd, Los Angeles, CA 90017"
"$2,571 - 6,300",1-3 Beds,"801 S Hope St, Los Angeles, CA 90017"
"$2,200 - 4,804",Studio - 2 Beds,"3150 Wilshire Blvd, Los Angeles, CA 90010"
"$2,865 - 4,012",1-3 Beds,"8655 Belford Ave, Los Angeles, CA 90045"
"$2,307 - 21,096",Studio - 3 Beds,"1000 W 8th St, Los Angeles, CA 90017"
"$3,073 - 13,099",Studio - 3 Beds,"6245 Wilshire Blvd, Los Angeles, CA 90048"
"$2,702 - 9,372",1-3 Beds,"5901-5921 Center Dr, Los Angeles, CA 90045"
"$1,938 - 10,000",Studio - 3 Beds,"732 S Spring St, Los Angeles, CA 90014"
"$3,115 - 8,560",1-3 Beds,"1825 N Las Palmas Ave, Los Angeles, CA 90028"
"$4,995",3 Beds,"4025 Grand View Blvd, Los Angeles, CA 90066"
"$2,907 - 6,087",Studio - 2 Beds,"11916 W Pico Blvd, Los Angeles, CA 90064"
"$3,027 - 8,709",1-3 Beds,"6220 W 3rd St, Los Angeles, CA 90036"
"$1,454 - 6,235",3-4 Beds,"1515 Colby Ave, Los Angeles, CA 90025"
"$3,243 - 8,030",Studio - 2 Beds,"640 S Curson Ave, Los Angeles, CA 90036"
"$2,250 - 3,750",Studio - 3 Beds,"3540 Wilshire Blvd, Los Angeles, CA 90010"
"$1,963 - 4,794",Studio - 2 Beds,"300 N Beaudry Ave, Los Angeles, CA 90012"
"$2,360 - 3,740",Studio - 1 Bed,"750 S Oxford Ave, Los Angeles, CA 90005"
"$2,744 - 10,019",Studio - 2 Beds,"3311 S La Cienega Blvd, Los Angeles, CA 90016"
"$2,642 - 7,668",Studio - 3 Beds,"12121 W Olympic Blvd, Los Angeles, CA 90064"
