price,rooms,address
"$1,525 - 1,900",1-2 Beds,"9800 Willowbrook Cir, Louisville, KY 40223"
Call for Rent,1-3 Beds,"5217 Springdale Rd, Louisville, KY 40241"
"$1,475 - 3,124",1-3 Beds,"13645 Elanna Ave, Louisville, KY 40245"
"$1,174 - 2,000",1-3 Beds,"1453 Avoca Ridge Dr, Louisville, KY 40223"
"$988 - 1,902",1-2 Beds,"430 W Muhammad Ali Blvd, Louisville, KY 40202"
"$1,119 - 1,819",1-3 Beds,"841 River Dell Dr, Louisville, KY 40206"
"$1,179 - 1,919",1-3 Beds,"9811 Vieux Carre Dr, Louisville, KY 40223"
"$825 - 1,348",1-3 Beds,"5103 S 1st St, Louisville, KY 40214"
"$1,083 - 3,225",Studio - 3 Beds,"400 Mallard Creek Rd, Louisville, KY 40207"
"$860 - 2,075",Studio - 2 Beds,"800 S 4th St, Louisville, KY 40203"
"$919 - 1,719",Studio - 2 Beds,"1031 Everett Ave, Louisville, KY 40204"
"$949 - 1,569",1-3 Beds,"2814 De Mel Ave, Louisville, KY 40214"
"$1,238 - 2,210",1-3 Beds,"9500 Williamsburg Plz, Louisville, KY 40222"
"$1,496 - 2,017",1-3 Beds,"400 Echelon Way, Louisville, KY 40223"
"$1,336 - 2,457",Studio - 3 Beds,"555 S 4th St, Louisville, KY 40202"
"$1,150 - 1,425",1-2 Beds,"7715 Oakfields Pointe Rd, Louisville, KY 40228"
"$1,250 - 1,754",1-3 Beds,"5420 Eight Bells Ln, Louisville, KY 40258"
"$1,375 - 1,995",1-3 Beds,"3400 Tevis Dr, Louisville, KY 40220"
"$899 - 1,125",Studio - 2 Beds,"703 N Shore Dr, Jeffersonville, IN 47130"
"$1,215 - 1,745",1-3 Beds,"10605 Newtown Woods Trl, Fairdale, KY 40118"
"$1,410 - 2,963",1-4 Beds,"1501 Main St, Clarksville, IN 47129"
"$994 - 1,946",1-2 Beds,"609 E Main St, Louisville, KY 40202"
"$1,205 - 3,320",1-3 Beds,"10720 Bell Tucker Ln, Louisville, KY 40241"
"$1,999 - 3,205",2 Beds,"11307 Willow Pond Dr, Louisville, KY 40291"
"$1,402 - 1,699",1-3 Beds,"14735 Stable Gate Pl, Louisville, KY 40299"
"$1,099 - 2,120",Studio - 2 Beds,"835 E Main St, Louisville, KY 40206"
"$990 - 1,250",1-2 Beds,"2344 Grinstead Ct, Louisville, KY 40204"
"$2,950 - 3,800",3 Beds,"7015 Wesboro Rd, Louisville, KY 40222"
"$1,206 - 5,821",Studio - 3 Beds,"633 E Main St, Louisville, KY 40202"
"$1,196 - 1,660",1-2 Beds,"2204 Deercross Dr, Louisville, KY 40220"
"$1,235 - 1,535",1-2 Beds,"2515 Shining Water Dr, Louisville, KY 40299"
"$995 - 1,429",1-2 Beds,"802 E Madison St, Louisville, KY 40204"
"$599 - 2,660",2-4 Beds,"1501 Bellamy Pl, Louisville, KY 40208"
"$1,246 - 1,934",1-3 Beds,"11602 Apex View Dr, Louisville, KY 40229"
"$1,179 - 1,649",1-2 Beds,"7025 Bronner Cir, Louisville, KY 40218"
"$1,029 - 1,629",1-3 Beds,"11707 Nansemond Dr, Louisville, KY 40245"
"$1,429",2 Beds,"79 Highwood Pl, Louisville, KY 40206"
"$1,007 - 1,202",2-3 Beds,"5809 Russett Pl, Louisville, KY 40218"
