price,rooms,address
"$999 - 1,690",Studio - 2 Beds,"9 E Carolina Ave, Memphis, TN 38103"
"$1,189 - 2,059",Studio - 3 Beds,"1300 Lynnfield Rd, Memphis, TN 38119"
"$845 - 1,400",1-4 Beds,"3896 Chippewa Rd, Memphis, TN 38118"
"$1,289 - 2,295",1-3 Beds,"3333 Hacks Cross Rd, Memphis, TN 38125"
"$999 - 1,680",Studio - 2 Beds,"9 E Carolina Ave, Memphis, TN 38103"
"$1,099 - 1,899",Studio - 2 Beds,"775 Melrose St, Memphis, TN 38104"
"$1,259 - 1,839",1-3 Beds,"7841 N Garden Manor Dr, Memphis, TN 38125"
"$900 - 1,750",Studio - 2 Beds,"45 S Idlewild St, Memphis, TN 38104"
"$1,275 - 2,290",1-3 Beds,"205 Pasadena Pl, Memphis, TN 38104"
"$1,316 - 2,312",1-3 Beds,"2216 Brierbrook Rd, Memphis, TN 38138"
"$830 - 2,379",1-2 Beds,"1400 Greenbrook Pky, Memphis, TN 38134"
"$1,026 - 2,189",1-2 Beds,"495 Tennessee St, Memphis, TN 38103"
"$995 - 1,050",1-2 Beds,"3251 Southern Ave, Memphis, TN 38111"
"$1,134 - 2,619",Studio - 2 Beds,"2542 Broad Ave, Memphis, TN 38112"
"$1,520 - 2,530",1-3 Beds,"8993 Crestwyn Hills Dr, Memphis, TN 38125"
"$1,380 - 2,000",1-2 Beds,"694 Madison Ave, Memphis, TN 38103"
"$999 - 1,449",Studio - 2 Beds,"5811 Poplar Ave, Memphis, TN 38119"
"$999 - 1,375",1-2 Beds,"7935 Club Dr, Cordova, TN 38016"
"$983 - 1,519",1-3 Beds,"555 Wood Arbor Pky, Cordova, TN 38018"
"$1,519 - 2,685",Studio - 3 Beds,"599 Velo Dr, Cordova, TN 38018"
"$928 - 2,903",1-2 Beds,"8345 Championship Dr, Memphis, TN 38125"
"$775 - 1,190",1-2 Beds,"4025-4045 Riverdale Rd, Memphis, TN 38115"
"$700 - 1,150",1-2 Beds,"6332 Village Grove Dr, Memphis, TN 38115"
"$1,074 - 1,147",2 Beds,"2451 Union Ave, Memphis, TN 38112"
"$850 - 1,650",Studio - 3 Beds,"1550 N Parkway, Memphis, TN 38112"
"$562 - 1,394",Studio - 4 Beds,"2774 S Mendenhall Rd, Memphis, TN 38115"
"$1,547 - 3,701",1-3 Beds,"300 Grand Island Dr, Memphis, TN 38103"
$899 - 989,1 Bed,"274 S Highland St, Memphis, TN 38111"
"$1,349 - 1,725",1-2 Beds,"4 Riverview Dr W, Memphis, TN 38103"
"$799 - 1,529",1-3 Beds,"5770 Tangle Oaks Dr, Memphis, TN 38134"
"$799 - 1,459",Studio - 2 Beds,"810 Washington Ave, Memphis, TN 38105"
"$624 - 1,569",1-2 Beds,"3048 Moriah Trl, Memphis, TN 38115"
