price,rooms,address
"$1,360 - 1,460",1-2 Beds,"5315 E Broadway Rd, Mesa, AZ 85206"
"$1,420 - 2,200",1-2 Beds,"1247 S 96th St, Mesa, AZ 85209"
"$1,600 - 1,899",1-2 Beds,"1930 S 24th St, Mesa, AZ 85234"
"$1,199 - 1,669",Studio - 2 Beds,"9733 E Southern Ave, Mesa, AZ 85209"
"$1,487 - 2,161",1-3 Beds,"10631 E Southern Ave, Mesa, AZ 85209"
"$1,095 - 1,694",Studio - 2 Beds,"2107 W Broadway Rd, Mesa, AZ 85202"
"$1,394 - 2,249",Studio - 3 Beds,"4210 E Williams Field Rd, Gilbert, AZ 85295"
"$1,612 - 3,087",Studio - 2 Beds,"1979 E Rio Salado Pky, Tempe, AZ 85281"
"$1,679 - 2,024",1-2 Beds,"3000 W Southern Ave, Apache Junction, AZ 85120"
"$1,070 - 1,580",Studio - 2 Beds,"825 S Alma School Rd, Mesa, AZ 85210"
"$1,243 - 1,695",1-2 Beds,"544 E Southern Ave, Mesa, AZ 85204"
"$968 - 1,375",1-2 Beds,"546 S Country Club Dr, Mesa, AZ 85210"
"$1,266 - 1,810",1-3 Beds,"1361 S Greenfield Rd, Mesa, AZ 85206"
"$1,167 - 2,113",1-2 Beds,"1666 S Extension Rd, Mesa, AZ 85210"
"$1,245 - 2,175",1-3 Beds,"1464 S Stapley Dr, Mesa, AZ 85204"
"$1,200 - 1,550",1-2 Beds,"1653 S Harris Dr, Mesa, AZ 85204"
"$1,404 - 2,335",1-3 Beds,"5120 E Hampton Ave, Mesa, AZ 85206"
"$1,295 - 2,298",2-4 Beds,"9736 E Balsam Ave, Mesa, AZ 85208"
"$1,115 - 1,780",1-2 Beds,"4104 E Broadway Rd, Mesa, AZ 85206"
"$983 - 1,697",1-2 Beds,"1415 N Country Club Dr, Mesa, AZ 85201"
"$1,355 - 1,668",1-2 Beds,"949 S Longmore St, Mesa, AZ 85202"
"$1,494 - 1,889",2-3 Beds,"604 W 8th Ave, Mesa, AZ 85210"
"$1,281 - 1,483",1-2 Beds,"601 S Alma School Rd, Mesa, AZ 85210"
"$1,525 - 1,945",1-2 Beds,"1440 S Val Vista Dr, Mesa, AZ 85204"
"$1,340 - 1,515",1-2 Beds,"214 N Gilbert Rd, Mesa, AZ 85203"
"$995 - 1,295",Studio - 1 Bed,"708 N Country Club Dr, Mesa, AZ 85201"
"$1,248 - 1,623",1-2 Beds,"550 E McKellips Rd, Mesa, AZ 85203"
"$1,278 - 2,325",1-3 Beds,"855 W Southern Ave, Mesa, AZ 85210"
"$1,980 - 2,395",2-3 Beds,"1350 S Ellsworth Rd, Mesa, AZ 85209"
"$1,300 - 1,750",1-2 Beds,"63 W 1st Ave, Mesa, AZ 85210"
"$2,741 - 6,538",3-4 Beds,"5150 S Inspirian Pky, Mesa, AZ 85212"
"$1,400 - 3,275",Studio - 3 Beds,"9410 E Ray Rd, Mesa, AZ 85212"
"$1,314 - 1,596",Studio - 2 Beds,"6151 S Power Rd, Mesa, AZ 85212"
