price,rooms,address
"$1,487 - 4,943",Studio - 2 Beds,"650 Portland Ave, Minneapolis, MN 55415"
"$1,210 - 2,335",Studio - 2 Beds,"657 22nd Ave NE, Minneapolis, MN 55418"
"$1,270 - 3,945",Studio - 3 Beds,"2851 Hennepin Ave, Minneapolis, MN 55408"
"$1,259 - 2,996",Studio - 3 Beds,"2500 2nd St NE, Minneapolis, MN 55418"
"$1,442 - 7,115",Studio - 3 Beds,"700 S 4th St, Minneapolis, MN 55415"
"$1,280 - 2,365",Studio - 2 Beds,"485 Malcolm Ave SE, Minneapolis, MN 55414"
"$1,625 - 4,011",Studio - 3 Beds,"9920 Wayzata Blvd, Minneapolis, MN 55426"
"$1,489 - 11,961",Studio - 3 Beds,"365 Nicollet Mall, Minneapolis, MN 55401"
"$1,403 - 2,577",1-2 Beds,"1117 Marquette Ave, Minneapolis, MN 55403"
"$1,195 - 1,950",Studio - 2 Beds,"2401 Chicago Ave, Minneapolis, MN 55404"
"$1,240 - 4,605",Studio - 3 Beds,"816 Portland Ave S, Minneapolis, MN 55404"
"$1,545 - 14,140",Studio - 3 Beds,"200 University Ave SE, Minneapolis, MN 55414"
"$1,259 - 1,689",1-2 Beds,"6100 Summit Dr N, Minneapolis, MN 55430"
"$1,040 - 5,730",Studio - 2 Beds,"1455 W Lake St, Minneapolis, MN 55408"
"$1,000 - 2,150",Studio - 2 Beds,"2333 Jackson St NE, Minneapolis, MN 55418"
"$1,765 - 9,500",1-2 Beds,"3100 W Lake St, Minneapolis, MN 55416"
"$1,075 - 1,250",Studio,"711 8th St SE, Minneapolis, MN 55414"
"$1,550 - 8,500",1-3 Beds,"240 Park Ave, Minneapolis, MN 55415"
"$1,295 - 3,495",Studio - 3 Beds,"1025 Main St, Minneapolis, MN 55413"
"$1,620 - 1,775",Studio - 1 Bed,"515 Huron Blvd SE, Minneapolis, MN 55414"
"$1,021 - 2,875",Studio - 2 Beds,"760 Raymond Ave, Saint Paul, MN 55114"
"$1,747 - 3,995",Studio - 3 Beds,"6200 Penn Ave S, Richfield, MN 55423"
"$1,625 - 3,240",Studio - 2 Beds,"800 Cretin Ave S, Saint Paul, MN 55116"
"$1,275 - 2,215",Studio - 2 Beds,"3121 69th St W, Edina, MN 55435"
"$999 - 1,179",1 Bed,"3413-3433 53rd Ave N, Brooklyn Center, MN 55429"
"$1,275 - 1,495",1-3 Beds,"777 Berry St, Saint Paul, MN 55114"
"$1,640 - 3,740",Studio - 3 Beds,"1325 Utica Ave S, Saint Louis Park, MN 55416"
"$1,550 - 3,930",Studio - 3 Beds,"3250 W 66th St, Edina, MN 55435"
"$781 - 2,767",Studio - 4 Beds,"909 Gould Ave NE, Columbia Heights, MN 55421"
"$1,205 - 8,838",Studio - 3 Beds,"615 S 8th St, Minneapolis, MN 55404"
"$1,185 - 2,995",Studio - 2 Beds,"1125 Lagoon Ave, Minneapolis, MN 55408"
"$1,229 - 21,768",Studio - 3 Beds,"270 Hennepin Ave, Minneapolis, MN 55402"
"$1,314 - 5,541",Studio - 2 Beds,"703 NE Central Ave, Minneapolis, MN 55414"
"$1,525 - 3,600",Studio - 2 Beds,"110 N 1st St, Minneapolis, MN 55401"
"$1,276 - 3,408",Studio - 2 Beds,"4757 Hiawatha Ave, Minneapolis, MN 55406"
"$1,619 - 11,898",Studio - 3 Beds,"360 N Fifth St, Minneapolis, MN 55401"
"$899 - 1,949",Studio - 2 Beds,"3027 22nd Ave S, Minneapolis, MN 55407"
"$1,400 - 1,800",1-3 Beds,"1307 4th St SE, Minneapolis, MN 55414"
"$1,065 - 1,999",Studio - 2 Beds,"500 W Lake St, Minneapolis, MN 55408"
