price,rooms,address
"$1,837 - 10,223",1-2 Beds,"1535 Canal St, New Orleans, LA 70112"
"$1,408 - 8,179",1-2 Beds,"730 Julia St, New Orleans, LA 70130"
"$1,580 - 2,525",1-2 Beds,"2424 Tulane Ave, New Orleans, LA 70119"
"$1,364 - 3,727",1-3 Beds,"1420 Annunciation St, New Orleans, LA 70130"
"$1,580 - 2,213",1-3 Beds,"1643 Josephine St, New Orleans, LA 70130"
"$1,550 - 6,000",Studio - 3 Beds,"210 Baronne St, New Orleans, LA 70112"
"$1,550 - 6,387",1-2 Beds,"909 Gravier St, New Orleans, LA 70112"
"$1,546 - 2,438",1-2 Beds,"4650 Washington Ave, New Orleans, LA 70125"
"$1,345 - 2,485",1-2 Beds,"3701 Conti St, New Orleans, LA 70119"
"$1,705 - 2,945",Studio - 2 Beds,"1325 Annunciation St, New Orleans, LA 70130"
"$1,466 - 11,170",Studio - 2 Beds,"1100 Girod St, New Orleans, LA 70113"
"$1,550",1 Bed,"200 Carondelet St, New Orleans, LA 70130"
"$1,795 - 4,995",1-3 Beds,"939 Iberville St, New Orleans, LA 70112"
"$1,575 - 3,941",1-2 Beds,"812 Gravier St, New Orleans, LA 70112"
"$710 - 1,220",1-3 Beds,"3101 Rue Parc Fontaine, New Orleans, LA 70131"
"$1,395 - 2,600",1-2 Beds,"New Orleans, LA 70112"
"$710 - 1,350",Studio - 2 Beds,"5000 Woodland Dr, New Orleans, LA 70131"
"$1,279 - 2,036",1-4 Beds,"4254 Maple Leaf Dr, New Orleans, LA 70131"
"$1,686 - 4,805",1-3 Beds,"810 Bienville Ave, New Orleans, LA 70112"
"$1,150 - 2,699",Studio - 3 Beds,"3443 Esplanade Ave, New Orleans, LA 70119"
"$1,720 - 2,320",1-2 Beds,"3700 Orleans Ave, New Orleans, LA 70119"
"$1,050 - 1,465",1-3 Beds,"3301 W Esplanade Ave N, Metairie, LA 70002"
"$956 - 1,658",1-3 Beds,"1645 Carol Sue Ave, Gretna, LA 70056"
"$946 - 2,745",1-3 Beds,"1117 Whitney Ave, Gretna, LA 70056"
"$971 - 2,195",Studio - 2 Beds,"1013 Manhattan Blvd, Harvey, LA 70058"
"$1,888 - 12,359",1-2 Beds,"1000 Girod St, New Orleans, LA 70113"
"$1,637 - 5,532",1-2 Beds,"611 Okeefe Ave, New Orleans, LA 70113"
"$1,250 - 1,850",1-4 Beds,"1720-1740 Baronne St, New Orleans, LA 70113"
"$1,100 - 2,500",1-3 Beds,"2500 S I-10 Service Rd E, Metairie, LA 70001"
"$1,361 - 2,747",1-2 Beds,"4301 Tulane Ave, New Orleans, LA 70119"
"$1,570 - 2,235",Studio - 2 Beds,"344 St Joseph St, New Orleans, LA 70130"
"$1,724 - 2,228",1-2 Beds,"1501 St. Louis St, New Orleans, LA 70112"
"$2,150 - 3,260",Studio - 2 Beds,"927 Poeyfarre St, New Orleans, LA 70130"
"$1,434 - 1,900",2-4 Beds,"2300 General Meyer Ave, New Orleans, LA 70114"
Call for Rent,Studio - 3 Beds,"600 Canal St, New Orleans, LA 70130"
"$1,308 - 3,930",1-3 Beds,"1610 Allen Toussaint Blvd, New Orleans, LA 70122"
"$1,492 - 2,995",1-4 Beds,"3320 Clara St, New Orleans, LA 70115"
"$1,096 - 2,393",Studio - 2 Beds,"2233 St. Charles Ave, New Orleans, LA 70130"
"$1,358 - 2,755",1-2 Beds,"3000 Tulane Ave, New Orleans, LA 70119"
"$1,350 - 1,442",1-2 Beds,"215 Treme St, New Orleans, LA 70112"
"$1,837 - 10,223",1-2 Beds,"1535 Canal St, New Orleans, LA 70112"
"$1,408 - 8,179",1-2 Beds,"730 Julia St, New Orleans, LA 70130"
"$1,580 - 2,525",1-2 Beds,"2424 Tulane Ave, New Orleans, LA 70119"
"$1,364 - 3,727",1-3 Beds,"1420 Annunciation St, New Orleans, LA 70130"
"$1,580 - 2,213",1-3 Beds,"1643 Josephine St, New Orleans, LA 70130"
"$1,550 - 6,000",Studio - 3 Beds,"210 Baronne St, New Orleans, LA 70112"
"$1,550 - 6,387",1-2 Beds,"909 Gravier St, New Orleans, LA 70112"
"$1,546 - 2,438",1-2 Beds,"4650 Washington Ave, New Orleans, LA 70125"
"$1,345 - 2,485",1-2 Beds,"3701 Conti St, New Orleans, LA 70119"
"$1,705 - 2,945",Studio - 2 Beds,"1325 Annunciation St, New Orleans, LA 70130"
"$1,466 - 11,170",Studio - 2 Beds,"1100 Girod St, New Orleans, LA 70113"
"$1,550",1 Bed,"200 Carondelet St, New Orleans, LA 70130"
"$1,795 - 4,995",1-3 Beds,"939 Iberville St, New Orleans, LA 70112"
"$1,575 - 3,941",1-2 Beds,"812 Gravier St, New Orleans, LA 70112"
"$710 - 1,220",1-3 Beds,"3101 Rue Parc Fontaine, New Orleans, LA 70131"
"$1,395 - 2,600",1-2 Beds,"New Orleans, LA 70112"
"$710 - 1,350",Studio - 2 Beds,"5000 Woodland Dr, New Orleans, LA 70131"
"$1,279 - 2,036",1-4 Beds,"4254 Maple Leaf Dr, New Orleans, LA 70131"
"$1,686 - 4,805",1-3 Beds,"810 Bienville Ave, New Orleans, LA 70112"
"$1,150 - 2,699",Studio - 3 Beds,"3443 Esplanade Ave, New Orleans, LA 70119"
