price,rooms,address
"$2,954 - 6,081",1-3 Beds,"303 Arrowhead Ln, South Setauket, NY 11720"
"$1,960 - 4,673",Studio - 2 Beds,"300 Carleton Ave, Central Islip, NY 11722"
"$3,943 - 4,920",2-3 Beds,"201 Jerusalem Hollow Rd, Manorville, NY 11949"
"$2,740 - 3,825",1-2 Beds,"75 Circle Dr, Central Islip, NY 11722"
"$2,600 - 4,200",Studio - 2 Beds,"190 Beach 69th St, Arverne, NY 11692"
"$2,450 - 4,095",Studio - 2 Beds,"1100 Avalon Sq, Glen Cove, NY 11542"
"$1,850 - 2,425",Studio,"2010 Seagirt Blvd, Far Rockaway, NY 11691"
"$2,039 - 3,872",1-2 Beds,"1 Meadowoods Ln, Moriches, NY 11955"
"$2,979 - 8,374",1-3 Beds,"1 Village Grn, Patchogue, NY 11772"
"$2,395 - 3,110",1-2 Beds,"100 Terrace, Bayport, NY 11705"
"$2,330 - 3,870",Studio - 3 Beds,"1710 Devonshire Rd, Hauppauge, NY 11788"
"$2,612 - 3,683",1-3 Beds,"1220 Orchid Cir, Bellport, NY 11713"
"$2,629 - 7,739",Studio - 3 Beds,"10 Halletts Pt, Astoria, NY 11102"
"$3,399 - 10,000",Studio - 3 Beds,"695 Merrick Ave, Westbury, NY 11590"
"$2,495 - 4,095",Studio - 2 Beds,"75 E Hoffman Ave, Lindenhurst, NY 11757"
"$2,550 - 4,250",Studio - 2 Beds,"2930 Rockaway Ave, Oceanside, NY 11572"
"$3,060 - 5,025",1-2 Beds,"1515 Surf Ave, Brooklyn, NY 11224"
"$2,390 - 4,250",Studio - 3 Beds,"366 Broadway, Amityville, NY 11701"
"$3,400 - 7,220",Studio - 2 Beds,"180 Boardwalk, Long Beach, NY 11561"
"$2,520 - 5,965",Studio - 3 Beds,"143 4th Ave, Bay Shore, NY 11706"
"$2,745 - 4,208",Studio - 2 Beds,"461 Railroad Ave, Westbury, NY 11590"
"$3,088 - 4,507",1-2 Beds,"140 Old Country Rd, Mineola, NY 11501"
