price,rooms,address
"$2,294 - 9,180",Studio - 3 Beds,"312 24th St, Oakland, CA 94612"
"$1,979 - 4,701",Studio - 2 Beds,"3093 Broadway, Oakland, CA 94611"
"$2,170 - 5,980",Studio - 3 Beds,"150 4th St, Oakland, CA 94607"
"$2,487 - 5,228",Studio - 2 Beds,"385 14th St, Oakland, CA 94612"
"$2,245 - 3,217",Studio - 2 Beds,"1940 Webster St, Oakland, CA 94612"
"$2,097 - 6,733",Studio - 3 Beds,"37 8th Ave, Oakland, CA 94606"
"$1,690 - 5,479",Studio - 3 Beds,"1900 Broadway, Oakland, CA 94612"
"$2,495 - 3,995",Studio - 1 Bed,"2510 Bancroft Way, Berkeley, CA 94704"
"$2,725 - 4,800",1-2 Beds,"5684 Bay St, Emeryville, CA 94608"
"$4,572 - 5,048",2-4 Beds,"250 Mosley Ave, Alameda, CA 94501"
"$2,150 - 3,200",1 Bed,"2350 Saratoga St, Alameda, CA 94501"
"$2,780 - 5,350",Studio - 3 Beds,"6701 Shellmound St, Emeryville, CA 94608"
"$1,784 - 5,488",Studio - 3 Beds,"255 9th Ave, Oakland, CA 94606"
"$1,867 - 2,809",1-2 Beds,"225 Clifton St, Oakland, CA 94618"
"$2,076 - 2,966",Studio - 2 Beds,"500 William St, Oakland, CA 94612"
"$1,856 - 3,095",Studio - 3 Beds,"1389 Jefferson St, Oakland, CA 94612"
"$2,135 - 2,935",1-2 Beds,"1130 E 3rd Ave, Oakland, CA 94606"
"$1,780 - 4,065",Studio - 3 Beds,"2350 Valley St, Oakland, CA 94612"
"$2,345 - 23,395",Studio - 2 Beds,"2302 Valdez St, Oakland, CA 94612"
"$1,700 - 3,900",Studio - 2 Beds,"330 17th St, Oakland, CA 94612"
"$1,839 - 4,486",Studio - 3 Beds,"2450 Valdez St, Oakland, CA 94612"
"$2,053 - 3,099",Studio - 2 Beds,"459 23rd St, Oakland, CA 94612"
"$1,675 - 4,790",Studio - 2 Beds,"540 39th St, Oakland, CA 94609"
"$2,544 - 4,272",Studio - 2 Beds,"4700 Telegraph Ave, Oakland, CA 94609"
"$2,314 - 7,176",Studio - 2 Beds,"5110 Telegraph Ave, Oakland, CA 94609"
"$1,965 - 4,432",Studio - 2 Beds,"2820 Broadway, Oakland, CA 94611"
"$1,530 - 4,939",Studio - 3 Beds,"40 Harrison St, Oakland, CA 94607"
"$2,175 - 24,074",Studio - 3 Beds,"3883 Turquoise Way, Oakland, CA 94609"
"$3,314 - 7,261",1-3 Beds,"230-240 W Macarthur Blvd, Oakland, CA 94611"
"$2,008 - 4,650",Studio - 3 Beds,"1150 Clay St, Oakland, CA 94612"
"$1,969 - 3,958",Studio - 2 Beds,"532 Union St, Oakland, CA 94607"
"$1,395 - 3,068",Studio,"233 Broadway, Oakland, CA 94607"
"$2,050 - 3,050",1-2 Beds,"1510 Webster St, Oakland, CA 94612"
"$2,005 - 4,681",Studio - 3 Beds,"2330 Webster St, Oakland, CA 94612"
"$1,817 - 5,059",Studio - 2 Beds,"1889 Harrison St, Oakland, CA 94612"
"$2,400 - 9,926",Studio - 3 Beds,"1411 Alice St, Oakland, CA 94612"
"$1,949 - 3,769",Studio - 3 Beds,"421 25th St, Oakland, CA 94612"
"$1,905 - 5,125",Studio - 3 Beds,"260 Brooklyn Basin Way, Oakland, CA 94606"
"$2,294 - 9,180",Studio - 3 Beds,"312 24th St, Oakland, CA 94612"
"$1,979 - 4,701",Studio - 2 Beds,"3093 Broadway, Oakland, CA 94611"
"$2,170 - 5,980",Studio - 3 Beds,"150 4th St, Oakland, CA 94607"
"$2,487 - 5,228",Studio - 2 Beds,"385 14th St, Oakland, CA 94612"
"$2,245 - 3,217",Studio - 2 Beds,"1940 Webster St, Oakland, CA 94612"
"$2,097 - 6,733",Studio - 3 Beds,"37 8th Ave, Oakland, CA 94606"
"$1,690 - 5,479",Studio - 3 Beds,"1900 Broadway, Oakland, CA 94612"
"$2,495 - 3,995",Studio - 1 Bed,"2510 Bancroft Way, Berkeley, CA 94704"
"$2,725 - 4,800",1-2 Beds,"5684 Bay St, Emeryville, CA 94608"
"$4,572 - 5,048",2-4 Beds,"250 Mosley Ave, Alameda, CA 94501"
"$2,150 - 3,200",1 Bed,"2350 Saratoga St, Alameda, CA 94501"
"$2,780 - 5,350",Studio - 3 Beds,"6701 Shellmound St, Emeryville, CA 94608"
"$1,784 - 5,488",Studio - 3 Beds,"255 9th Ave, Oakland, CA 94606"
"$1,867 - 2,809",1-2 Beds,"225 Clifton St, Oakland, CA 94618"
"$2,076 - 2,966",Studio - 2 Beds,"500 William St, Oakland, CA 94612"
"$1,856 - 3,095",Studio - 3 Beds,"1389 Jefferson St, Oakland, CA 94612"
"$2,135 - 2,935",1-2 Beds,"1130 E 3rd Ave, Oakland, CA 94606"
"$1,780 - 4,065",Studio - 3 Beds,"2350 Valley St, Oakland, CA 94612"
"$2,345 - 23,395",Studio - 2 Beds,"2302 Valdez St, Oakland, CA 94612"
"$1,700 - 3,900",Studio - 2 Beds,"330 17th St, Oakland, CA 94612"
"$1,839 - 4,486",Studio - 3 Beds,"2450 Valdez St, Oakland, CA 94612"
"$2,053 - 3,099",Studio - 2 Beds,"459 23rd St, Oakland, CA 94612"
"$1,675 - 4,790",Studio - 2 Beds,"540 39th St, Oakland, CA 94609"
"$2,544 - 4,272",Studio - 2 Beds,"4700 Telegraph Ave, Oakland, CA 94609"
"$2,314 - 7,176",Studio - 2 Beds,"5110 Telegraph Ave, Oakland, CA 94609"
"$1,965 - 4,432",Studio - 2 Beds,"2820 Broadway, Oakland, CA 94611"
"$1,530 - 4,939",Studio - 3 Beds,"40 Harrison St, Oakland, CA 94607"
"$2,175 - 24,074",Studio - 3 Beds,"3883 Turquoise Way, Oakland, CA 94609"
"$3,314 - 7,261",1-3 Beds,"230-240 W Macarthur Blvd, Oakland, CA 94611"
"$2,008 - 4,650",Studio - 3 Beds,"1150 Clay St, Oakland, CA 94612"
"$1,969 - 3,958",Studio - 2 Beds,"532 Union St, Oakland, CA 94607"
"$1,395 - 3,068",Studio,"233 Broadway, Oakland, CA 94607"
"$2,050 - 3,050",1-2 Beds,"1510 Webster St, Oakland, CA 94612"
"$2,005 - 4,681",Studio - 3 Beds,"2330 Webster St, Oakland, CA 94612"
"$1,817 - 5,059",Studio - 2 Beds,"1889 Harrison St, Oakland, CA 94612"
