price,rooms,address
"$1,190 - 3,245",1-4 Beds,"2929 California St, Omaha, NE 68131"
"$960 - 3,615",Studio - 3 Beds,"1011 S Saddle Creek Rd, Omaha, NE 68106"
"$1,137 - 3,137",Studio - 2 Beds,"7007 Oak St, Omaha, NE 68106"
"$885 - 1,110",Studio - 1 Bed,"119 N 72nd St, Omaha, NE 68114"
"$995 - 3,050",Studio - 2 Beds,"1200 N 12th St, Omaha, NE 68102"
"$1,025 - 4,560",Studio - 3 Beds,"901 Farnam St, Omaha, NE 68102"
"$1,145 - 3,995",Studio - 2 Beds,"8004 Farnam Dr, Omaha, NE 68114"
"$1,186 - 2,411",Studio - 3 Beds,"3333 N 212th St, Omaha, NE 68022"
"$1,150 - 2,995",Studio - 2 Beds,"2225 S 64th Plz, Omaha, NE 68106"
"$874 - 1,070",1-2 Beds,"10505 Evans Plz, Omaha, NE 68134"
"$995 - 2,725",Studio - 2 Beds,"501 Park Ave, Omaha, NE 68105"
"$1,130 - 1,770",1-2 Beds,"100 S 19th Ave, Omaha, NE 68102"
"$800 - 2,250",Studio - 3 Beds,"2211 Howard St, Omaha, NE 68102"
"$1,135 - 3,585",1-2 Beds,"225 N 12th St, Omaha, NE 68102"
"$1,096 - 1,810",1-2 Beds,"13106 Chandler Rd, Omaha, NE 68138"
"$860 - 2,850",Studio - 2 Beds,"5110 Mayberry St, Omaha, NE 68106"
"$1,155 - 1,300",1-2 Beds,"3132 N 186 Plz, Elkhorn, NE 68022"
"$1,195 - 2,645",Studio - 2 Beds,"4141 Rivers Edge Pky, Council Bluffs, IA 51501"
"$1,031 - 1,779",1-2 Beds,"4910 S 209th Ct, Elkhorn, NE 68022"
"$975 - 1,835",Studio - 2 Beds,"6925 S 115th Street Plz, La Vista, NE 68128"
"$1,115 - 1,495",1-3 Beds,"720 Valley View Dr, Council Bluffs, IA 51503"
"$1,124 - 1,847",1-3 Beds,"4007 Raynor Pky, Bellevue, NE 68123"
"$1,410 - 2,345",1-2 Beds,"1250 S 157th St, Omaha, NE 68144"
"$895 - 1,030",1-3 Beds,"815 N 94th Plz, Omaha, NE 68114"
"$1,300 - 1,699",2-3 Beds,"10100 Grand Plz, Omaha, NE 68134"
"$1,085 - 1,780",1-2 Beds,"9226 Burt St, Omaha, NE 68114"
"$1,035 - 2,200",Studio - 2 Beds,"18510 Capitol St, Omaha, NE 68022"
"$800 - 2,600",Studio - 3 Beds,"210 S 16th St, Omaha, NE 68102"
"$1,009 - 1,625",1-2 Beds,"1015 N 16th St, Omaha, NE 68102"
"$1,166 - 1,565",Studio - 2 Beds,"201 N 46th St, Omaha, NE 68132"
"$941 - 2,159",Studio - 3 Beds,"6610 N 155th Ct, Omaha, NE 68116"
"$680 - 3,040",Studio - 4 Beds,"1005 N 20th St, Omaha, NE 68102"
"$1,420 - 2,930",1-3 Beds,"12500 W Dodge Rd, Omaha, NE 68154"
"$1,057 - 2,414",Studio - 3 Beds,"3010 S 202nd Ct, Omaha, NE 68130"
"$950 - 1,550",1-3 Beds,"9315 Western Ave, Omaha, NE 68114"
"$1,151 - 1,901",1-3 Beds,"17801 Cypress Dr, Omaha, NE 68136"
"$1,195 - 2,800",Studio - 3 Beds,"1221 N 170th St, Omaha, NE 68118"
"$790 - 1,310",Studio - 2 Beds,"9434 U Ct, Omaha, NE 68127"
"$800 - 1,350",1-2 Beds,"6224 S 97th Ct, Omaha, NE 68127"
"$1,125 - 2,330",Studio - 2 Beds,"1011 Jones St, Omaha, NE 68102"
"$1,190 - 3,245",1-4 Beds,"2929 California St, Omaha, NE 68131"
"$960 - 3,615",Studio - 3 Beds,"1011 S Saddle Creek Rd, Omaha, NE 68106"
"$1,137 - 3,137",Studio - 2 Beds,"7007 Oak St, Omaha, NE 68106"
"$885 - 1,110",Studio - 1 Bed,"119 N 72nd St, Omaha, NE 68114"
"$995 - 3,050",Studio - 2 Beds,"1200 N 12th St, Omaha, NE 68102"
"$1,025 - 4,560",Studio - 3 Beds,"901 Farnam St, Omaha, NE 68102"
"$1,145 - 3,995",Studio - 2 Beds,"8004 Farnam Dr, Omaha, NE 68114"
"$1,186 - 2,411",Studio - 3 Beds,"3333 N 212th St, Omaha, NE 68022"
"$1,150 - 2,995",Studio - 2 Beds,"2225 S 64th Plz, Omaha, NE 68106"
"$874 - 1,070",1-2 Beds,"10505 Evans Plz, Omaha, NE 68134"
"$995 - 2,725",Studio - 2 Beds,"501 Park Ave, Omaha, NE 68105"
"$1,130 - 1,770",1-2 Beds,"100 S 19th Ave, Omaha, NE 68102"
"$800 - 2,250",Studio - 3 Beds,"2211 Howard St, Omaha, NE 68102"
"$1,135 - 3,585",1-2 Beds,"225 N 12th St, Omaha, NE 68102"
"$1,096 - 1,810",1-2 Beds,"13106 Chandler Rd, Omaha, NE 68138"
"$860 - 2,850",Studio - 2 Beds,"5110 Mayberry St, Omaha, NE 68106"
"$1,155 - 1,300",1-2 Beds,"3132 N 186 Plz, Elkhorn, NE 68022"
"$1,195 - 2,645",Studio - 2 Beds,"4141 Rivers Edge Pky, Council Bluffs, IA 51501"
"$1,031 - 1,779",1-2 Beds,"4910 S 209th Ct, Elkhorn, NE 68022"
"$975 - 1,835",Studio - 2 Beds,"6925 S 115th Street Plz, La Vista, NE 68128"
"$1,115 - 1,495",1-3 Beds,"720 Valley View Dr, Council Bluffs, IA 51503"
"$1,124 - 1,847",1-3 Beds,"4007 Raynor Pky, Bellevue, NE 68123"
"$1,410 - 2,345",1-2 Beds,"1250 S 157th St, Omaha, NE 68144"
"$895 - 1,030",1-3 Beds,"815 N 94th Plz, Omaha, NE 68114"
"$1,300 - 1,699",2-3 Beds,"10100 Grand Plz, Omaha, NE 68134"
"$1,085 - 1,780",1-2 Beds,"9226 Burt St, Omaha, NE 68114"
"$1,035 - 2,200",Studio - 2 Beds,"18510 Capitol St, Omaha, NE 68022"
"$800 - 2,600",Studio - 3 Beds,"210 S 16th St, Omaha, NE 68102"
"$1,009 - 1,625",1-2 Beds,"1015 N 16th St, Omaha, NE 68102"
"$1,166 - 1,565",Studio - 2 Beds,"201 N 46th St, Omaha, NE 68132"
"$941 - 2,159",Studio - 3 Beds,"6610 N 155th Ct, Omaha, NE 68116"
"$680 - 3,040",Studio - 4 Beds,"1005 N 20th St, Omaha, NE 68102"
"$772 - 1,473",1-3 Beds,"10905 N Mill Ct, Omaha, NE 68154"
"$875 - 1,200",1-2 Beds,"14814 Giles Rd, Omaha, NE 68138"
"$1,015 - 1,310",1-2 Beds,"3058 S 60th St, Omaha, NE 68106"
"$790 - 1,040",Studio - 2 Beds,"3606 S 69th St, Omaha, NE 68106"
"$785 - 1,285",Studio - 2 Beds,"9424 Holmes Plz, Omaha, NE 68127"
"$790 - 1,495",Studio - 3 Beds,"9605 Park Dr, Omaha, NE 68127"
"$1,005 - 1,635",Studio - 2 Beds,"2120 N Main St, Omaha, NE 68022"
"$790 - 1,075",Studio - 3 Beds,"2344 N 92nd Ave, Omaha, NE 68134"
"$895 - 2,495",1-3 Beds,"3009 Harney St, Omaha, NE 68131"
$790 - 975,Studio - 2 Beds,"11517-11520 Westwood Ln, Omaha, NE 68144"
"$910 - 1,200",1-2 Beds,"10985 Roxbury Plz, Omaha, NE 68137"
"$1,090 - 1,635",Studio - 3 Beds,"1323 Jackson St, Omaha, NE 68102"
"$850 - 1,170",1-2 Beds,"9725 Ohern Plz, Omaha, NE 68127"
"$1,150 - 1,335",Studio - 2 Beds,"9405 Western Plz, Omaha, NE 68114"
"$1,190 - 2,075",1-3 Beds,"4345 N 126th Ct, Omaha, NE 68164"
"$1,230 - 2,162",Studio - 2 Beds,"6440 Cedar Plaza, Omaha, NE 68106"
"$1,120 - 1,330",1-2 Beds,"12115 Williams Plz, Omaha, NE 68144"
"$798 - 1,813",Studio - 2 Beds,"7722 Howard St, Omaha, NE 68114"
"$1,150 - 2,075",Studio - 2 Beds,"3601 Jones St, Omaha, NE 68105"
"$779 - 1,815",1-2 Beds,"11402 Evans St, Omaha, NE 68164"
"$1,055 - 1,885",Studio - 3 Beds,"5002 S 202nd Ave, Omaha, NE 68135"
"$947 - 2,226",1-3 Beds,"7616 Pierce St, Omaha, NE 68124"
"$1,215 - 1,820",Studio - 2 Beds,"1512 Bristol St, Papillion, NE 68046"
$815,1 Bed,"1221 Gold Coast Rd, Papillion, NE 68046"
"$800 - 1,010",1-2 Beds,"2009 Sherwood Ct, Council Bluffs, IA 51503"
"$945 - 1,095",Studio - 1 Bed,"1314 Mike Fahey St, Omaha, NE 68102"
"$1,300 - 2,465",Studio - 2 Beds,"2323 S 63rd Cir, Omaha, NE 68106"
"$1,025 - 1,250",Studio - 2 Beds,"801 Pacific St, Omaha, NE 68108"
"$1,250 - 1,950",1-2 Beds,"621 S 15th St, Omaha, NE 68102"
"$1,315 - 1,495",2-3 Beds,"3930 N 105th St, Omaha, NE 68134"
"$1,200 - 1,525",1-3 Beds,"2940 Paddock Plz, Omaha, NE 68124"
"$1,200 - 3,730",1-2 Beds,"233 S 33rd St, Omaha, NE 68131"
"$1,190 - 1,650",1-2 Beds,"5502 N 133rd Plaza, Omaha, NE 68164"
"$825 - 1,275",1-3 Beds,"5439 N 100th Plz, Omaha, NE 68134"
"$900 - 1,600",1-2 Beds,"3816 N 109th Plz, Omaha, NE 68164"
"$901 - 2,341",1-2 Beds,"14010 Dorcas Plz, Omaha, NE 68144"
"$999 - 2,560",Studio - 3 Beds,"7561 S 146th St, Omaha, NE 68138"
"$1,113 - 2,560",1-3 Beds,"8909 Q St, Omaha, NE 68127"
"$860 - 1,330",1-2 Beds,"5820 S 99th St, Omaha, NE 68127"
"$852 - 1,562",1-2 Beds,"9670 Berry Plz, Omaha, NE 68127"
"$825 - 1,025",1-3 Beds,"1215 Fawn Parkway Plz, Omaha, NE 68144"
"$950 - 1,850",1-3 Beds,"10535 Ellison Plz, Omaha, NE 68134"
"$1,030 - 2,193",1-3 Beds,"10901 Jaynes Plz, Omaha, NE 68164"
"$1,370 - 1,535",1-2 Beds,"3203 N 121st Plz, Omaha, NE 68164"
"$2,198 - 3,856",1-2 Beds,"13110 Sterling Ridge Dr, Omaha, NE 68144"
"$1,647 - 2,490",1-3 Beds,"6601 S 194thTerrace Plz, Omaha, NE 68135"
"$1,155",1-3 Beds,"900 Farnam St, Omaha, NE 68102"
"$849 - 1,145",1 Bed,"1016-1026 Park Ave, Omaha, NE 68105"
"$1,050 - 2,340",1-2 Beds,"1501 Jackson St, Omaha, NE 68102"
"$1,085 - 2,435",1-3 Beds,"3020 Leavenworth St, Omaha, NE 68105"
"$1,350 - 1,675",1 Bed,"1419 Farnam St, Omaha, NE 68102"
"$715 - 1,495",1-2 Beds,"5006 California St, Omaha, NE 68132"
$750 - 950,1-2 Beds,"3402 Howard St, Omaha, NE 68105"
