price,rooms,address
"$899 - 1,408",1 Bed,"1105 Navaho Dr, Raleigh, NC 27609"
"$1,343 - 2,275",1-2 Beds,"11100 Madison Elm Ln, Raleigh, NC 27614"
"$1,699 - 4,353",Studio - 2 Beds,"9 N Harrington St, Raleigh, NC 27603"
"$1,000 - 1,750",1-3 Beds,"4722 Dansey Dr, Raleigh, NC 27616"
"$1,295 - 1,960",1-2 Beds,"7303 Bryn Athyn Way, Raleigh, NC 27615"
"$1,100 - 1,640",1-2 Beds,"3105 Holston Ln, Raleigh, NC 27610"
"$1,100 - 1,800",1-3 Beds,"4001-4117 Deep Hollow Dr, Raleigh, NC 27612"
"$1,350 - 2,060",1-3 Beds,"5425 Dana Dr, Raleigh, NC 27606"
"$1,189 - 1,863",1-2 Beds,"3235 Trimblestone Ln, Raleigh, NC 27616"
"$1,165 - 1,880",1-3 Beds,"7880 Triangle Promenade Dr, Raleigh, NC 27616"
"$1,448 - 2,950",1-3 Beds,"4301 Mill Village Rd, Raleigh, NC 27612"
"$1,312 - 2,759",Studio - 2 Beds,"408 E Hargett St, Raleigh, NC 27601"
"$1,300 - 2,516",1-3 Beds,"7760 Midtown Market Ave, Raleigh, NC 27616"
"$1,293 - 2,270",Studio - 3 Beds,"2911 Mid Century Dr, Raleigh, NC 27604"
"$1,380 - 2,635",Studio - 3 Beds,"4710 Mint Leaf Ln, Raleigh, NC 27612"
"$1,394 - 2,397",Studio - 2 Beds,"700 Corporate Center Dr, Raleigh, NC 27607"
"$1,355 - 2,472",1-2 Beds,"3818 Page Rd, Durham, NC 27703"
"$1,452 - 3,439",1-3 Beds,"1010 Legacy Village Dr, Cary, NC 27518"
"$1,050 - 1,700",1-2 Beds,"2000 Spring Dr, Garner, NC 27529"
"$1,250 - 2,293",Studio - 2 Beds,"1017 Umstead Hollow Pl, Cary, NC 27513"
"$1,235 - 2,075",1-3 Beds,"485 Traebert Cir, Knightdale, NC 27545"
"$1,425 - 2,720",1-3 Beds,"2541 Landmark Dr, Raleigh, NC 27607"
"$2,725 - 3,595",2-3 Beds,"3709 Nova Star Ln, Raleigh, NC 27612"
"$1,242 - 2,105",1-3 Beds,"2421 Brightcreek Falls Trl, Raleigh, NC 27610"
"$1,404 - 2,547",Studio - 3 Beds,"3930 Macaw St, Raleigh, NC 27617"
"$1,260 - 2,060",Studio - 3 Beds,"6601 Roxboro St, Raleigh, NC 27616"
"$1,400 - 3,460",Studio - 2 Beds,"121 Kindley St, Raleigh, NC 27601"
"$1,115 - 1,724",Studio - 2 Beds,"3431 Olympia Dr, Raleigh, NC 27603"
"$1,647 - 2,933",1-3 Beds,"7901 Cheaha Dr, Raleigh, NC 27616"
"$1,100 - 1,645",1-2 Beds,"5540 Atlantic Springs Rd, Raleigh, NC 27616"
"$1,059 - 1,449",Studio - 1 Bed,"2717 Capital Blvd, Raleigh, NC 27604"
"$2,360 - 3,415",3 Beds,"6004 Fayetteville Rd, Raleigh, NC 27603"
"$1,320 - 3,265",1-3 Beds,"3950 Fairsted Dr, Raleigh, NC 27612"
"$1,399 - 2,080",1-2 Beds,"5500 Home Valley Dr, Raleigh, NC 27612"
"$1,178 - 2,948",1-2 Beds,"8400 Brass Mill Ln, Raleigh, NC 27617"
"$1,025 - 1,970",1-2 Beds,"6100 Barrowood Dr, Raleigh, NC 27612"
"$1,105 - 2,041",1-3 Beds,"5301 Creek Ridge Ln, Raleigh, NC 27607"
"$1,230 - 1,715",1-2 Beds,"6801 Chesterbrook Ct, Raleigh, NC 27615"
"$1,360 - 2,044",1-3 Beds,"442 Jefferson Towne Dr, Raleigh, NC 27606"
"$859 - 1,434",Studio - 2 Beds,"6625 Lake Hill Dr, Raleigh, NC 27609"
"$899 - 1,408",1 Bed,"1105 Navaho Dr, Raleigh, NC 27609"
"$1,343 - 2,275",1-2 Beds,"11100 Madison Elm Ln, Raleigh, NC 27614"
"$1,699 - 4,353",Studio - 2 Beds,"9 N Harrington St, Raleigh, NC 27603"
"$1,000 - 1,750",1-3 Beds,"4722 Dansey Dr, Raleigh, NC 27616"
"$1,295 - 1,960",1-2 Beds,"7303 Bryn Athyn Way, Raleigh, NC 27615"
"$1,100 - 1,640",1-2 Beds,"3105 Holston Ln, Raleigh, NC 27610"
"$1,100 - 1,800",1-3 Beds,"4001-4117 Deep Hollow Dr, Raleigh, NC 27612"
"$1,350 - 2,060",1-3 Beds,"5425 Dana Dr, Raleigh, NC 27606"
"$1,189 - 1,863",1-2 Beds,"3235 Trimblestone Ln, Raleigh, NC 27616"
"$1,165 - 1,880",1-3 Beds,"7880 Triangle Promenade Dr, Raleigh, NC 27616"
"$1,448 - 2,950",1-3 Beds,"4301 Mill Village Rd, Raleigh, NC 27612"
"$1,312 - 2,759",Studio - 2 Beds,"408 E Hargett St, Raleigh, NC 27601"
"$1,300 - 2,516",1-3 Beds,"7760 Midtown Market Ave, Raleigh, NC 27616"
"$1,293 - 2,270",Studio - 3 Beds,"2911 Mid Century Dr, Raleigh, NC 27604"
"$1,380 - 2,635",Studio - 3 Beds,"4710 Mint Leaf Ln, Raleigh, NC 27612"
"$1,394 - 2,397",Studio - 2 Beds,"700 Corporate Center Dr, Raleigh, NC 27607"
"$1,355 - 2,472",1-2 Beds,"3818 Page Rd, Durham, NC 27703"
"$1,452 - 3,439",1-3 Beds,"1010 Legacy Village Dr, Cary, NC 27518"
"$1,050 - 1,700",1-2 Beds,"2000 Spring Dr, Garner, NC 27529"
"$1,250 - 2,293",Studio - 2 Beds,"1017 Umstead Hollow Pl, Cary, NC 27513"
"$1,235 - 2,075",1-3 Beds,"485 Traebert Cir, Knightdale, NC 27545"
"$1,425 - 2,720",1-3 Beds,"2541 Landmark Dr, Raleigh, NC 27607"
"$2,725 - 3,595",2-3 Beds,"3709 Nova Star Ln, Raleigh, NC 27612"
"$1,242 - 2,105",1-3 Beds,"2421 Brightcreek Falls Trl, Raleigh, NC 27610"
"$1,404 - 2,547",Studio - 3 Beds,"3930 Macaw St, Raleigh, NC 27617"
"$1,260 - 2,060",Studio - 3 Beds,"6601 Roxboro St, Raleigh, NC 27616"
"$1,400 - 3,460",Studio - 2 Beds,"121 Kindley St, Raleigh, NC 27601"
"$1,115 - 1,724",Studio - 2 Beds,"3431 Olympia Dr, Raleigh, NC 27603"
"$1,647 - 2,933",1-3 Beds,"7901 Cheaha Dr, Raleigh, NC 27616"
"$1,100 - 1,645",1-2 Beds,"5540 Atlantic Springs Rd, Raleigh, NC 27616"
"$1,059 - 1,449",Studio - 1 Bed,"2717 Capital Blvd, Raleigh, NC 27604"
"$2,360 - 3,415",3 Beds,"6004 Fayetteville Rd, Raleigh, NC 27603"
"$1,320 - 3,265",1-3 Beds,"3950 Fairsted Dr, Raleigh, NC 27612"
"$1,399 - 2,080",1-2 Beds,"5500 Home Valley Dr, Raleigh, NC 27612"
"$1,178 - 2,948",1-2 Beds,"8400 Brass Mill Ln, Raleigh, NC 27617"
"$1,025 - 1,970",1-2 Beds,"6100 Barrowood Dr, Raleigh, NC 27612"
"$1,105 - 2,041",1-3 Beds,"5301 Creek Ridge Ln, Raleigh, NC 27607"
"$1,230 - 1,715",1-2 Beds,"6801 Chesterbrook Ct, Raleigh, NC 27615"
"$1,360 - 2,044",1-3 Beds,"442 Jefferson Towne Dr, Raleigh, NC 27606"
"$859 - 1,434",Studio - 2 Beds,"6625 Lake Hill Dr, Raleigh, NC 27609"
