price,rooms,address
"$1,550 - 2,200",1-2 Beds,"11133 Westwood Loop, San Antonio, TX 78253"
"$2,135 - 6,046",1-3 Beds,"7600 Broadway St, San Antonio, TX 78209"
"$1,510 - 3,995",1-2 Beds,"847 E Ashby Pl, San Antonio, TX 78212"
"$1,069 - 2,718",1-3 Beds,"6730 N Loop 1604 E, San Antonio, TX 78247"
"$999 - 1,679",Studio - 2 Beds,"7139 Wurzbach Rd, San Antonio, TX 78240"
"$1,365 - 2,164",1-2 Beds,"1239 E Borgfeld Dr, San Antonio, TX 78260"
"$1,226 - 2,305",1-3 Beds,"5219 Rogers Rd, San Antonio, TX 78251"
"$1,505 - 4,267",Studio - 3 Beds,"120 W Josephine St, San Antonio, TX 78212"
"$1,145 - 1,899",1-3 Beds,"33 Lynn Batts Ln, San Antonio, TX 78218"
"$712 - 1,422",1-3 Beds,"6400 Wurzbach Rd, San Antonio, TX 78229"
"$1,163 - 4,133",1-3 Beds,"15150 Blanco Rd, San Antonio, TX 78232"
"$1,000 - 1,762",1-2 Beds,"7200 S Presa St, San Antonio, TX 78223"
"$1,029 - 1,154",1-3 Beds,"19275 Stone Oak Pky, San Antonio, TX 78258"
"$800 - 1,225",1-2 Beds,"5235 Glen Ridge Dr, San Antonio, TX 78229"
"$1,120 - 3,227",Studio - 3 Beds,"6215 Via La Cantera, San Antonio, TX 78256"
"$1,096 - 2,015",1-3 Beds,"5511 Pecan Springs Rd, San Antonio, TX 78249"
"$1,099 - 2,499",1-3 Beds,"922 E Sonterra Blvd, San Antonio, TX 78258"
"$748 - 1,269",1-3 Beds,"5100 Eisenhauer Rd, San Antonio, TX 78218"
"$890 - 1,440",1-2 Beds,"3379-3380 Timber View Dr, San Antonio, TX 78251"
"$863 - 2,284",1-2 Beds,"1111 Vista Valet, San Antonio, TX 78216"
"$1,120 - 2,853",1-4 Beds,"22800 Bulverde Rd, San Antonio, TX 78261"
"$1,099 - 2,599",1-3 Beds,"12235 Vance Jackson Rd, San Antonio, TX 78230"
"$1,193 - 3,416",1-3 Beds,"3231 N Loop 1604 W, San Antonio, TX 78257"
"$1,240 - 3,440",Studio - 3 Beds,"6107 Via La Cantera, San Antonio, TX 78256"
"$1,197 - 3,013",1-3 Beds,"6455 De Zavala Rd, San Antonio, TX 78249"
"$1,117 - 3,142",1-3 Beds,"11340 Alamo Ranch Pky, San Antonio, TX 78253"
"$1,250 - 2,050",1-2 Beds,"17811 Kyle Seale Pky, San Antonio, TX 78255"
"$1,125 - 2,955",1-2 Beds,"12136 W US Highway 90, San Antonio, TX 78245"
"$1,165 - 2,045",1-3 Beds,"9311 FM 1560 N, San Antonio, TX 78254"
"$1,380 - 2,555",1-3 Beds,"21915 N US-281, San Antonio, TX 78258"
"$1,999 - 2,419",3-4 Beds,"14303 Palm Rdg, San Antonio, TX 78253"
"$1,699 - 3,349",1-3 Beds,"25500 Two Creeks, San Antonio, TX 78255"
Call for Rent,Studio - 2 Beds,"925 E Carson St, San Antonio, TX 78208"
"$1,076 - 2,455",1-3 Beds,"5206 Wurzbach Pkwy, San Antonio, TX 78233"
"$1,245 - 1,775",Studio - 2 Beds,"4398 W Vasquez Cir, San Antonio, TX 78109"
"$1,363 - 2,942",1-3 Beds,"19035 Talavera Rdg, San Antonio, TX 78257"
"$1,225 - 1,910",1-2 Beds,"17475 Happys Round, San Antonio, TX 78257"
"$1,135 - 1,963",1-3 Beds,"202 W Loop 1604 S, San Antonio, TX 78245"
"$2,099 - 2,825",2-4 Beds,"8642 Oakland Blvd, San Antonio, TX 78240"
"$1,270 - 1,810",1-2 Beds,"9219 Vista West Dr, San Antonio, TX 78245"
