price,rooms,address
"$2,558 - 12,047",Studio - 2 Beds,"310 A St, San Diego, CA 92101"
"$3,125 - 6,845",Studio - 3 Beds,"1011 Union St, San Diego, CA 92101"
"$2,604 - 5,587",1-3 Beds,"10977 Pacific Point Pl, San Diego, CA 92129"
"$2,851 - 5,314",1-3 Beds,"9840 Carroll Canyon Rd, San Diego, CA 92131"
"$2,455 - 4,455",Studio - 2 Beds,"3250 Barnett Ave, San Diego, CA 92110"
"$2,999 - 6,299",Studio - 2 Beds,"2426 4th Ave, San Diego, CA 92101"
"$2,929 - 7,086",1-3 Beds,"101 River Park Dr, San Diego, CA 92108"
"$2,450 - 4,889",Studio - 2 Beds,"3829 5th Ave, San Diego, CA 92103"
"$2,849 - 4,110",1-2 Beds,"4360 Twain Ave, San Diego, CA 92120"
"$2,440 - 7,190",Studio - 2 Beds,"330 13th St, San Diego, CA 92101"
"$2,318 - 5,000",1-2 Beds,"2225-2295 River Run Dr, San Diego, CA 92108"
"$2,589 - 3,098",1-2 Beds,"4611-4649 Governor Dr, San Diego, CA 92122"
"$1,950 - 2,750",1-2 Beds,"9494 Carroll Canyon Rd, San Diego, CA 92126"
"$2,344 - 6,848",Studio - 3 Beds,"7777 Westside Dr, San Diego, CA 92108"
"$1,995 - 10,730",1-3 Beds,"424 15th St, San Diego, CA 92101"
"$3,000 - 3,200",1-2 Beds,"2015 Hancock St, San Diego, CA 92110"
"$2,230 - 8,795",Studio - 3 Beds,"300 14th St, San Diego, CA 92101"
"$3,398 - 4,363",2 Beds,"6345 Gullstrand St, San Diego, CA 92122"
"$2,283 - 4,929",1-3 Beds,"1150 E St, San Diego, CA 92101"
"$3,288 - 6,663",Studio - 3 Beds,"5040 Camino San Fermin, San Diego, CA 92130"
"$2,263 - 5,675",Studio - 2 Beds,"1501 Island Ave, San Diego, CA 92101"
"$3,265 - 8,283",1-3 Beds,"11921 Carmel Creek Rd, San Diego, CA 92130"
Call for Rent,1-2 Beds,"6132 Gullstrand St, San Diego, CA 92122"
"$2,895 - 8,935",Studio - 2 Beds,"550 W Date St, San Diego, CA 92101"
"$2,344 - 7,808",Studio - 3 Beds,"4440 Twain Ave, San Diego, CA 92120"
"$3,196 - 10,537",Studio - 3 Beds,"3200 Paseo Village Way, San Diego, CA 92130"
"$2,089 - 2,961",Studio - 2 Beds,"372 4th Ave, San Diego, CA 92101"
"$2,645 - 3,600",1-3 Beds,"10785 Pomerado Rd, San Diego, CA 92131"
"$2,880 - 4,180",Studio - 2 Beds,"915 W Grape St, San Diego, CA 92101"
"$2,538 - 9,781",1-3 Beds,"375 Camino De La Reina, San Diego, CA 92108"
"$2,529 - 10,247",Studio - 3 Beds,"4890 Sunroad Centrum Ln, San Diego, CA 92123"
"$2,790 - 4,485",1-2 Beds,"1302 Frankfort St, San Diego, CA 92110"
"$2,530 - 4,071",Studio - 2 Beds,"5075 Camino De La Siesta, San Diego, CA 92108"
"$3,729 - 4,439",1-3 Beds,"10380 Spring Canyon Rd, San Diego, CA 92131"
"$3,265 - 17,560",Studio - 2 Beds,"1401 Union St, San Diego, CA 92101"
"$2,330 - 5,875",Studio - 2 Beds,"4353 Park Blvd, San Diego, CA 92103"
"$2,498 - 2,748",Studio - 1 Bed,"4186 4th Ave, San Diego, CA 92103"
"$3,000 - 10,000",1-3 Beds,"675 9th Ave, San Diego, CA 92101"
"$1,025 - 2,794",Studio - 4 Beds,"4520 Alvarado Canyon Rd, San Diego, CA 92120"
"$2,267 - 4,995",Studio - 2 Beds,"4250 Oregon St, San Diego, CA 92104"
"$2,558 - 12,047",Studio - 2 Beds,"310 A St, San Diego, CA 92101"
"$3,125 - 6,845",Studio - 3 Beds,"1011 Union St, San Diego, CA 92101"
"$2,604 - 5,587",1-3 Beds,"10977 Pacific Point Pl, San Diego, CA 92129"
"$2,851 - 5,314",1-3 Beds,"9840 Carroll Canyon Rd, San Diego, CA 92131"
"$2,455 - 4,455",Studio - 2 Beds,"3250 Barnett Ave, San Diego, CA 92110"
"$2,999 - 6,299",Studio - 2 Beds,"2426 4th Ave, San Diego, CA 92101"
"$2,929 - 7,086",1-3 Beds,"101 River Park Dr, San Diego, CA 92108"
"$2,450 - 4,889",Studio - 2 Beds,"3829 5th Ave, San Diego, CA 92103"
"$2,849 - 4,110",1-2 Beds,"4360 Twain Ave, San Diego, CA 92120"
"$2,440 - 7,190",Studio - 2 Beds,"330 13th St, San Diego, CA 92101"
"$2,318 - 5,000",1-2 Beds,"2225-2295 River Run Dr, San Diego, CA 92108"
"$2,589 - 3,098",1-2 Beds,"4611-4649 Governor Dr, San Diego, CA 92122"
"$1,950 - 2,750",1-2 Beds,"9494 Carroll Canyon Rd, San Diego, CA 92126"
"$2,344 - 6,848",Studio - 3 Beds,"7777 Westside Dr, San Diego, CA 92108"
"$1,995 - 10,730",1-3 Beds,"424 15th St, San Diego, CA 92101"
"$3,000 - 3,200",1-2 Beds,"2015 Hancock St, San Diego, CA 92110"
"$2,230 - 8,795",Studio - 3 Beds,"300 14th St, San Diego, CA 92101"
"$3,398 - 4,363",2 Beds,"6345 Gullstrand St, San Diego, CA 92122"
"$2,283 - 4,929",1-3 Beds,"1150 E St, San Diego, CA 92101"
"$3,288 - 6,663",Studio - 3 Beds,"5040 Camino San Fermin, San Diego, CA 92130"
"$2,263 - 5,675",Studio - 2 Beds,"1501 Island Ave, San Diego, CA 92101"
"$3,265 - 8,283",1-3 Beds,"11921 Carmel Creek Rd, San Diego, CA 92130"
Call for Rent,1-2 Beds,"6132 Gullstrand St, San Diego, CA 92122"
"$2,895 - 8,935",Studio - 2 Beds,"550 W Date St, San Diego, CA 92101"
"$2,344 - 7,808",Studio - 3 Beds,"4440 Twain Ave, San Diego, CA 92120"
"$3,196 - 10,537",Studio - 3 Beds,"3200 Paseo Village Way, San Diego, CA 92130"
"$2,089 - 2,961",Studio - 2 Beds,"372 4th Ave, San Diego, CA 92101"
"$2,645 - 3,600",1-3 Beds,"10785 Pomerado Rd, San Diego, CA 92131"
"$2,880 - 4,180",Studio - 2 Beds,"915 W Grape St, San Diego, CA 92101"
"$2,538 - 9,781",1-3 Beds,"375 Camino De La Reina, San Diego, CA 92108"
"$2,529 - 10,247",Studio - 3 Beds,"4890 Sunroad Centrum Ln, San Diego, CA 92123"
"$2,790 - 4,485",1-2 Beds,"1302 Frankfort St, San Diego, CA 92110"
"$2,530 - 4,071",Studio - 2 Beds,"5075 Camino De La Siesta, San Diego, CA 92108"
"$3,729 - 4,439",1-3 Beds,"10380 Spring Canyon Rd, San Diego, CA 92131"
"$3,265 - 17,560",Studio - 2 Beds,"1401 Union St, San Diego, CA 92101"
"$2,330 - 5,875",Studio - 2 Beds,"4353 Park Blvd, San Diego, CA 92103"
"$2,498 - 2,748",Studio - 1 Bed,"4186 4th Ave, San Diego, CA 92103"
"$3,000 - 10,000",1-3 Beds,"675 9th Ave, San Diego, CA 92101"
"$1,025 - 2,794",Studio - 4 Beds,"4520 Alvarado Canyon Rd, San Diego, CA 92120"
"$2,267 - 4,995",Studio - 2 Beds,"4250 Oregon St, San Diego, CA 92104"
