price,rooms,address
"$1,200 - 1,800",Studio - 2 Beds,"6901 E Broadway Blvd, Tucson, AZ 85710"
"$1,420 - 2,080",1-3 Beds,"10950 N LaCanada Dr, Tucson, AZ 85737"
"$820 - 1,730",1-3 Beds,"3535 N 1st Ave, Tucson, AZ 85719"
"$1,509 - 2,272",1-3 Beds,"7990 E Snyder Rd, Tucson, AZ 85750"
"$1,024 - 1,810",1-2 Beds,"1970 W Old Magee Trl, Tucson, AZ 85704"
"$689 - 1,299",Studio - 2 Beds,"919 N Stone Ave, Tucson, AZ 85705"
"$1,099 - 1,720",1-4 Beds,"2800 W Broadway Blvd, Tucson, AZ 85745"
"$1,225 - 2,950",Studio - 3 Beds,"350 E Congress St, Tucson, AZ 85701"
"$850 - 1,250",Studio - 2 Beds,"6821 E Broadway Blvd, Tucson, AZ 85710"
"$759 - 1,299",Studio - 3 Beds,"4880 E 29th St, Tucson, AZ 85711"
"$1,509 - 4,596",1-2 Beds,"3510 N Craycroft Rd, Tucson, AZ 85718"
"$1,527 - 1,890",1-2 Beds,"7430 N Silverbell Rd, Tucson, AZ 85743"
"$999 - 1,650",Studio - 1 Bed,"475 N Granada Ave, Tucson, AZ 85701"
"$1,950 - 2,350",2-3 Beds,"2805 S Park Ave, Tucson, AZ 85713"
"$1,784 - 2,149",3 Beds,"4267 N 4th Ave, Tucson, AZ 85705"
"$1,410 - 2,125",Studio - 3 Beds,"8150 N La Cholla Blvd, Tucson, AZ 85742"
"$1,210 - 2,199",Studio - 5 Beds,"1023 N Tyndall Ave, Tucson, AZ 85719"
"$899 - 1,325",1-2 Beds,"8550 E Speedway, Tucson, AZ 85710"
"$739 - 1,906",Studio - 2 Beds,"5755 E River Rd, Tucson, AZ 85750"
"$1,050 - 1,745",1-4 Beds,"850 E Wetmore Rd, Tucson, AZ 85719"
"$1,299 - 1,669",2-4 Beds,"2162 W Speedway Blvd, Tucson, AZ 85745"
"$1,299 - 2,224",Studio - 5 Beds,"1020 N Tyndall Ave, Tucson, AZ 85719"
"$1,518 - 2,275",1-3 Beds,"1301 W Lambert Ln, Tucson, AZ 85737"
"$1,242 - 3,137",1-3 Beds,"3220 W Ina Rd, Tucson, AZ 85741"
"$1,199 - 1,755",2-3 Beds,"4415 E Grant Rd, Tucson, AZ 85712"
"$1,375 - 1,620",1-2 Beds,"3300 N Paseo De Los Rios, Tucson, AZ 85712"
"$1,247 - 2,379",1-3 Beds,"8250 E Golf Links Rd, Tucson, AZ 85730"
"$1,030 - 1,490",1-3 Beds,"2255 W Orange Grove Rd, Tucson, AZ 85741"
"$1,164 - 1,819",1-3 Beds,"5400 E Williams Blvd, Tucson, AZ 85711"
"$1,395 - 1,595",1-3 Beds,"9225 E Tanque Verde Dr, Tucson, AZ 85749"
"$869 - 1,549",Studio - 3 Beds,"1345 S Kolb Rd, Tucson, AZ 85710"
"$803 - 1,680",Studio - 3 Beds,"2800 S Mission Rd, Tucson, AZ 85713"
"$1,338 - 2,980",1-3 Beds,"4701 W Linda Vista Blvd, Tucson, AZ 85742"
"$1,256 - 2,324",1-3 Beds,"3980 W Linda Vista Blvd, Tucson, AZ 85742"
"$1,323 - 1,856",1-3 Beds,"4880 N Sabino Canyon Rd, Tucson, AZ 85750"
"$1,115 - 1,839",1-3 Beds,"4545 N Via Entrada Via, Tucson, AZ 85718"
"$865 - 1,399",1-2 Beds,"3350 W Valencia Rd, Tucson, AZ 85746"
$758 - 885,Studio - 1 Bed,"4250 E 29th St, Tucson, AZ 85711"
"$1,374 - 1,581",1-2 Beds,"5100 N La Canada Dr, Tucson, AZ 85704"
"$1,085 - 1,570",1-3 Beds,"3201-3225 W Ina Rd, Tucson, AZ 85741"
"$1,200 - 1,800",Studio - 2 Beds,"6901 E Broadway Blvd, Tucson, AZ 85710"
"$1,420 - 2,080",1-3 Beds,"10950 N LaCanada Dr, Tucson, AZ 85737"
"$820 - 1,730",1-3 Beds,"3535 N 1st Ave, Tucson, AZ 85719"
"$1,509 - 2,272",1-3 Beds,"7990 E Snyder Rd, Tucson, AZ 85750"
"$1,024 - 1,810",1-2 Beds,"1970 W Old Magee Trl, Tucson, AZ 85704"
"$689 - 1,299",Studio - 2 Beds,"919 N Stone Ave, Tucson, AZ 85705"
"$1,099 - 1,720",1-4 Beds,"2800 W Broadway Blvd, Tucson, AZ 85745"
"$1,225 - 2,950",Studio - 3 Beds,"350 E Congress St, Tucson, AZ 85701"
"$850 - 1,250",Studio - 2 Beds,"6821 E Broadway Blvd, Tucson, AZ 85710"
"$759 - 1,299",Studio - 3 Beds,"4880 E 29th St, Tucson, AZ 85711"
"$1,509 - 4,596",1-2 Beds,"3510 N Craycroft Rd, Tucson, AZ 85718"
"$1,527 - 1,890",1-2 Beds,"7430 N Silverbell Rd, Tucson, AZ 85743"
"$999 - 1,650",Studio - 1 Bed,"475 N Granada Ave, Tucson, AZ 85701"
"$1,950 - 2,350",2-3 Beds,"2805 S Park Ave, Tucson, AZ 85713"
"$1,784 - 2,149",3 Beds,"4267 N 4th Ave, Tucson, AZ 85705"
"$1,410 - 2,125",Studio - 3 Beds,"8150 N La Cholla Blvd, Tucson, AZ 85742"
"$1,210 - 2,199",Studio - 5 Beds,"1023 N Tyndall Ave, Tucson, AZ 85719"
"$899 - 1,325",1-2 Beds,"8550 E Speedway, Tucson, AZ 85710"
"$1,028 - 1,700",Studio - 2 Beds,"7671 E Tanque Verde Rd, Tucson, AZ 85715"
"$799 - 1,349",Studio - 2 Beds,"1881 E Irvington Rd, Tucson, AZ 85714"
"$774 - 1,573",Studio - 2 Beds,"7400 E Golf Links Rd, Tucson, AZ 85730"
"$1,590 - 2,650",Studio - 2 Beds,"316 E 6th St, Tucson, AZ 85705"
"$825 - 2,750",Studio - 5 Beds,"800 N Country Club Dr, Tucson, AZ 85716"
"$1,325 - 2,310",Studio - 3 Beds,"4640 Calle Santa Cruz, Tucson, AZ 85714"
"$1,545 - 3,016",1-3 Beds,"6355 Marana Center Blvd, Tucson, AZ 85742"
"$1,150 - 1,650",1-2 Beds,"880 S Tucson Blvd, Tucson, AZ 85713"
"$1,017 - 2,231",1-3 Beds,"350 N Harrison Rd, Tucson, AZ 85748"
"$1,059 - 1,679",Studio - 2 Beds,"1102 E 36th St, Tucson, AZ 85713"
"$1,025 - 1,380",1-2 Beds,"6250 S Commerce Ct, Tucson, AZ 85746"
"$1,599 - 3,942",1-3 Beds,"255 N Granada Ave, Tucson, AZ 85701"
"$805 - 2,560",Studio - 2 Beds,"60 W Stone Loop, Tucson, AZ 85704"
"$925 - 2,310",Studio - 1 Bed,"128 S 5th Ave, Tucson, AZ 85701"
"$900 - 1,874",1-2 Beds,"444 W Orange Grove Rd, Tucson, AZ 85704"
"$1,180 - 1,620",1-2 Beds,"11 E Orange Grove Rd, Tucson, AZ 85704"
"$799 - 1,110",1-2 Beds,"5000 S Country Club Rd, Tucson, AZ 85706"
"$755 - 1,849",Studio - 2 Beds,"1701 N Wilmot Rd, Tucson, AZ 85712"
"$784 - 2,016",1-2 Beds,"8225 E Speedway Blvd, Tucson, AZ 85710"
"$840 - 1,245",Studio - 2 Beds,"2345 N Craycroft Rd, Tucson, AZ 85712"
"$1,135 - 1,629",1-2 Beds,"7425 N Mona Lisa Rd, Tucson, AZ 85741"
"$1,020 - 1,220",1 Bed,"5666 E Hampton St, Tucson, AZ 85712"
"$776 - 1,632",1-2 Beds,"6161 E Grant Rd, Tucson, AZ 85712"
"$794 - 1,639",Studio - 2 Beds,"4900 E 5th St, Tucson, AZ 85711"
"$811 - 1,478",Studio - 2 Beds,"801 S Prudence Rd, Tucson, AZ 85710"
"$755 - 1,085",Studio - 1 Bed,"2660 N Alvernon Way, Tucson, AZ 85712"
"$799 - 1,079",1-2 Beds,"6200 S Campbell Ave, Tucson, AZ 85706"
"$1,100 - 1,875",1-4 Beds,"41 S Shannon Rd, Tucson, AZ 85745"
"$1,483 - 4,802",1-3 Beds,"8323 N Shannon Rd, Tucson, AZ 85742"
"$1,049 - 1,799",1-3 Beds,"9777 N Thornydale Rd, Tucson, AZ 85742"
"$894 - 3,294",1-3 Beds,"2120 N Silverbell Rd, Tucson, AZ 85745"
"$851 - 2,279",1-2 Beds,"5441 N Swan Rd, Tucson, AZ 85718"
"$1,520 - 3,202",1-3 Beds,"6101 W Arizona Pavilions Dr, Tucson, AZ 85743"
"$859 - 1,719",1-2 Beds,"9000 E Speedway Blvd, Tucson, AZ 85710"
$829,1 Bed,"3066 N Balboa Ave, Tucson, AZ 85705"
$800 - 850,1 Bed,"5651 E Edison St, Tucson, AZ 85712"
"$904 - 1,255",1-2 Beds,"3121 N Swan Rd, Tucson, AZ 85712"
"$775 - 1,000",Studio - 2 Beds,"3814 E 4th St, Tucson, AZ 85716"
"$869 - 1,399",1-2 Beds,"1111 W Saint Marys Rd, Tucson, AZ 85745"
"$1,121 - 1,986",Studio - 3 Beds,"7300 N Mona Lisa Rd, Tucson, AZ 85741"
"$1,350 - 1,595",1-2 Beds,"3250 E Fort Lowell Rd, Tucson, AZ 85716"
"$939 - 2,058",1-2 Beds,"405 E Prince Rd, Tucson, AZ 85705"
"$795 - 1,150",1-2 Beds,"555 E Limberlost Dr, Tucson, AZ 85705"
"$750 - 1,090",1-3 Beds,"1050 E 8th St, Tucson, AZ 85719"
"$859 - 1,049",1-2 Beds,"252 W Valencia Rd, Tucson, AZ 85706"
"$699 - 1,239",Studio - 2 Beds,"1252 S Craycroft Rd, Tucson, AZ 85711"
$945,1 Bed,"1975 W 36th St, Tucson, AZ 85713"
"$711 - 1,460",Studio - 1 Bed,"1 N 5th Ave, Tucson, AZ 85701"
"$2,350 /mo","4 Beds, 2.5 Baths","3002 N Mountain Ave, Tucson, AZ 85719"
"$2,250 /mo","3 Beds, 2.5 Baths","3002 N Mountain Ave, Tucson, AZ 85719"
"$2,275 /mo","4 Beds, 2.5 Baths","2152 N Country Club Rd, Tucson, AZ 85716"
"$2,275 /mo","4 Beds, 2.5 Baths","2152 N Country Club Rd, Tucson, AZ 85716"
"$2,070 /mo","3 Beds, 2 Baths","215 N Park Ave, Tucson, AZ 85719"
"$2,000 /mo","4 Beds, 2.5 Baths","215 N Park Ave, Tucson, AZ 85719"
"$2,065 /mo","3 Beds, 2.5 Baths","123 W Delano St, Tucson, AZ 85705"
"$1,945 /mo","3 Beds, 2 Baths","123 W Delano St, Tucson, AZ 85705"
"$1,850 /mo","3 Beds, 2 Baths","1060 N Swan Rd, Tucson, AZ 85711"
"$2,095 /mo","4 Beds, 2.5 Baths","1060 N Swan Rd, Tucson, AZ 85711"
"$1,815 /mo","3 Beds, 2 Baths","6110 E 5th St, Tucson, AZ 85711"
"$1,665 /mo","3 Beds, 2 Baths","6110 E 5th St, Tucson, AZ 85711"
"$2,070 /mo","3 Beds, 2.5 Baths","55 N Park Ave, Tucson, AZ 85719"
"$2,025 /mo","4 Beds, 2 Baths","55 N Park Ave, Tucson, AZ 85719"
"$2,420 /mo","4 Beds, 3 Baths","8490 E Old Spanish Trl, Tucson, AZ 85710"
"$2,465 /mo","5 Beds, 3 Baths","8490 E Old Spanish Trl, Tucson, AZ 85710"
"$1,805 /mo","3 Beds, 2 Baths","9164 E Sugar Sumac St, Tucson, AZ 85747"
"$1,730/mo","1 Bed, 1 Bath",House for Rent
"$1,895 /mo","3 Beds, 2 Baths","11 E Orange Grove Rd, Tucson, AZ 85704"
"$1,960 /mo","3 Beds, 2 Baths",Apartment for Rent
"$2,135 /mo","4 Beds, 2 Baths","3395 Evening Star Ct, Tucson, AZ 85741"
"$2,785 /mo","5 Beds, 4 Baths",House for Rent
"$1,830 /mo","3 Beds, 2 Baths","9860 E Paseo San Rosendo, Tucson, AZ 85747"
"$2,119/mo","1 Bed, 1 Bath",House for Rent
"$2,145/mo","Studio, 1 Bath","6022 S Birchwood Dr, Tucson, AZ 85746"
"$1,900/mo","2 Beds, 2 Baths",House for Rent
"$1,700/mo","1 Bed, 1 Bath","8416 N Sand Flower Rd, Tucson, AZ 85743"
"$1,995 /mo","4 Beds, 2 Baths",House for Rent
"$2,280 /mo","4 Beds, 2 Baths","10159 E Desert Crossings Way, Tucson, AZ 85747"
