price,rooms,address
"$925 - 1,295",1-2 Beds,"4020 S 130th East Ave, Tulsa, OK 74134"
"$1,160 - 2,666",Studio - 3 Beds,"1717 S Riverside Dr, Tulsa, OK 74119"
"$1,125 - 1,800",1-2 Beds,"13818 E 51st St S, Tulsa, OK 74134"
"$1,628 - 2,501",1-3 Beds,"11131 S Kennedy Ct, Jenks, OK 74037"
"$1,495 - 2,095",1-3 Beds,"9803 E 96th St, Owasso, OK 74055"
"$748 - 1,114",Studio - 2 Beds,"5808 E 71st St, Tulsa, OK 74136"
"$729 - 1,079",1-2 Beds,"12525 E 41st St, Tulsa, OK 74146"
"$810 - 1,497",1-2 Beds,"1010 E 66th Pl, Tulsa, OK 74136"
"$629 - 1,035",1-2 Beds,"1818 E 71st St, Tulsa, OK 74136"
"$726 - 1,046",1-2 Beds,"8120 E 63rd Pl S, Tulsa, OK 74133"
$679 - 975,1-2 Beds,"7643 E 51st St, Tulsa, OK 74145"
"$1,559 - 2,750",1-2 Beds,"420 E Archer St, Tulsa, OK 74120"
"$990 - 1,656",1-2 Beds,"1000 S Denver Ave, Tulsa, OK 74119"
$700 - 800,1 Bed,"4343 S 109th East Ave, Tulsa, OK 74146"
"$495 - 1,050",Studio - 2 Beds,"2001 E Skelly Dr, Tulsa, OK 74105"
"$849 - 1,499",1-2 Beds,"8111 E 60th St, Tulsa, OK 74145"
$740 - 999,1-2 Beds,"7803-7919 S Wheeling Ave, Tulsa, OK 74136"
"$829 - 1,199",1-2 Beds,"5160 S Yale Ave, Tulsa, OK 74135"
"$1,100 - 1,580",1-3 Beds,"8110 S 107th Ave, Tulsa, OK 74133"
"$100 - 1,224",1-3 Beds,"14041 E 24th St, Tulsa, OK 74134"
"$609 - 1,649",1-3 Beds,"1563 S 79th East Ave, Tulsa, OK 74112"
$600 - 989,1-2 Beds,"910 E 61st St S, Tulsa, OK 74136"
$559 - 870,Studio - 2 Beds,"2102 E 51st St S, Tulsa, OK 74105"
$749 - 970,1-2 Beds,"3625 S Lakewood Ave, Tulsa, OK 74135"
$559 - 979,Studio - 3 Beds,"4801 S Braden Ave, Tulsa, OK 74135"
"$599 - 1,020",1-2 Beds,"6805 S Lewis Ave, Tulsa, OK 74136"
"$699 - 1,049",Studio - 2 Beds,"4104 S 130th Ave E, Tulsa, OK 74134"
"$1,055 - 1,684",1-2 Beds,"324 S Main St, Tulsa, OK 74103"
"$1,150 - 2,949",1-3 Beds,"522 S Boston Ave, Tulsa, OK 74103"
"$925 - 1,295",1-2 Beds,"4020 S 130th East Ave, Tulsa, OK 74134"
"$1,160 - 2,666",Studio - 3 Beds,"1717 S Riverside Dr, Tulsa, OK 74119"
"$1,125 - 1,800",1-2 Beds,"13818 E 51st St S, Tulsa, OK 74134"
"$1,628 - 2,501",1-3 Beds,"11131 S Kennedy Ct, Jenks, OK 74037"
"$1,495 - 2,095",1-3 Beds,"9803 E 96th St, Owasso, OK 74055"
"$748 - 1,114",Studio - 2 Beds,"5808 E 71st St, Tulsa, OK 74136"
"$729 - 1,079",1-2 Beds,"12525 E 41st St, Tulsa, OK 74146"
"$810 - 1,497",1-2 Beds,"1010 E 66th Pl, Tulsa, OK 74136"
"$629 - 1,035",1-2 Beds,"1818 E 71st St, Tulsa, OK 74136"
"$726 - 1,046",1-2 Beds,"8120 E 63rd Pl S, Tulsa, OK 74133"
$679 - 975,1-2 Beds,"7643 E 51st St, Tulsa, OK 74145"
