price,rooms,address
"$1,450 - 6,550",Studio - 3 Beds,"2613 Atlantic Ave, Virginia Beach, VA 23451"
"$1,950 - 4,950",1-3 Beds,"521 31st St, Virginia Beach, VA 23451"
"$1,699 - 2,949",1-3 Beds,"5948 Aretha Pl, Virginia Beach, VA 23455"
"$2,300 - 2,800",2-3 Beds,"640 Beachcomber Ln, Virginia Beach, VA 23451"
"$1,812 - 2,542",1-3 Beds,"2200 Willow Oak Cir, Virginia Beach, VA 23451"
"$1,750 - 2,700",1-3 Beds,"1060 Kempsville Rd, Norfolk, VA 23502"
"$1,790 - 2,610",1-3 Beds,"6163 Kempsville Cir, Norfolk, VA 23502"
"$1,409 - 1,699",1-2 Beds,"5505 Oxford Trace Way, Virginia Beach, VA 23464"
"$1,550 - 2,500",1-3 Beds,"1888 Somerton Pl, Virginia Beach, VA 23464"
"$1,221 - 3,206",1-3 Beds,"1431 Bayhead Dr, Virginia Beach, VA 23453"
"$1,575 - 1,675",2 Beds,"1225 Old Virginia Beach Rd, Virginia Beach, VA 23451"
"$1,350 - 1,875",1-3 Beds,"1809 Colonial Arms Cir, Virginia Beach, VA 23454"
"$1,405 - 1,685",1-2 Beds,"3923 Lake Front Cir, Virginia Beach, VA 23452"
"$1,305 - 1,987",1-2 Beds,"2352 Windway Ln, Virginia Beach, VA 23455"
"$1,131 - 1,873",1-2 Beds,"3100 Hunters Chase Dr, Virginia Beach, VA 23452"
"$1,491 - 3,461",1-3 Beds,"757 Saltmeadow Bay Dr, Virginia Beach, VA 23451"
"$1,435 - 2,075",1-3 Beds,"3955 Marina Lake Rd, Virginia Beach, VA 23452"
"$989 - 2,014",Studio - 4 Beds,"205 34th St, Virginia Beach, VA 23451"
"$1,435 - 1,655",1-2 Beds,"3500 Green Garden Cir, Virginia Beach, VA 23453"
"$1,495 - 2,255",1-3 Beds,"4133 Shoreline Pl, Virginia Beach, VA 23452"
"$1,450 - 2,600",1-4 Beds,"4129 Inverness Rd, Virginia Beach, VA 23452"
"$1,355 - 1,839",1-3 Beds,"4594 Wicklow Pl, Virginia Beach, VA 23452"
"$1,691 - 2,176",1-3 Beds,"4441 E Honeygrove Ct, Virginia Beach, VA 23455"
"$1,125 - 1,900",1-3 Beds,"832 Blackfriars Dr, Virginia Beach, VA 23455"
"$1,519 - 1,994",1-2 Beds,"5305 Bleecker St, Virginia Beach, VA 23452"
"$1,015 - 1,550",1-3 Beds,"124 Palm Beach Pl, Virginia Beach, VA 23452"
"$1,343 - 2,493",1-3 Beds,"3816 Banyan Grove Ln, Virginia Beach, VA 23462"
"$1,649 - 2,636",1-3 Beds,"1350 Sapphire Dr, Virginia Beach, VA 23455"
"$1,625 - 2,629",1-3 Beds,"525 Kempsville Rd, Virginia Beach, VA 23464"
"$1,810",1-3 Beds,"712 Promenade Pl, Virginia Beach, VA 23462"
"$2,379 - 4,539",1-3 Beds,"2110 Marina Shores Dr, Virginia Beach, VA 23451"
"$1,795 - 3,035",1-3 Beds,"4 Constitution Dr, Virginia Beach, VA 23462"
"$1,700 - 2,300",1-3 Beds,"4540 Helm Dr, Virginia Beach, VA 23452"
"$1,610 - 2,240",1-3 Beds,"4432 Bonney Rd, Virginia Beach, VA 23462"
"$1,835 - 2,195",1-2 Beds,"4217 S Plaza Trl, Virginia Beach, VA 23462"
"$1,130 - 2,810",1-3 Beds,"1101 Craftsman Dr, Virginia Beach, VA 23464"
"$1,245 - 2,554",1-3 Beds,"1500 Chase Arbor Cmn, Virginia Beach, VA 23462"
"$1,535 - 1,825",1-2 Beds,"624 Suhtai Ct, Virginia Beach, VA 23451"
"$1,825",2 Beds,"4725 Onondaga Rd, Virginia Beach, VA 23462"
"$1,250 - 1,830",1-3 Beds,"1512 Kindly Ln, Virginia Beach, VA 23455"
"$1,450 - 6,550",Studio - 3 Beds,"2613 Atlantic Ave, Virginia Beach, VA 23451"
"$1,950 - 4,950",1-3 Beds,"521 31st St, Virginia Beach, VA 23451"
"$1,699 - 2,949",1-3 Beds,"5948 Aretha Pl, Virginia Beach, VA 23455"
