,price,rooms,address
0,"$999 - 1,670",1-3 Beds,"1701 Denali St, Abilene, TX 79606"
0,Call for Rent,3 Beds,"1826 County 111-1 Rd, Abilene, TX 79602"
0,"$960 - 1,760",1-3 Beds,"2789 E Lake Rd, Abilene, TX 79601"
0,"$1,050 - 1,550",1-3 Beds,"5025 Sierra Sunset, Abilene, TX 79606"
0,"$1,129 - 1,939",1-3 Beds,"3649 Cedar Run Rd, Abilene, TX 79606"
0,"$785 - 1,249",1-2 Beds,"2002-2010 S Clack St, Abilene, TX 79606"
0,"$805 - 1,125",1-3 Beds,"2701 SW Dr Dr, Abilene, TX 79605"
0,"$745 - 1,140",1-2 Beds,"1000 S Clack St, Abilene, TX 79605"
0,"$852 - 1,154",1-3 Beds,"5249 US Highway 277 S, Abilene, TX 79605"
0,"$799 - 1,213",1-2 Beds,"4450 Ridgemont Dr, Abilene, TX 79606"
0,"$802 - 1,080",2 Beds,"1351 Andy St, Abilene, TX 79605"
0,"$749 - 1,239",1-3 Beds,"5220 Hartford St, Abilene, TX 79605"
0,"$719 - 1,405",Studio - 3 Beds,"2800 S 25th St, Abilene, TX 79605"
0,"$1,000 - 1,475",1-3 Beds,"4517 Velta Ln, Abilene, TX 79606"
0,"$830 - 1,255",1-2 Beds,"3549 Curry Ln, Abilene, TX 79606"
0,$778 - 995,1-2 Beds,"500 N Judge Ely Blvd, Abilene, TX 79601"
0,"$1,089 - 1,829",1-3 Beds,"2541 N Judge Ely Blvd, Abilene, TX 79601"
0,"$899 - 1,216",1-3 Beds,"3602 Rolling Green Dr, Abilene, TX 79606"
0,"$715 - 1,050",Studio - 2 Beds,"5450 Texas Ave, Abilene, TX 79605"
0,"$885 - 1,210",1-3 Beds,"733 ES 27th St, Abilene, TX 79602"
0,"$975 - 1,450",1-3 Beds,"4333 Antilley Rd, Abilene, TX 79606"
0,$700 - 895,1-2 Beds,"333 Washington Blvd, Abilene, TX 79601"
0,"$713 - 1,159",1-2 Beds,"3501 Curry Ln, Abilene, TX 79606"
0,"$570 - 1,360",Studio - 3 Beds,"2601 Nonesuch Rd, Abilene, TX 79606"
0,"$364 - 1,055",1-2 Beds,"2401 s 25th st, Abilene, TX 79605"
