,price,rooms,address
0,"$2,254 - 4,690",Studio - 2 Beds,"934 Shorepoint Ct, Alameda, CA 94501"
0,"$4,572 - 5,048",2-4 Beds,"250 Mosley Ave, Alameda, CA 94501"
0,"$2,150 - 3,200",1 Bed,"2350 Saratoga St, Alameda, CA 94501"
0,"$2,170 - 5,980",Studio - 3 Beds,"150 4th St, Oakland, CA 94607"
0,"$2,097 - 6,733",Studio - 3 Beds,"37 8th Ave, Oakland, CA 94606"
0,"$2,025 - 2,595",1-2 Beds,"550 Central Ave, Alameda, CA 94501"
0,"$2,075 - 2,895",1-2 Beds,"624 Willow St, Alameda, CA 94501"
0,"$2,195 - 2,775",1-2 Beds,"2051 Shoreline Dr, Alameda, CA 94501"
0,"$2,217 - 6,914",1-4 Beds,"1826 Poggi St, Alameda, CA 94501"
0,"$2,175 - 2,550",1-2 Beds,"2028 Franciscan Way, Alameda, CA 94501"
0,"$2,653 - 3,562",1-2 Beds,"1100 Pacific Marina, Alameda, CA 94501"
0,"$2,230 - 4,965",Studio - 2 Beds,"2000 Ardent Way, Alameda, CA 94501"
0,"$2,560 - 5,274",Studio - 3 Beds,"1501 Buena Vista Ave, Alameda, CA 94501"
0,"$2,573 - 6,750",Studio - 2 Beds,"1777 Clement Ave, Alameda, CA 94501"
0,"$1,784 - 5,488",Studio - 3 Beds,"255 9th Ave, Oakland, CA 94606"
0,"$2,135 - 2,935",1-2 Beds,"1130 E 3rd Ave, Oakland, CA 94606"
0,"$1,530 - 4,939",Studio - 3 Beds,"40 Harrison St, Oakland, CA 94607"
0,"$2,008 - 4,650",Studio - 3 Beds,"1150 Clay St, Oakland, CA 94612"
0,"$1,969 - 3,958",Studio - 2 Beds,"532 Union St, Oakland, CA 94607"
0,"$1,395 - 3,068",Studio,"233 Broadway, Oakland, CA 94607"
0,"$1,905 - 5,125",Studio - 3 Beds,"260 Brooklyn Basin Way, Oakland, CA 94606"
0,"$2,495 - 3,495",1-2 Beds,"1801 Shoreline Dr, Alameda, CA 94501"
0,"$2,277 - 12,455",Studio - 2 Beds,"335 Tideway Dr, Alameda, CA 94501"
0,Call for Rent,1-2 Beds,"1825 Poggi St, Alameda, CA 94501"
0,"$1,750 - 1,920",1-4 Beds,"316 12th St, Oakland, CA 94607"
0,"$3,875 - 6,100",1-3 Beds,"1200 Lakeshore, Oakland, CA 94606"
0,"$2,237 - 3,199",Studio - 3 Beds,"3030 Chapman St, Oakland, CA 94601"
0,"$1,250",Studio,"184 13th St, Oakland, CA 94612"
0,"$1,148 - 1,627",Studio,"825 6th Ave, Oakland, CA 94606"
0,"$2,595",Studio - 2 Beds,"430-450 Buena Vista Ave, Alameda, CA 94501"
0,"$1,988 - 2,864",1-3 Beds,"557-559 Buena Vista Ave, Alameda, CA 94501"
0,"$3,908 - 6,482",1-2 Beds,"2465 Shoreline Dr, Alameda, CA 94501"
0,"$2,009 - 3,169",Studio - 2 Beds,"101-141 Embarcadero, Oakland, CA 94607"
0,"$1,950 - 2,050",1-2 Beds,"201 E 12th St, Oakland, CA 94606"
0,"$2,191 - 3,549",1-3 Beds,"401 Derby Ave, Oakland, CA 94601"
0,"$1,637 - 7,974",Studio - 3 Beds,"238 13th St, Oakland, CA 94612"
0,"$1,595 - 1,795",Studio - 1 Bed,"1929 26th Ave, Oakland, CA 94601"
0,"$1,519 - 2,284",Studio - 3 Beds,"1720 12th Ave, Oakland, CA 94606"
0,"$2,015 - 3,005",1-2 Beds,"240 3rd St, Oakland, CA 94607"
0,"$4,000",4 Beds,"Oakland, CA 94606"
