,price,rooms,address
0,"$1,498 - 2,178",1-3 Beds,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106"
0,"$1,575 - 3,400",Studio - 2 Beds,"10800 Golf Course Rd NW, Albuquerque, NM 87114"
0,"$1,595 - 1,895",1-2 Beds,"11930 Menaul Blvd NE, Albuquerque, NM 87112"
0,"$1,599 - 2,250",1-2 Beds,"2320 Central Ave SW, Albuquerque, NM 87104"
0,"$2,375 - 2,400",4-5 Beds,"3003 Transport St SE, Albuquerque, NM 87106"
0,"$1,995 - 2,895",1-3 Beds,"1500 Central Ave SW, Albuquerque, NM 87104"
0,"$896 - 1,280",1-3 Beds,"12021 Skyline Rd NE, Albuquerque, NM 87123"
0,"$1,305 - 2,295",Studio - 3 Beds,"6303 Indian School Rd NE, Albuquerque, NM 87110"
0,$774 - 922,1-2 Beds,"4200 Spanish Bit NE, Albuquerque, NM 87111"
0,"$900 - 1,599",Studio - 2 Beds,"11800 Montgomery Blvd NE, Albuquerque, NM 87111"
0,"$1,295 - 1,995",Studio - 2 Beds,"7000 Phoenix Ave NE, Albuquerque, NM 87110"
0,"$940 - 1,110",1-2 Beds,"14124 Copper Ave NE, Albuquerque, NM 87123"
0,"$850 - 2,745",1-2 Beds,"8401 Spain Rd NE, Albuquerque, NM 87111"
0,"$1,307 - 3,204",1-3 Beds,"9180 Coors Rd NW, Albuquerque, NM 87120"
0,"$1,224 - 2,089",1-2 Beds,"6000 Montano Plaza Dr NW, Albuquerque, NM 87120"
0,"$930 - 2,567",1-2 Beds,"3958 Montgomery Blvd NE, Albuquerque, NM 87109"
0,"$995 - 1,545",1-3 Beds,"557 Tramway Blvd NE, Albuquerque, NM 87123"
0,"$1,099 - 1,845",1-2 Beds,"6200 Eubank Blvd NE, Albuquerque, NM 87111"
0,"$930 - 1,270",1-2 Beds,"12301 Lomas Blvd NE, Albuquerque, NM 87112"
0,"$995 - 1,830",1-2 Beds,"9900 Spain Rd NE, Albuquerque, NM 87111"
0,"$1,255 - 2,049",1-3 Beds,"3550 Old Airport Rd NW, Albuquerque, NM 87114"
0,"$1,065 - 1,570",1-2 Beds,"3131 Adams St NE, Albuquerque, NM 87110"
0,"$1,375 - 2,295",1-3 Beds,"12200 Academy Rd NE, Albuquerque, NM 87111"
0,"$906 - 1,944",Studio - 2 Beds,"801 Locust Pl NE, Albuquerque, NM 87102"
0,"$999 - 1,950",Studio - 3 Beds,"7100 Natalie Ave NE, Albuquerque, NM 87110"
0,"$1,320 - 2,080",1-3 Beds,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120"
0,"$1,452 - 6,025",1-4 Beds,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121"
0,"$1,244 - 4,533",1-2 Beds,"5324 San Mateo Blvd NE, Albuquerque, NM 87109"
0,"$1,745 - 1,999",Studio - 2 Beds,"4101 Central Ave NE, Albuquerque, NM 87108"
0,"$1,350 - 2,600",1-4 Beds,"6601 Tree Line Ave NW, Albuquerque, NM 87114"
0,"$1,325 - 3,995",1-2 Beds,"5301 Antequera Rd NW, Albuquerque, NM 87120"
0,"$1,558 - 2,367",Studio - 2 Beds,"7800 Headline Blvd NE, Albuquerque, NM 87109"
0,"$1,525 - 2,701",Studio - 2 Beds,"6500 Americas Pky NE, Albuquerque, NM 87110"
0,"$1,195 - 1,800",Studio - 2 Beds,"2818 4th St NW, Albuquerque, NM 87107"
0,"$1,600 - 2,175",1-2 Beds,"8901 Holly Ave NE, Albuquerque, NM 87122"
0,"$1,507 - 2,457",Studio - 2 Beds,"6700 Modesto Ave NE, Albuquerque, NM 87113"
0,"$1,005 - 1,380",1-2 Beds,"4217 Louisiana Blvd NE, Albuquerque, NM 87109"
0,"$1,675 - 2,913",1-3 Beds,"6701 Tennyson St NE, Albuquerque, NM 87111"
0,"$714 - 1,229",Studio - 2 Beds,"7220 Central Ave SE, Albuquerque, NM 87108"
0,"$1,005 - 1,345",Studio - 2 Beds,"4401 Morris St NE, Albuquerque, NM 87111"
