,price,rooms,address
0,"$1,900 - 3,245",Studio - 2 Beds,"6375 Richmond Hwy, Alexandria, VA 22306"
0,"$1,498 - 3,634",Studio - 3 Beds,"5001 Seminary Rd, Alexandria, VA 22311"
0,"$2,158 - 5,438",1-3 Beds,"2801 Park Center Dr, Alexandria, VA 22302"
0,"$1,431 - 3,222",Studio - 3 Beds,"4701 Kenmore Ave, Alexandria, VA 22304"
0,"$1,225 - 2,330",Studio - 3 Beds,"6034 Richmond Hwy, Alexandria, VA 22303"
0,"$1,510 - 4,524",Studio - 3 Beds,"5797A Rayburn Ave, Alexandria, VA 22311"
0,"$1,636 - 2,040",Studio - 2 Beds,"101 N Ripley St, Alexandria, VA 22304"
0,"$1,742 - 4,138",Studio - 3 Beds,"2111 Richmond Hwy, Arlington, VA 22202"
0,"$1,838 - 2,937",Studio - 2 Beds,"2000 N Beauregard St, Alexandria, VA 22311"
0,"$1,498 - 3,007",Studio - 3 Beds,"4901 Seminary Rd, Alexandria, VA 22311"
0,"$1,880 - 5,319",Studio - 3 Beds,"1100 N Fayette St, Alexandria, VA 22314"
0,"$2,203 - 3,876",1-2 Beds,"4401 Ford Ave, Alexandria, VA 22302"
0,"$1,930 - 5,065",Studio - 3 Beds,"5919 Ashlar Way, Alexandria, VA 22303"
0,"$2,230 - 5,000",1-2 Beds,"1200 N Henry St, Alexandria, VA 22314"
0,"$5,035 - 6,745",1-2 Beds,"1112 First St, Alexandria, VA 22314"
0,"$1,470 - 4,001",1-3 Beds,"5510 Ascot Ct, Alexandria, VA 22311"
0,"$2,085 - 4,489",Studio - 3 Beds,"750 Thornton Way, Alexandria, VA 22314"
0,"$1,931 - 7,986",Studio - 3 Beds,"5555 Cardinal Pl, Alexandria, VA 22304"
0,"$2,070 - 4,630",Studio - 2 Beds,"1260 Braddock Pl, Alexandria, VA 22314"
0,"$1,633 - 2,642",Studio - 3 Beds,"5950 Grand Pavilion Way, Alexandria, VA 22303"
0,"$1,854 - 2,855",Studio - 3 Beds,"5575 Vincent Gate Ter, Alexandria, VA 22312"
0,"$2,210",2-3 Beds,"5402 Taney Ave, Alexandria, VA 22304"
0,"$2,080 - 4,025",Studio - 2 Beds,"731 Seaton Ave, Alexandria, VA 22305"
0,"$1,891 - 5,619",Studio - 2 Beds,"3110 Mount Vernon Ave, Alexandria, VA 22305"
0,"$1,650 - 3,177",1-3 Beds,"4411 N Armistead St, Alexandria, VA 22312"
0,"$1,920 - 3,060",Studio - 2 Beds,"4390 King St, Alexandria, VA 22302"
0,"$1,753 - 2,818",1-3 Beds,"5760 Dow Ave, Alexandria, VA 22304"
0,"$1,555 - 3,433",Studio - 2 Beds,"1400 N Beauregard St, Alexandria, VA 22311"
0,"$2,107 - 2,504",1-2 Beds,"5250 Duke St, Alexandria, VA 22304"
0,"$1,811 - 3,375",1-3 Beds,"2215 N Pickett St, Alexandria, VA 22304"
0,"$1,350 - 2,880",Studio - 2 Beds,"140 S Van Dorn St, Alexandria, VA 22304"
0,"$1,435 - 4,476",1-3 Beds,"2722 Arlington Dr, Alexandria, VA 22306"
0,"$2,040 - 5,830",1-2 Beds,"5711 Woodlawn Gable Dr, Alexandria, VA 22309"
0,"$1,363 - 1,775",1-2 Beds,"7131 Silver Lake Blvd, Alexandria, VA 22315"
0,"$1,814 - 4,140",1-3 Beds,"1459 N Beauregard St, Alexandria, VA 22311"
0,"$1,647 - 2,808",1-3 Beds,"6112 Edsall Rd, Alexandria, VA 22304"
0,"$1,485 - 4,011",Studio - 3 Beds,"935 N Van Dorn St, Alexandria, VA 22304"
0,"$1,468 - 1,979",1-2 Beds,"801 4 Mile Rd, Alexandria, VA 22305"
0,"$1,300 - 3,525",1-2 Beds,"240 Yoakum Pkwy, Alexandria, VA 22304"
0,"$1,402 - 3,062",Studio - 3 Beds,"5021 Seminary Rd, Alexandria, VA 22311"
