,price,rooms,address
0,"$1,245 - 1,395",1 Bed,"827 S Jefferson St, Allentown, PA 18103"
0,"$1,395 - 1,695",1-2 Beds,"2325 W Livingston St, Allentown, PA 18104"
0,"$1,245 - 1,645",1-2 Beds,"402 S 15th St, Allentown, PA 18102"
0,"$1,600 - 1,975",1-2 Beds,"2501 Allenbrook Dr, Allentown, PA 18103"
0,Call for Rent,1-2 Beds,"311 Robert Morris Blvd, Allentown, PA 18104"
0,"$1,695 - 3,300",1-3 Beds,"207 N Front St, Allentown, PA 18102"
0,"$1,295 - 1,695",1-2 Beds,"1748 Shimer Ave, Bethlehem, PA 18018"
0,"$1,310 - 1,910",1-3 Beds,"3 Maryland Cir, Whitehall, PA 18052"
0,"$1,607 - 3,179",1-3 Beds,"3218 W Cedar St, Allentown, PA 18104"
0,"$1,815 - 4,320",1-2 Beds,"5265 Rockrose Ln, Allentown, PA 18104"
0,"$1,590 - 2,255",1-3 Beds,"2020 W Fairmont St, Allentown, PA 18104"
0,"$1,530 - 2,970",Studio - 3 Beds,"1625 Lehigh Pky E, Allentown, PA 18103"
0,"$1,210 - 2,030",Studio - 3 Beds,"1641 33rd St SW, Allentown, PA 18103"
0,"$1,410 - 4,292",Studio - 2 Beds,"27 N 7th St, Allentown, PA 18101"
0,"$1,389 - 2,345",Studio - 3 Beds,"3616 W Tilghman St, Allentown, PA 18104"
0,"$1,205 - 1,295",1 Bed,"1011 N 22nd St, Allentown, PA 18104"
0,"$1,125 - 1,740",1-3 Beds,"1207 E Congress St, Allentown, PA 18109"
0,"$1,570 - 2,085",1-2 Beds,"2080 Westgate Dr, Bethlehem, PA 18017"
0,"$1,365 - 1,630",1-2 Beds,"2104 Westgate Dr, Bethlehem, PA 18017"
0,"$1,512 - 2,266",1-3 Beds,"1818 Catasauqua Rd, Bethlehem, PA 18018"
0,"$1,475 - 3,615",1-2 Beds,"2647 SW 30th St SW, Allentown, PA 18103"
0,Call for Rent,Studio - 2 Beds,"347-377 Gordon St, Allentown, PA 18101"
0,"$1,350 - 1,650",Studio - 2 Beds,"114-122 W Allen St, Allentown, PA 18102"
0,"$1,887 - 1,920",2 Beds,"100 Ramapo Trl, Allentown, PA 18104"
0,Call for Rent,1-2 Beds,"2016-2002 W Linden St, Allentown, PA 18104"
0,"$1,210 - 2,620",Studio - 2 Beds,"701 Harrison St, Allentown, PA 18103"
0,"$1,465 - 1,895",1-2 Beds,"333 River Dr, Allentown, PA 18109"
0,"$1,105 - 1,930",1-3 Beds,"1500 Hamilton St, Allentown, PA 18102"
0,"$1,235 - 2,060",1-3 Beds,"535 N Cedar Hill Dr, Allentown, PA 18109"
0,"$1,150 - 1,560",1-2 Beds,"2010 B Pinehurst Ct, Allentown, PA 18109"
0,"$1,129 - 1,989",1-3 Beds,"2940 Fernor St, Allentown, PA 18103"
0,"$1,199 - 1,349",1-2 Beds,"2414 Prospect Ave, Allentown, PA 18103"
0,"$1,974 - 2,274",1-2 Beds,"1988 Presidential Dr, Whitehall, PA 18052"
0,"$1,264 - 1,374",1 Bed,"5 Jordan Dr, Whitehall, PA 18052"
0,"$1,584 - 1,614",1 Bed,"2252A Catasauqua Rd, Bethlehem, PA 18018"
0,"$1,165 - 1,895",1-3 Beds,"2 Maryland Cir, Whitehall, PA 18052"
0,"$1,405 - 1,970",1-3 Beds,"150 Mickley Run, Whitehall, PA 18052"
0,"$1,215 - 1,470",1-2 Beds,"714 Woodbury Ln, Whitehall, PA 18052"
0,"$1,295 - 1,410",1-2 Beds,"2132 Pennsylvania Ave, Bethlehem, PA 18018"
0,"$1,550 /mo","3 Beds, 1 Bath","Allentown, PA 18104"
