,price,rooms,address
0,"$1,874 - 2,189",1-2 Beds,"3001 Riviera Cir, Ann Arbor, MI 48108"
0,"$1,221 - 2,300",Studio - 2 Beds,"600 Hidden Valley Club Dr, Ann Arbor, MI 48104"
0,"$1,495 - 2,275",1-3 Beds,"650 Waymarket Dr, Ann Arbor, MI 48103"
0,"$2,130 - 2,590",1-2 Beds,"2555 Oak Valley Dr, Ann Arbor, MI 48103"
0,"$1,294 - 2,158",1-3 Beds,"2167 Medford Rd, Ann Arbor, MI 48104"
0,"$1,850 - 2,650",1-2 Beds,"275 Harbor Way, Ann Arbor, MI 48103"
0,"$1,537 - 2,815",Studio - 3 Beds,"3400 Nixon Rd, Ann Arbor, MI 48105"
0,"$1,693 - 3,400",Studio - 3 Beds,"2502 Packard St, Ann Arbor, MI 48104"
0,"$2,025 - 4,108",1-3 Beds,"3300 Ann Arbor Saline Rd, Ann Arbor, MI 48103"
0,"$1,995 - 3,763",Studio - 3 Beds,"1200 Broadway St, Ann Arbor, MI 48105"
0,"$1,029 - 2,209",1-5 Beds,"2327 Erie Dr, Ann Arbor, MI 48105"
0,"$1,265 - 1,750",Studio - 2 Beds,"800 Victors Way, Ann Arbor, MI 48108"
0,"$1,424 - 1,874",1-3 Beds,"2020 Arbor Cir, Ypsilanti, MI 48197"
0,"$1,900 - 3,375",1-3 Beds,"2501 Avant Ave, Ann Arbor, MI 48103"
0,"$1,190 - 2,010",1-4 Beds,"1780 Broadway St, Ann Arbor, MI 48105"
0,"$1,225 - 1,965",1-2 Beds,"3510 Pheasant Run Cir, Ann Arbor, MI 48108"
0,Call for Rent,1-2 Beds,"420 Kellogg St, Ann Arbor, MI 48105"
0,"$1,850 - 3,194",2-3 Beds,"275-398 Rolling Meadows Dr, Ann Arbor, MI 48103"
0,"$1,179 - 1,509",Studio - 2 Beds,"3615 Green Brier Blvd, Ann Arbor, MI 48105"
0,"$1,449 - 1,849",1-3 Beds,"2845 Sagebrush Cir, Ann Arbor, MI 48103"
0,"$1,765 - 2,045",1-2 Beds,"1315 Oak Valley Dr, Ann Arbor, MI 48108"
0,"$1,250 - 1,590",Studio - 3 Beds,"1099 Maiden Ln, Ann Arbor, MI 48105"
0,"$1,210 - 1,900",1-2 Beds,"1521 Pine Valley Blvd, Ann Arbor, MI 48104"
0,"$1,699 - 2,455",2-3 Beds,"2469-2511 Packard St, Ann Arbor, MI 48104"
0,"$1,295 - 1,575",1-2 Beds,"2047 Charlton St, Ann Arbor, MI 48103"
0,"$1,199 - 2,699",Studio - 4 Beds,"536 S Forest Ave, Ann Arbor, MI 48104"
0,"$1,383 - 2,112",1-3 Beds,"3180 Chelsea Cir, Ann Arbor, MI 48108"
0,"$1,705 - 3,990",1-3 Beds,"101 Lake Village Dr, Ann Arbor, MI 48103"
0,"$1,620 - 3,565",1-2 Beds,"2820 Windwood Dr, Ann Arbor, MI 48105"
0,"$1,365 - 3,140",Studio - 3 Beds,"2200 Fuller Ct, Ann Arbor, MI 48105"
0,"$1,734 - 3,041",1-2 Beds,"2225 Traverwood Dr, Ann Arbor, MI 48105"
0,"$1,759 - 2,804",1-5 Beds,"624 Church St, Ann Arbor, MI 48104"
0,"$1,925 - 3,910",Studio - 2 Beds,"960 Greene St, Ann Arbor, MI 48104"
0,"$1,995 - 4,995",Studio - 2 Beds,"414 S Main St, Ann Arbor, MI 48104"
0,"$1,279 - 1,599",1-2 Beds,"4141 Green Meadows Blvd, Ypsilanti, MI 48197"
0,"$1,430 - 2,105",1-3 Beds,"2021 Medford Rd, Ann Arbor, MI 48104"
0,"$1,850 - 4,150",1-2 Beds,"7405 Jackson Rd, Ann Arbor, MI 48103"
0,"$3,500 - 4,475",1-2 Beds,"401 W Oakbrook Dr, Ann Arbor, MI 48103"
0,"$1,925",2 Beds,"1529-1537 Pine Valley Blvd, Ann Arbor, MI 48104"
0,"$1,575 - 2,887",1-3 Beds,"545 Landings Blvd, Ann Arbor, MI 48103"
