,price,rooms,address
0,"$1,525 - 1,925",1-3 Beds,"888 Horizon Boulevard, Athens, GA 30606"
0,"$1,800 - 4,425",1-3 Beds,"755 E Broad St, Athens, GA 30601"
0,"$1,595 - 1,995",1-3 Beds,"355 The Preserve Dr, Athens, GA 30606"
0,Call for Rent,1-2 Beds,"180 Newton Bridge Rd, Athens, GA 30607"
0,"$999 - 1,400",1-3 Beds,"195 Sycamore Dr, Athens, GA 30606"
0,$420 - 594,2-4 Beds,"1000 Lakeside Dr, Athens, GA 30605"
0,"$1,364 - 2,135",Studio - 3 Beds,"100 Still Creek Ln, Athens, GA 30605"
0,"$1,550 - 1,610",2 Beds,"625 Highway 29, Athens, GA 30601"
0,"$1,598 - 3,402",1-3 Beds,"110 Addison Rd, Athens, GA 30606"
0,"$1,600 - 2,080",1-3 Beds,"157 Talley Crossing, Athens, GA 30601"
0,"$1,688 - 8,415",2-3 Beds,"805 Zelkova, Athens, GA 30606"
0,"$975 - 1,275",1-3 Beds,"235 Sycamore Dr, Athens, GA 30606"
0,"$1,065 - 1,420",1-3 Beds,"100 Ashley Cir, Athens, GA 30605"
0,"$999 - 1,595",Studio - 2 Beds,"175 Woodlake Pl, Athens, GA 30605"
0,"$1,380 - 1,934",1-2 Beds,"150 West Park Dr, Athens, GA 30606"
0,"$1,225",2 Beds,"700 Fourth St, Athens, GA 30601"
0,"$1,138 - 1,986",Studio - 4 Beds,"600 N Thomas St, Athens, GA 30601"
0,"$1,400 - 1,600",2 Beds,"232 Epps Bridge Rd, Athens, GA 30606"
0,$684 - 949,2-4 Beds,"110 International Dr, Athens, GA 30605"
0,"$885 - 1,367",1-3 Beds,"360 Piccadilly Sq, Athens, GA 30605"
0,"$929 - 1,579",Studio - 3 Beds,"130 Cole Manor Dr, Athens, GA 30606"
0,"$1,175",2 Beds,"122 N Bluff Rd, Athens, GA 30607"
0,"$1,175",2 Beds,"301 Highland Dr, Athens, GA 30605"
0,"$1,175 - 1,275",2-3 Beds,"160 Elkview Dr, Athens, GA 30607"
0,$499 - 525,4 Beds,"425 Riverbend Pky, Athens, GA 30605"
0,"$1,100 - 2,200",2-5 Beds,"303 Highland Park Dr, Athens, GA 30605"
0,"$1,392 - 1,932",1-3 Beds,"125 Jennings Mill Pky, Athens, GA 30606"
0,"$1,750 - 2,325",2 Beds,"150 The Preserve Dr, Athens, GA 30606"
0,"$1,695 - 2,220",1-2 Beds,"100 Prince Ave, Athens, GA 30601"
0,"$1,259 - 1,699",1-3 Beds,"592 Oconee St, Athens, GA 30605"
0,"$1,425 - 7,830",1-3 Beds,"355 Jennings Mill Pky, Athens, GA 30606"
0,"$1,203 - 5,903",1-3 Beds,"1287 Cedar Shoals Dr, Athens, GA 30605"
0,"$1,370 - 2,910",1-4 Beds,"150 W Broad St, Athens, GA 30601"
0,"$1,020 - 1,120",4 Beds,"805 E Broad St, Athens, GA 30601"
0,"$1,349 - 2,991",1-3 Beds,"700 Mitchell Bridge Rd, Athens, GA 30606"
0,"$1,150 - 1,250",2 Beds,"537 Fourth St, Athens, GA 30601"
0,"$1,550 - 2,400",1-3 Beds,"225 Jennings Mill Pky, Athens, GA 30606"
0,"$1,450 - 3,000",2-4 Beds,"490 Barnett Shoals Rd, Athens, GA 30605"
0,"$1,020 - 1,505",1-3 Beds,"205 Westchester Dr, Athens, GA 30606"
0,"$1,194 - 1,734",1-3 Beds,"105 Oak Hill Dr, Athens, GA 30601"
