,price,rooms,address
0,"$2,100 - 2,560",2-3 Beds,"28700 34th Ave S, Auburn, WA 98001"
0,"$1,995",2 Beds,"2220 Noble Ct SE, Auburn, WA 98092"
0,"$1,660 - 1,950",Studio - 2 Beds,"2 E Main St, Auburn, WA 98002"
0,"$1,560 - 2,375",1-3 Beds,"32200 Military Rd S, Federal Way, WA 98001"
0,"$1,325 - 1,625",Studio - 2 Beds,"1409 30th St SE, Auburn, WA 98002"
0,"$2,160",2 Beds,"17 S Division St, Auburn, WA 98001"
0,"$1,679 - 3,580",1-3 Beds,"802 45th St NE, Auburn, WA 98002"
0,"$1,530 - 4,810",1-3 Beds,"1433 8th St NE, Auburn, WA 98002"
0,"$1,345 - 2,214",Studio - 2 Beds,"703 47th St SE, Auburn, WA 98092"
0,"$999 - 1,468",1-2 Beds,"102 10th St NE, Auburn, WA 98002"
0,"$1,565 - 2,320",1-3 Beds,"27400 132nd Ave SE, Kent, WA 98042"
0,"$1,450 - 1,695",1 Bed,"2102 I St NE, Auburn, WA 98002"
0,"$2,123 - 3,936",1-3 Beds,"6821 Udall Pl SE, Auburn, WA 98092"
0,"$1,704 - 3,238",1-3 Beds,"7101 Lindsay Ave SE, Auburn, WA 98092"
0,"$1,450 - 1,995",1-2 Beds,"2901 S Auburn Way, Auburn, WA 98092"
0,"$2,250 - 2,800",2-3 Beds,"4702 S 302nd Ln, Auburn, WA 98001"
0,"$1,345 - 1,800",1-2 Beds,"1420 17th St SE, Auburn, WA 98002"
0,"$1,484 - 2,270",1-4 Beds,"4750 Auburn Way N, Auburn, WA 98002"
0,"$1,529 - 2,348",Studio - 4 Beds,"12722 SE 312th St SE, Auburn, WA 98092"
0,"$1,676 - 2,811",1-3 Beds,"345 Pacific Ave N, Pacific, WA 98047"
0,"$1,688 - 4,064",1-3 Beds,"4724 S 272nd St S, Kent, WA 98032"
