,price,rooms,address
0,"$1,796 - 2,457",1-2 Beds,"2800 Pontiac Dr, Aurora, IL 60502"
0,"$1,599 - 5,371",Studio - 2 Beds,"4450 Fox Valley Center Dr, Aurora, IL 60504"
0,"$1,706 - 3,808",Studio - 3 Beds,"28262 Diehl Rd, Warrenville, IL 60555"
0,"$1,646 - 2,166",1-2 Beds,"2000 Emblem Cir, Oswego, IL 60543"
0,"$1,610 - 2,285",1-2 Beds,"4101 Chesapeake Dr, Aurora, IL 60504"
0,"$1,652 - 2,355",1-2 Beds,"710 S Eola Rd, Aurora, IL 60504"
0,"$1,687 - 2,462",2 Beds,"2160 Walcott Rd, Aurora, IL 60504"
0,"$1,619 - 4,938",1-3 Beds,"3055 Riverbirch Dr, Aurora, IL 60502"
0,"$1,226 - 1,974",1-2 Beds,"826 Terrace Lake Dr, Aurora, IL 60504"
0,"$2,012 - 3,628",1-3 Beds,"675 Station Blvd, Aurora, IL 60504"
0,"$1,728 - 2,634",1-2 Beds,"245 N Oakhurst Dr, Aurora, IL 60504"
0,"$1,442 - 2,226",1-2 Beds,"1598 Fairway Dr, Naperville, IL 60563"
0,"$1,800 - 2,900",1-2 Beds,"504 Chamberlain Ln, Naperville, IL 60540"
0,"$1,744 - 2,504",1-2 Beds,"1647 Westminster Dr, Naperville, IL 60563"
0,"$1,809 - 4,892",1-2 Beds,"803 Corday Dr, Naperville, IL 60540"
0,"$1,785 - 4,400",1-3 Beds,"28294 Ferry Rd, Warrenville, IL 60555"
0,"$1,612 - 5,003",Studio - 3 Beds,"3S635 Everton Dr, Warrenville, IL 60555"
0,"$2,575 - 3,800",1-3 Beds,"1420 Diehl Rd, Naperville, IL 60563"
0,"$1,836 - 8,046",Studio - 2 Beds,"2132 City Gate Ln, Naperville, IL 60563"
0,"$1,850 - 2,850",1-3 Beds,"3223 111th St, Naperville, IL 60564"
0,"$1,806 - 3,625",1-3 Beds,"970 Fairway Dr, Naperville, IL 60563"
0,"$1,875 - 2,700",1-3 Beds,"1373 Ivy Ln, Naperville, IL 60563"
0,"$2,075 - 2,354",2 Beds,"168 Gregory St, Aurora, IL 60504"
0,"$1,858 - 2,322",1-2 Beds,"1812 Gowdey Rd, Naperville, IL 60563"
0,"$1,650 - 2,995",Studio - 3 Beds,"1780 W Orchard Rd, North Aurora, IL 60542"
0,"$949 - 1,350",Studio - 2 Beds,"834 Victoria Dr, Montgomery, IL 60538"
0,"$1,705 - 3,870",Studio - 3 Beds,"1016 Station Blvd, Aurora, IL 60504"
0,Call for Rent,2 Beds,"1241 Coffeeberry Ln, Aurora, IL 60506"
0,"$1,970 - 2,010",2 Beds,"2504 Bordeaux Ln, Naperville, IL 60540"
0,"$1,451 - 5,410",Studio - 3 Beds,"801 Fifth St, Oswego, IL 60543"
0,"$1,875 - 3,120",1-3 Beds,"2703 Showplace Dr, Naperville, IL 60564"
0,"$1,499 - 3,120",1-2 Beds,"701 Royal Saint George Dr, Naperville, IL 60563"
0,Call for Rent,2 Beds,"4203-4233 Pond Willow Rd, Naperville, IL 60564"
0,"$1,115 - 1,440",1-2 Beds,"844 Staghorn Ln, North Aurora, IL 60542"
0,"$1,524 - 3,717",1-2 Beds,"3750 E New York St, Aurora, IL 60504"
0,"$1,423 - 3,434",1-2 Beds,"1240 W Indian Trail Rd, Aurora, IL 60506"
0,"$1,206 - 1,513",2-3 Beds,"2074 Fox Pointe Cir, Aurora, IL 60504"
0,"$2,223 - 3,249",2-3 Beds,"1241 Ritter St, North Aurora, IL 60542"
0,"$1,497 - 2,732",1-2 Beds,"30W041 Flamenco Ct, Naperville, IL 60563"
0,"$1,614 - 2,597",1-2 Beds,"2288 Oakmeadow Dr, Aurora, IL 60502"
