,price,rooms,address
0,"$1,345 - 5,192",1-2 Beds,"3621 W Slaughter Ln, Austin, TX 78749"
0,"$909 - 4,898",1-3 Beds,"12118 Walnut Park Xing, Austin, TX 78753"
0,"$1,195 - 4,640",1-3 Beds,"7581 Chevy Chase Dr, Austin, TX 78752"
0,"$968 - 2,918",Studio - 2 Beds,"6600 Ed Bluestein Blvd, Austin, TX 78723"
0,"$1,870 - 4,810",Studio - 3 Beds,"51 Rainey St, Austin, TX 78701"
0,"$1,065 - 5,298",1-3 Beds,"2811 La Frontera Blvd, Austin, TX 78728"
0,"$1,145 - 3,133",1-3 Beds,"12300 Riata Trace Pky, Austin, TX 78727"
0,"$1,189 - 1,852",1-2 Beds,"10301 Farm-to-Market Rd 2222 Rd 2222, Austin, TX 78730"
0,"$1,324 - 1,624",2-4 Beds,"1300 Crossing Pl, Austin, TX 78741"
0,"$1,099 - 1,599",1-2 Beds,"8800 N Interstate 35, Austin, TX 78753"
0,"$1,199 - 3,099",Studio - 2 Beds,"4711 E Riverside Dr, Austin, TX 78741"
0,"$1,199 - 2,434",1-3 Beds,"10001 S 1st St, Austin, TX 78748"
0,"$1,146 - 1,994",1-3 Beds,"12041 Dessau Rd, Austin, TX 78754"
0,"$1,280 - 2,539",1-3 Beds,"13201 Legendary Dr, Austin, TX 78727"
0,"$1,245 - 2,055",1-3 Beds,"8200-8220 Research Blvd, Austin, TX 78758"
0,"$1,300 - 2,346",1-3 Beds,"4900 E Oltorf St, Austin, TX 78741"
0,"$1,099 - 1,674",Studio - 2 Beds,"3622 Menchaca Rd, Austin, TX 78704"
0,"$1,085 - 4,164",1-3 Beds,"10500 S IH 35 Frontage Rd, Austin, TX 78748"
0,"$1,349 - 7,909",Studio - 3 Beds,"110 Jacob Fontaine Lane, Austin, TX 78752"
0,"$1,609 - 7,552",1-2 Beds,"11009 Alterra Pky, Austin, TX 78758"
0,"$1,350 - 2,330",1-2 Beds,"2511 Montopolis Dr, Austin, TX 78741"
0,"$1,449 - 2,930",1-2 Beds,"12100 Archeleta Blvd, Austin, TX 78739"
0,"$2,186 - 17,282",Studio - 3 Beds,"303 W 5th St, Austin, TX 78701"
0,"$1,340 - 2,045",1-2 Beds,"14115 N Highway 183, Austin, TX 78717"
0,"$1,450 - 3,650",Studio - 2 Beds,"9127 Research Blvd, Austin, TX 78758"
0,"$1,485 - 3,360",Studio - 2 Beds,"10801 N Mopac Expy, Austin, TX 78759"
0,"$1,292 - 3,386",1-3 Beds,"12217 N Interstate 35, Austin, TX 78753"
0,"$1,460 - 2,345",Studio - 2 Beds,"1900 E Parmer Ln, Austin, TX 78754"
0,"$1,422 - 3,185",1-3 Beds,"5511 Caprock Smt Dr, Austin, TX 78738"
0,"$1,475 - 2,512",Studio - 2 Beds,"12210 Tech Ridge Blvd, Austin, TX 78753"
0,"$1,199 - 3,587",Studio - 3 Beds,"9225 N Lake Creek Pky, Austin, TX 78717"
0,"$1,127 - 3,227",Studio - 2 Beds,"12001 Heatherly Dr, Austin, TX 78747"
0,"$1,220 - 3,149",Studio - 3 Beds,"6007 N Interstate 35, Austin, TX 78723"
0,"$1,619 - 1,825",2-4 Beds,"1301 Crossing Pl, Austin, TX 78741"
0,"$1,806 - 5,295",Studio - 2 Beds,"1515 S Lamar Blvd, Austin, TX 78704"
0,"$1,259 - 4,069",1-3 Beds,"5417 S Mo Pac Expy S, Austin, TX 78749"
0,"$1,318 - 2,484",1-4 Beds,"4500 Steiner Ranch Blvd, Austin, TX 78732"
0,"$1,206 - 1,842",1-2 Beds,"2611 Bee Caves Rd, Austin, TX 78746"
0,"$1,198 - 4,053",1-3 Beds,"6263 McNeil Dr, Austin, TX 78729"
0,"$1,740 - 5,683",1-3 Beds,"3050 Tamarron Blvd, Austin, TX 78746"
