,price,rooms,address
0,"$1,485 - 2,329",1-3 Beds,"920 N Avondale Blvd, Avondale, AZ 85323"
0,"$1,575 - 2,425",1-3 Beds,"4747 N 99th Ave, Phoenix, AZ 85037"
0,"$1,645 - 2,739",1-2 Beds,"4343 S 103rd Ave, Tolleson, AZ 85353"
0,Call for Rent,1-3 Beds,"2121 N 99th Ave, Phoenix, AZ 85037"
0,"$1,360 - 2,155",1-3 Beds,"10350 W McDowell Rd, Avondale, AZ 85392"
0,"$1,290 - 2,485",1-3 Beds,"3800 N El Mirage Rd, Avondale, AZ 85392"
0,"$1,414 - 2,384",1-3 Beds,"2005 N 103rd Ave, Avondale, AZ 85392"
0,"$1,280 - 2,375",1-3 Beds,"11580 W Corporate Dr, Avondale, AZ 85323"
0,"$1,645 - 2,625",1-3 Beds,"11175 W Roosevelt Rd, Avondale, AZ 85323"
0,"$1,570 - 2,067",1-2 Beds,"1350 N 117th Ave, Avondale, AZ 85392"
0,"$1,300 - 2,226",1-3 Beds,"9330 W McDowell Rd, Phoenix, AZ 85037"
0,"$1,525 - 1,825",1-3 Beds,"620 N Litchfield Rd, Goodyear, AZ 85338"
0,"$1,349 - 2,115",1-3 Beds,"1891 N Litchfield Rd, Goodyear, AZ 85395"
0,"$1,344 - 2,302",1-2 Beds,"2500 S 99th Ave, Tolleson, AZ 85353"
0,"$1,448 - 2,636",1-2 Beds,"12350 W Camelback Rd, Litchfield Park, AZ 85340"
0,"$1,440 - 2,650",1-3 Beds,"3223 N Algodon Way, Phoenix, AZ 85037"
0,"$1,699 - 1,999",1-2 Beds,"9200 W McDowell Rd, Phoenix, AZ 85037"
0,"$1,470 - 2,450",1-3 Beds,"9802 W Van Buren St, Tolleson, AZ 85353"
0,"$1,510 - 2,670",1-3 Beds,"4411 N 99th Ave, Phoenix, AZ 85037"
0,"$1,565 - 2,265",1-3 Beds,"9573 W Roosevelt St, Tolleson, AZ 85353"
0,"$1,299 - 2,176",1-3 Beds,"12740 W Indian School Rd, Litchfield Park, AZ 85340"
0,"$1,108 - 6,277",1-3 Beds,"12175 W McDowell Rd, Avondale, AZ 85392"
0,"$1,053 - 1,806",1-3 Beds,"1408 N Central Ave, Avondale, AZ 85323"
0,"$1,699 - 1,918",2-3 Beds,"12721 W Buckeye Rd, Avondale, AZ 85323"
0,"$1,194 - 2,140",1-3 Beds,"1700 N 103rd Ave, Avondale, AZ 85392"
0,"$1,400 - 2,150",1-3 Beds,"11885 W McDowell Rd, Avondale, AZ 85392"
0,"$1,299 - 2,004",1-3 Beds,"13015 W Rancho Sante Fe Blvd, Avondale, AZ 85392"
0,Call for Rent,1-3 Beds,"105 N Links Dr, Avondale, AZ 85323"
0,"$950 - 2,085",Studio - 2 Beds,"1333 N Dysart Rd, Avondale, AZ 85323"
0,"$1,540 - 1,859",1-2 Beds,"5110 N 129th Ave, Litchfield Park, AZ 85340"
0,"$1,233 - 1,409",1-3 Beds,"1737 N Central Ave, Goodyear, AZ 85338"
0,"$1,470 - 5,480",1-3 Beds,"4410 N 99th Ave, Phoenix, AZ 85037"
0,"$1,175 - 3,130",1-3 Beds,"12115 W Van Buren St, Avondale, AZ 85323"
0,"$869 - 1,780",Studio - 2 Beds,"1204 N 91st Ave, Tolleson, AZ 85353"
0,"$2,148",1 Bed,"Avondale, AZ 85323"
0,"$2,597",2 Beds,"Litchfield Park, AZ 85340"
0,"$2,565",2 Beds,"Litchfield Park, AZ 85340"
0,"$2,528",2 Beds,"Litchfield Park, AZ 85340"
0,"$2,772",2 Beds,"Tolleson, AZ 85353"
