,price,rooms,address
0,"$1,195 - 2,895",Studio - 3 Beds,"300 W Fayette St, Baltimore, MD 21201"
0,"$1,600 - 4,200",Studio - 2 Beds,"3850 Boston St, Baltimore, MD 21224"
0,"$2,070 - 4,645",1-2 Beds,"2001 Aliceanna St, Baltimore, MD 21231"
0,"$1,801 - 3,670",Studio - 3 Beds,"2450 Rye St, Baltimore, MD 21230"
0,"$946 - 2,516",Studio - 2 Beds,"101 W Fayette St, Baltimore, MD 21201"
0,"$999 - 1,899",Studio - 2 Beds,"14 E Chase St, Baltimore, MD 21202"
0,"$1,195",2 Beds,"1307 Wildwood Pky, Baltimore, MD 21229"
0,"$1,270 - 1,901",1-2 Beds,"2022 Kelbourne Rd, Baltimore, MD 21237"
0,"$1,095 - 2,395",1-3 Beds,"1190 W Northern Pky, Baltimore, MD 21210"
0,"$850 - 1,305",1-2 Beds,"6004-6028 Amberwood Rd, Baltimore, MD 21206"
0,Call for Rent,1-3 Beds,"2349 Perring Manor Rd, Baltimore, MD 21234"
0,"$1,685 - 2,606",1-2 Beds,"611 S Charles St, Baltimore, MD 21230"
0,"$1,218 - 2,830",1-3 Beds,"6617 Bonnie Ridge Dr, Baltimore, MD 21209"
0,"$799 - 1,949",Studio - 4 Beds,"929 N Wolfe St, Baltimore, MD 21205"
0,"$1,160 - 1,505",2-4 Beds,"6306 Holly Ln, Baltimore, MD 21212"
0,"$1,148 - 1,557",Studio - 2 Beds,"6808 Milbrook Park Dr, Baltimore, MD 21215"
0,"$1,329 - 2,249",Studio - 3 Beds,"6906 Donachie Rd, Baltimore, MD 21239"
0,"$1,277 - 2,107",Studio - 2 Beds,"1111 Park Ave, Baltimore, MD 21201"
0,"$1,495 - 2,300",Studio - 1 Bed,"300 W Redwood St, Baltimore, MD 21201"
0,"$1,174 - 1,442",2 Beds,"1 Solar Cir, Parkville, MD 21234"
0,"$1,500 - 2,318",1-2 Beds,"9 E Mount Royal Ave, Baltimore, MD 21202"
0,"$1,275",1 Bed,"1517 EUTAW Pl, Baltimore, MD 21217"
0,"$1,775 - 3,325",1-2 Beds,"1211 S Eaton St, Baltimore, MD 21224"
0,"$1,686 - 4,720",Studio - 3 Beds,"555 President St, Baltimore, MD 21202"
0,"$1,790 - 3,950",1-3 Beds,"1800 S Hanover St, Baltimore, MD 21230"
0,"$1,313 - 1,854",Studio - 2 Beds,"725 W Pratt St, Baltimore, MD 21201"
0,"$1,004 - 4,016",Studio - 4 Beds,"3905 Bank St, Baltimore, MD 21224"
0,"$1,810 - 3,485",Studio - 2 Beds,"250 Mission Blvd, Baltimore, MD 21230"
0,"$1,460 - 1,690",Studio,"733 W Pratt St, Baltimore, MD 21201"
0,"$1,564 - 4,800",1-2 Beds,"421 S Broadway, Baltimore, MD 21231"
0,"$1,620 - 3,490",1-3 Beds,"560 Bayview Blvd, Baltimore, MD 21224"
0,"$1,103 - 3,800",Studio - 2 Beds,"1720 Saint Paul St, Baltimore, MD 21202"
0,"$1,600 - 4,285",Studio - 2 Beds,"2460 Terrapin Way, Baltimore, MD 21230"
0,"$1,399 - 2,099",Studio - 3 Beds,"121 S Fremont Ave, Baltimore, MD 21201"
0,"$1,560 - 1,975",1-3 Beds,"601 N Eutaw St, Baltimore, MD 21201"
0,"$1,346 - 3,911",Studio - 2 Beds,"500 Park Ave, Baltimore, MD 21201"
0,"$1,350 - 2,241",1 Bed,"111 W Centre St, Baltimore, MD 21201"
0,"$1,190 - 3,025",Studio - 3 Beds,"118 N Howard St, Baltimore, MD 21201"
0,"$1,211 - 1,968",1-2 Beds,"101 W Read St, Baltimore, MD 21201"
0,"$1,205 - 5,870",Studio - 3 Beds,"3501 St Paul St, Baltimore, MD 21218"
