,price,rooms,address
0,"$1,074 - 1,653",1-3 Beds,"10732 S Mall Dr, Baton Rouge, LA 70809"
0,"$740 - 1,249",1-2 Beds,"11070 Mead Rd, Baton Rouge, LA 70816"
0,"$399 - 1,596",Studio - 4 Beds,"5151 Highland Rd, Baton Rouge, LA 70808"
0,"$1,105 - 2,586",1-2 Beds,"10231 The Grove Blvd, Baton Rouge, LA 70836"
0,"$1,150 - 1,640",1-2 Beds,"5500 Perkins Rd, Baton Rouge, LA 70808"
0,"$1,099 - 1,850",1-2 Beds,"101 River House Pl, Baton Rouge, LA 70802"
0,"$1,254 - 3,343",1-3 Beds,"10201 Park Rowe Ave, Baton Rouge, LA 70810"
0,"$1,249 - 3,000",Studio - 3 Beds,"4850 Rouzan Square Ave, Baton Rouge, LA 70808"
0,"$1,318 - 2,896",1-3 Beds,"2500 Gates Cir, Baton Rouge, LA 70809"
0,"$1,050 - 1,300",1-2 Beds,"4747 Southpark Dr, Baton Rouge, LA 70816"
0,"$899 - 1,649",1-4 Beds,"16441 S Harrells Ferry Rd, Baton Rouge, LA 70816"
0,"$1,064 - 1,380",1-2 Beds,"2525 Oneal Ln, Baton Rouge, LA 70816"
0,"$1,195 - 1,715",1-2 Beds,"7250 Perkins Rd, Baton Rouge, LA 70808"
0,"$1,175 - 1,600",1-2 Beds,"6929 Commerce Cir, Baton Rouge, LA 70809"
0,"$810 - 1,710",1-3 Beds,"2100 College Dr, Baton Rouge, LA 70808"
0,"$1,195 - 1,767",1-3 Beds,"17505 Jefferson Hwy, Baton Rouge, LA 70817"
0,"$749 - 1,150",1-3 Beds,"1251 N Ardenwood Dr, Baton Rouge, LA 70806"
0,"$1,145 - 2,750",1-2 Beds,"10720 Linkwood Ct, Baton Rouge, LA 70810"
0,"$1,104 - 1,948",1-3 Beds,"11959 Nicholson Dr, Baton Rouge, LA 70810"
0,"$1,103 - 2,647",Studio - 3 Beds,"5010 Mancuso Ln, Baton Rouge, LA 70809"
0,"$1,020 - 2,425",1-3 Beds,"8001 Jefferson Hwy, Baton Rouge, LA 70809"
0,"$775 - 2,320",Studio - 3 Beds,"600 Wooddale Blvd, Baton Rouge, LA 70806"
0,"$945 - 2,580",1-3 Beds,"1680 O'neal Ln, Baton Rouge, LA 70816"
0,"$820 - 1,100",1-3 Beds,"11888 Longridge Dr, Baton Rouge, LA 70816"
0,"$1,271 - 3,908",1-3 Beds,"7857 Jefferson Hwy, Baton Rouge, LA 70809"
0,"$1,359 - 1,995",1-3 Beds,"16333 Columns Way, Baton Rouge, LA 70817"
0,"$1,075 - 2,082",1-3 Beds,"14150 Grand Settlement Blvd, Baton Rouge, LA 70818"
0,"$950 - 1,340",1-2 Beds,"5522 Corporate Blvd, Baton Rouge, LA 70808"
0,"$1,300 - 2,620",1-2 Beds,"8451 Picardy Ave, Baton Rouge, LA 70809"
0,"$923 - 1,125",1-3 Beds,"801 N Ardenwood Dr, Baton Rouge, LA 70806"
0,"$1,430 - 2,275",1-3 Beds,"10231 Bluebonnet Blvd, Baton Rouge, LA 70810"
0,"$765 - 1,095",1-2 Beds,"2136 N Lobdell Ave, Baton Rouge, LA 70806"
0,"$925 - 1,450",1-2 Beds,"10795 Mead Rd, Baton Rouge, LA 70816"
0,$495 - 700,2-4 Beds,"4600 Burbank Dr, Baton Rouge, LA 70820"
0,"$775 - 1,105",1-3 Beds,"11585 N Harrells Ferry Rd, Baton Rouge, LA 70816"
0,$705 - 985,1-3 Beds,"2080 N Lobdell Ave, Baton Rouge, LA 70806"
0,"$1,440 - 2,180",2-3 Beds,"7827 N Jefferson Place Cir, Baton Rouge, LA 70809"
0,"$991 - 4,556",1-3 Beds,"8008 Blue Bonnet Blvd, Baton Rouge, LA 70810"
0,"$700 - 1,350",Studio - 3 Beds,"4606 Ya Tittle Ave, Baton Rouge, LA 70820"
0,"$950 - 1,425",1-3 Beds,"15959 Tiger Bend Rd, Baton Rouge, LA 70817"
