,price,rooms,address
0,"$1,297 - 2,416",1-3 Beds,"1900 Kilgore Pky, Baytown, TX 77523"
0,"$1,330 - 2,255",1-3 Beds,"1831 S Hwy 146, La Porte, TX 77571"
0,"$1,160 - 2,295",1-3 Beds,"99 W Cedar Bayou Lynchburg Rd, Baytown, TX 77521"
0,"$1,199 - 2,255",1-3 Beds,"907 S Rd, Baytown, TX 77521"
0,"$1,127 - 1,308",Studio - 4 Beds,"1601 Garth Rd, Baytown, TX 77520"
0,"$956 - 1,541",2-3 Beds,"2500 E James St, Baytown, TX 77520"
0,"$703 - 1,649",1-3 Beds,"3400 Shady Hill Dr, Baytown, TX 77521"
0,"$885 - 1,389",1-3 Beds,"3300 Rollingbrook St, Baytown, TX 77521"
0,"$820 - 1,285",1-3 Beds,"2700 Ward Rd, Baytown, TX 77520"
0,"$1,209 - 1,750",1-2 Beds,"7447 Eastpoint Blvd, Baytown, TX 77521"
0,"$1,355 - 2,670",1-3 Beds,"3300 Bay Area Blvd, La Porte, TX 77571"
0,"$1,109 - 1,785",1-3 Beds,"1700 Rollingbrook Dr, Baytown, TX 77521"
0,"$983 - 1,349",1-3 Beds,"6033 Garth Rd, Baytown, TX 77521"
0,"$919 - 1,709",1-3 Beds,"2100 W Baker Rd, Baytown, TX 77521"
0,"$880 - 2,804",1-3 Beds,"619 Rollingbrook St, Baytown, TX 77521"
0,"$1,125 - 2,015",1-3 Beds,"3717 Emmet Hutto Blvd, Baytown, TX 77521"
0,"$845 - 1,050",1-2 Beds,"925 Northwood St, Baytown, TX 77521"
0,"$721 - 1,432",1-3 Beds,"1700 Bob Smith Rd, Baytown, TX 77521"
0,"$685 - 1,510",Studio - 3 Beds,"1711 James Bowie Dr, Baytown, TX 77520"
0,"$556 - 1,199",Studio - 3 Beds,"1200 Missouri St, Baytown, TX 77520"
0,"$880 - 1,251",1-3 Beds,"6900 N Main St, Baytown, TX 77521"
0,"$1,600 - 1,660",2-3 Beds,"7711 FM 3180 Rd, Mont Belvieu, TX 77523"
0,"$1,365 - 2,090",1-3 Beds,"10855 Eagle Dr, Mont Belvieu, TX 77523"
0,"$433 - 1,430",1-3 Beds,"2212 Dell Dale St, Houston, TX 77049"
0,"$990 - 1,240",1-2 Beds,"2105 Cedar Bayou Rd, Baytown, TX 77520"
0,"$1,181 - 3,922",1-3 Beds,"2200 W Baker Rd, Baytown, TX 77521"
0,"$850 - 1,599",1-2 Beds,"510 Williams Ave, Baytown, TX 77520"
0,"$1,040 - 1,780",1-3 Beds,"2800 W Baker Rd, Baytown, TX 77521"
0,"$799 - 1,400",1-3 Beds,"3201 Garth Rd, Baytown, TX 77521"
0,"$760 - 1,035",1-3 Beds,"4601 Quail Hollow Dr, Baytown, TX 77521"
0,"$780 - 1,070",1-2 Beds,"3403 Garth Rd, Baytown, TX 77521"
0,"$1,119 - 7,093",1-3 Beds,"1600 Santavy St, Baytown, TX 77521"
0,"$1,334 - 1,578",2-3 Beds,"2 Rodney Ln, Baytown, TX 77520"
0,"$1,174 - 1,824",1-2 Beds,"2100 Kilgore Pky, Baytown, TX 77523"
0,"$1,725 - 2,950",1-2 Beds,"10929 Eagle Dr, Mont Belvieu, TX 77523"
0,"$1,110 - 1,330",1-3 Beds,"700 FM 1942 Rd, Crosby, TX 77532"
0,"$1,129 - 1,630",1-3 Beds,"335 E San Augustine St, Deer Park, TX 77536"
0,"$1,069 - 1,599",1-2 Beds,"9999 Spencer Hwy, La Porte, TX 77571"
0,"$809 - 1,239",1-2 Beds,"1026 S 6th St, La Porte, TX 77571"
0,"$689 - 1,249",Studio - 2 Beds,"3030 Highway 146 S, La Porte, TX 77571"
