,price,rooms,address
0,"$750 - 1,375",1-3 Beds,"1280 Saxe St, Beaumont, TX 77705"
0,$900,1-2 Beds,"7050 Tx-105, Beaumont, TX 77708"
0,$800 - 900,2-3 Beds,"990 W Florida St, Beaumont, TX 77705"
0,"$875 - 1,050",1-2 Beds,"2005-2095 Dowlen Rd, Beaumont, TX 77706"
0,"$1,036 - 2,273",1-3 Beds,"4375 N Major Dr, Beaumont, TX 77713"
0,"$1,102 - 2,328",1-3 Beds,"4550 N Major Dr, Beaumont, TX 77713"
0,"$1,091 - 2,180",1-3 Beds,"5350 Old Dowlen Rd, Beaumont, TX 77706"
0,"$1,450",4 Beds,"5230 S Martin Luther King Pky, Beaumont, TX 77705"
0,$779,1 Bed,"125 Interstate 10 N, Beaumont, TX 77707"
0,"$1,000 - 1,365",1-4 Beds,"2020 Cottonwood St, Beaumont, TX 77703"
0,"$700 - 1,695",1-4 Beds,"4365 S 4th St, Beaumont, TX 77705"
0,"$728 - 1,095",1-3 Beds,"7390 Pindo Cir, Beaumont, TX 77708"
0,$725 - 950,1-2 Beds,"6210 Sienna Trl, Beaumont, TX 77708"
0,"$650 - 1,200",1-3 Beds,"3155 French Rd, Beaumont, TX 77706"
0,"$1,100 - 1,525",1-3 Beds,"7110 TX-105, Beaumont, TX 77708"
0,$720 - 950,1-2 Beds,"2345 Pecos St, Beaumont, TX 77702"
0,$875,2 Beds,"2275 Harrison St, Beaumont, TX 77701"
0,"$1,050 - 1,725",1-3 Beds,"1210-1215 Longfellow Dr, Beaumont, TX 77706"
0,"$996 - 1,401",1-2 Beds,"4215 N Major Dr, Beaumont, TX 77713"
0,"$960 - 1,475",1-3 Beds,"4630 Collier St, Beaumont, TX 77706"
0,"$927 - 1,664",1-2 Beds,"6155 Sienna Trails, Beaumont, TX 77708"
0,"$978 - 1,548",1-2 Beds,"4165 Old Dowlen Rd, Beaumont, TX 77706"
0,"$1,350",2 Beds,"6685 Lexington Dr, Beaumont, TX 77706"
0,"$898 - 1,398",1-3 Beds,"5776 Daniel Dr, Beaumont, TX 77705"
0,"$865 - 1,260",1-2 Beds,"2570 Sweetgum Ln, Beaumont, TX 77703"
0,"$799 - 1,087",1-3 Beds,"5015 Pine St, Beaumont, TX 77703"
0,"$780 - 1,225",1-3 Beds,"6550 Phelan Dr, Beaumont, TX 77706"
0,$715 - 755,1 Bed,"3565 Delaware St, Beaumont, TX 77706"
0,$725 - 995,1-2 Beds,"2755 Louisiana St, Beaumont, TX 77702"
0,$850,1 Bed,"4335 Crow Rd, Beaumont, TX 77706"
0,"$765 - 1,220",1-2 Beds,"4040 Crow Rd, Beaumont, TX 77706"
0,"$694 - 1,222",1-3 Beds,"6550 Lexington Dr, Beaumont, TX 77706"
0,$650 - 825,1 Bed,"1890 Mcfaddin Ave, Beaumont, TX 77701"
0,"$630 - 1,049",Studio - 2 Beds,"520 S Dowlen Rd, Beaumont, TX 77706"
0,"$802 - 1,970",1-3 Beds,"6120 Folsom Dr, Beaumont, TX 77706"
0,"$1,025 - 1,075",2 Beds,"2070-2080 Hazel Ave, Beaumont, TX 77701"
0,"$1,054 - 1,570",1-3 Beds,"3980 N Major Dr, Beaumont, TX 77713"
0,"$815 - 1,100",1-3 Beds,"3190 Eastex Fwy, Beaumont, TX 77703"
0,"$815 - 1,939",1-2 Beds,"3875 N Major Dr, Beaumont, TX 77713"
0,"$1,009 - 1,419",1-3 Beds,"3910 Treadway Rd, Beaumont, TX 77706"
