,price,rooms,address
0,"$1,595 - 2,515",Studio - 2 Beds,"14700 SW Rocket St, Beaverton, OR 97005"
0,"$1,516 - 3,586",Studio - 3 Beds,"12635 SW 172nd Ter, Beaverton, OR 97007"
0,"$1,360 - 2,390",Studio - 2 Beds,"1090 NE 91st Ave, Hillsboro, OR 97006"
0,"$1,642 - 2,880",1-3 Beds,"11835-11981 SW Center St, Beaverton, OR 97005"
0,"$1,613 - 4,887",1-2 Beds,"11103 SW Davies Rd, Beaverton, OR 97007"
0,"$1,785 - 4,362",1-3 Beds,"15195-15211 SW Walker Rd, Beaverton, OR 97006"
0,"$1,413 - 3,075",1-2 Beds,"11595 SW Center St, Beaverton, OR 97005"
0,"$1,807 - 3,907",1-4 Beds,"12920 SW Zigzag Ln, Beaverton, OR 97007"
0,Call for Rent,1-3 Beds,"875 SW 185th Ave, Beaverton, OR 97006"
0,"$1,785 - 2,504",1-3 Beds,"3750 SW 108th Ave, Beaverton, OR 97005"
0,"$1,813 - 2,707",1-3 Beds,"18300 NW Walker Rd, Beaverton, OR 97006"
0,"$1,710 - 2,420",1-3 Beds,"545 SW 201st Ave, Beaverton, OR 97006"
0,"$1,764 - 2,741",1-3 Beds,"10300 NE Evergreen Pky, Hillsboro, OR 97124"
0,"$1,340 - 2,164",Studio - 3 Beds,"4835 SW Oleson Rd, Portland, OR 97225"
0,"$1,550 - 1,699",Studio - 2 Beds,"5745 SW Oleson Rd, Portland, OR 97225"
0,"$1,790 - 2,650",Studio - 3 Beds,"1250 NE Compton Dr, Hillsboro, OR 97006"
0,"$1,559 - 2,114",1-3 Beds,"2053 NE 106th Ave, Hillsboro, OR 97124"
0,"$1,474 - 2,184",Studio - 2 Beds,"11700 SW Butner Rd, Portland, OR 97225"
0,"$1,637 - 6,346",1-3 Beds,"11601 SW Teal Blvd, Beaverton, OR 97007"
0,"$1,575 - 2,075",2-3 Beds,"17135-17245 SW Heritage Ct, Beaverton, OR 97006"
0,"$1,358 - 2,070",1-2 Beds,"3280 SW 170th Ave, Beaverton, OR 97006"
0,"$1,697 - 2,400",1-2 Beds,"15800 NW West Union Rd, Portland, OR 97229"
0,"$1,473",2 Beds,"3575 SW 174th Ave, Aloha, OR 97003"
0,"$1,610 - 2,220",1-3 Beds,"12230 SW Horizon Blvd, Beaverton, OR 97007"
0,"$1,913 - 4,630",1-3 Beds,"15290 SW Millikan Way, Beaverton, OR 97006"
0,"$1,699 - 10,000",Studio - 2 Beds,"12875 SW Crescent St, Beaverton, OR 97005"
0,"$1,625 - 2,820",Studio - 2 Beds,"4545 SW Angel Ave, Beaverton, OR 97005"
0,"$1,875",2-3 Beds,"12020-12275 SW Why Worry Ln, Beaverton, OR 97008"
0,"$1,606 - 2,679",1-3 Beds,"14300 SW Teal Blvd, Beaverton, OR 97008"
0,"$1,693 - 6,427",1-3 Beds,"600 NW 158Th Ave, Beaverton, OR 97006"
0,"$1,687 - 2,812",1-3 Beds,"15921 NW Brugger Rd, Beaverton, OR 97229"
0,"$1,475 - 1,940",1-2 Beds,"16201 NW Schendel Ave, Beaverton, OR 97006"
0,"$1,545 - 2,922",1-3 Beds,"14790 SW Scholls Ferry Rd, Beaverton, OR 97007"
0,"$1,420 - 2,085",1-2 Beds,"14595 SW Osprey Dr, Beaverton, OR 97007"
0,"$1,500 - 2,285",1-3 Beds,"12310 SW Center St, Beaverton, OR 97005"
0,"$1,604 - 1,699",1-3 Beds,"4200 SW 107th Ave, Beaverton, OR 97005"
0,"$1,525 - 2,099",1-2 Beds,"12015 SW Walden Ln, Beaverton, OR 97008"
0,"$1,343 - 3,374",Studio - 2 Beds,"1050 SW 160th Ave, Beaverton, OR 97006"
0,"$1,604 - 2,833",Studio - 3 Beds,"6300 SW 188th Ct, Beaverton, OR 97007"
0,"$3,725 - 7,250",Studio - 2 Beds,"1075 NE Amberglen Pky, Hillsboro, OR 97006"
