,price,rooms,address
0,"$1,615 - 2,750",Studio - 2 Beds,"1797 SW Chandler Ave, Bend, OR 97702"
0,"$1,695 - 2,465",1-3 Beds,"515 NE Aurora Ave, Bend, OR 97701"
0,"$1,840 - 2,775",1-3 Beds,"63190 Deschutes Market Rd, Bend, OR 97701"
0,"$1,649 - 5,272",Studio - 2 Beds,"954 SW Emkay Dr, Bend, OR 97702"
0,"$1,631 - 2,077",Studio - 2 Beds,"2001 NE Linnea Dr, Bend, OR 97701"
0,"$1,825 - 2,850",1-3 Beds,"643 NE Ross Rd, Bend, OR 97701"
0,"$1,995 - 2,450",2-3 Beds,"20750 Empire Ave, Bend, OR 97701"
0,"$1,696 - 2,199",1-2 Beds,"61560 Aaron Way, Bend, OR 97702"
0,"$1,100 - 1,250",1-2 Beds,"1567 NE Purcell Blvd, Bend, OR 97701"
0,"$1,995 - 2,095",1-2 Beds,"1855 NE Lotus Dr, Bend, OR 97701"
0,"$1,615 - 3,193",Studio - 2 Beds,"1609 SW Chandler Ave, Bend, OR 97702"
0,"$1,645 - 2,843",1-2 Beds,"3001 NW Clearwater Dr, Bend, OR 97703"
0,"$1,815 - 2,045",Studio - 2 Beds,"801 SW Bradbury Way, Bend, OR 97702"
0,"$1,675 - 2,265",1-3 Beds,"2333 NE Holliday Ave, Bend, OR 97701"
0,"$1,800",2 Beds,"339 SE Reed Market Rd, Bend, OR 97702"
0,"$1,550 - 2,150",1-3 Beds,"2020 NE Linnea Dr, Bend, OR 97701"
0,"$1,600 - 1,785",2 Beds,"900 NE Warner Pl, Bend, OR 97701"
0,"$1,495 - 2,145",Studio - 2 Beds,"210 SW Century Dr, Bend, OR 97702"
0,"$1,600 - 1,895",2 Beds,"2600 NE Forum Dr, Bend, OR 97701"
0,"$1,125 - 1,680",1-2 Beds,"61354 Blakely Rd, Bend, OR 97702"
0,"$2,890",2 Beds,"Bend, OR 97702"
