,price,rooms,address
0,"$1,499 - 3,099",1-3 Beds,"7273 Cahaba Valley Rd, Birmingham, AL 35242"
0,"$1,100 - 2,600",Studio - 3 Beds,"2901 4th Ave S, Birmingham, AL 35233"
0,"$1,215 - 3,588",1-3 Beds,"2900 7th Ave S, Birmingham, AL 35233"
0,"$945 - 2,223",Studio - 1 Bed,"2021 10th Ave S, Birmingham, AL 35205"
0,"$1,430 - 2,346",1-2 Beds,"2173 Highland Ave S, Birmingham, AL 35205"
0,"$995 - 1,827",1-3 Beds,"2000 Colony Park Dr, Birmingham, AL 35243"
0,"$1,115 - 2,380",Studio - 2 Beds,"2000 2nd Ave S, Birmingham, AL 35233"
0,"$1,355 - 5,518",1-3 Beds,"600 19th St N, Birmingham, AL 35203"
0,"$1,464 - 2,684",1-3 Beds,"100 Wildwood Ct, Birmingham, AL 35209"
0,"$1,379 - 2,827",Studio - 2 Beds,"3090 Highway 280, Birmingham, AL 35243"
0,"$1,419 - 3,374",Studio - 3 Beds,"3560 Grandview Pky, Birmingham, AL 35243"
0,"$925 - 1,200",1-2 Beds,"3 Greenhill Pky, Birmingham, AL 35242"
0,"$1,775 - 3,600",1-3 Beds,"120 Whitby Ln, Birmingham, AL 35242"
0,"$899 - 1,772",1-3 Beds,"915 Valley Ridge Dr, Homewood, AL 35209"
0,"$1,200 - 2,650",1-3 Beds,"3450 Manor Dr, Homewood, AL 35209"
0,"$1,365 - 2,816",1-3 Beds,"101 Moretti Cir, Homewood, AL 35209"
0,"$1,025",Studio,"300 18th St S, Birmingham, AL 35233"
0,"$973 - 2,938",1-2 Beds,"One Eagle Ridge Dr, Birmingham, AL 35242"
0,"$1,395 - 1,855",1-3 Beds,"50 Cahaba River Parc, Birmingham, AL 35243"
0,"$823 - 3,695",1-3 Beds,"3100 Heatherbrook Rd, Birmingham, AL 35242"
0,"$1,199 - 1,739",1-2 Beds,"2808 7th Ave S, Birmingham, AL 35233"
0,"$999 - 1,199",1-2 Beds,"1623 2nd Ave N, Birmingham, AL 35203"
0,"$795 - 1,250",1-3 Beds,"2149 Emerald Pointe Dr, Birmingham, AL 35216"
0,"$713 - 1,210",1-2 Beds,"4501 Old Caldwell Mill Rd, Birmingham, AL 35242"
0,"$1,175 - 1,405",1-2 Beds,"1 Turtle Lake Dr, Birmingham, AL 35242"
0,"$851 - 1,494",1-3 Beds,"200 Springs Ave, Birmingham, AL 35242"
0,"$998 - 2,896",Studio - 3 Beds,"7278 Cahaba Valley Rd, Birmingham, AL 35242"
0,"$1,139 - 1,869",1-3 Beds,"901 Old Forest Rd, Birmingham, AL 35243"
0,"$884 - 3,417",Studio - 3 Beds,"901 Wildwood Crossing, Birmingham, AL 35211"
0,"$820 - 1,319",1-2 Beds,"316 Beacon Crest Ln, Birmingham, AL 35209"
0,"$900 - 1,655",1-3 Beds,"3741 Chestnut Ridge Ln, Birmingham, AL 35216"
0,"$1,251 - 2,295",1-3 Beds,"3251 Overton Rd, Birmingham, AL 35223"
0,"$1,240 - 1,725",1-3 Beds,"1200 Oaks Dr, Birmingham, AL 35209"
0,"$925 - 1,685",Studio - 3 Beds,"779 Woodmere Creek Dr, Birmingham, AL 35226"
0,"$1,349 - 2,044",1-3 Beds,"1 Lake Heather Reserve, Birmingham, AL 35242"
0,"$1,417 - 1,905",1-3 Beds,"2801 Riverview Rd, Birmingham, AL 35242"
0,"$1,378 - 5,538",1-3 Beds,"1750 Bartholdi Pky, Birmingham, AL 35242"
0,"$711 - 2,149",1-3 Beds,"4252 3rd Ave S, Birmingham, AL 35222"
0,"$1,030 - 1,100",Studio - 2 Beds,"951 18th St S, Birmingham, AL 35205"
0,"$1,336 - 3,878",1-3 Beds,"201 Retreat Dr, Birmingham, AL 35242"
