,price,rooms,address
0,"$1,495 - 3,200",Studio - 3 Beds,"3469 S Old Hickory Way, Boise, ID 83716"
0,"$1,429 - 1,998",1-3 Beds,"12000 W Fairview Ave, Boise, ID 83713"
0,"$909 - 2,459",Studio - 4 Beds,"250 E Myrtle St, Boise, ID 83702"
0,"$1,850",2 Beds,"597 N Maple Grove Rd, Boise, ID 83704"
0,"$1,300 - 5,330",Studio - 2 Beds,"521 E 41st St, Garden City, ID 83714"
0,"$1,310 - 1,849",Studio - 2 Beds,"1066 S Silverstone Way, Meridian, ID 83642"
0,"$1,550 - 1,950",1-2 Beds,"5510-5518 W Franklin Rd, Boise, ID 83705"
0,"$1,425",2 Beds,"7501 W Florence Ln, Boise, ID 83704"
0,"$1,325 - 1,965",1-2 Beds,"6240 N Park Meadow Way, Boise, ID 83713"
0,"$1,395 - 2,200",1-3 Beds,"8448 W Limelight St, Boise, ID 83714"
0,"$1,260 - 1,676",1-2 Beds,"985 N Maple G..., Boise, ID 83704"
0,"$1,550 - 2,000",1-2 Beds,"173 E Mallard Dr, Boise, ID 83706"
0,"$1,471 - 2,475",1-3 Beds,"1618 S Loggers Pond Pl, Boise, ID 83706"
0,"$1,250 - 1,799",1-2 Beds,"1105 N Liberty St, Boise, ID 83704"
0,"$1,499 - 1,550",2 Beds,"9130-9198 W Irving St, Boise, ID 83704"
0,"$1,399 - 2,400",1-2 Beds,"501 E Parkcenter Blvd, Boise, ID 83706"
0,"$1,389 - 4,764",1-4 Beds,"7570 W State St, Boise, ID 83714"
0,"$1,525 - 2,675",1-3 Beds,"2964 E Parkcenter Blvd, Boise, ID 83716"
0,"$1,610 - 2,447",1-3 Beds,"2001 S Hudson Ave, Boise, ID 83705"
0,"$1,900",2 Beds,"4500 N Carlsbad Way, Boise, ID 83703"
0,"$1,499 - 1,999",1-2 Beds,"8255 W Limelight St, Boise, ID 83714"
0,"$1,265 - 1,965",Studio - 3 Beds,"13450 W Baldcypress St, Boise, ID 83713"
0,"$1,426 - 1,977",1-2 Beds,"901 N 27th St, Boise, ID 83702"
0,"$1,575 - 2,990",Studio - 2 Beds,"1250 S Division Ave, Boise, ID 83706"
0,"$1,496 - 2,190",1-2 Beds,"4107 E Overland Rd, Meridian, ID 83642"
0,"$1,456 - 3,297",1-3 Beds,"2411 E Riverside Dr, Eagle, ID 83616"
0,"$1,550 - 2,055",1-3 Beds,"2651 N Records Ave, Meridian, ID 83646"
0,"$1,695 - 2,195",1-3 Beds,"1711 S Movado Way, Meridian, ID 83642"
0,"$2,335 - 2,990",3-4 Beds,"8875 W State St, Garden City, ID 83714"
0,"$1,326 - 2,196",Studio - 2 Beds,"749 E Park Blvd, Boise, ID 83712"
0,"$1,358 - 2,619",Studio - 2 Beds,"512 W Grove St, Boise, ID 83702"
0,"$1,295 - 1,825",1-2 Beds,"485 E 50th St, Boise, ID 83714"
0,"$1,290 - 2,295",Studio - 2 Beds,"4220 Adams St, Garden City, ID 83714"
0,"$1,450 - 2,100",1-2 Beds,"6230 W State St, Boise, ID 83703"
0,"$1,536 - 2,320",Studio - 2 Beds,"505 W Idaho St, Boise, ID 83702"
0,"$1,395 - 2,075",1-3 Beds,"3020 N Christine St, Boise, ID 83704"
0,"$1,486 - 2,119",1-2 Beds,"3504 N Whistler Ln, Boise, ID 83703"
0,"$1,375 - 1,700",1 Bed,"1109 W Main St, BOISE, ID 83702"
0,"$1,195 - 1,470",Studio - 1 Bed,"1019 W Main St, Boise, ID 83702"
0,"$1,275 - 3,000",1-3 Beds,"8519 W Fairview Ave, Boise, ID 83704"
