,price,rooms,address
0,"$2,780 - 6,390",Studio - 3 Beds,"235 Old Colony Ave, Boston, MA 02127"
0,"$3,142 - 5,495",Studio - 3 Beds,"35-43 Braintree St, Boston, MA 02134"
0,"$3,428 - 15,479",Studio - 3 Beds,"180 Brookline Ave, Boston, MA 02215"
0,"$4,367 - 16,915",1-3 Beds,"1330 Boylston St, Boston, MA 02215"
0,"$3,809 - 18,275",Studio - 2 Beds,"1335 Boylston St, Boston, MA 02215"
0,"$3,422 - 14,056",Studio - 2 Beds,"200 Brookline Ave, Boston, MA 02215"
0,"$3,195 - 5,450",Studio - 2 Beds,"221 Massachusetts Ave, Boston, MA 02115"
0,"$3,000 - 4,300",Studio - 2 Beds,"201 S Huntington Ave, Boston, MA 02130"
0,"$2,904 - 7,960",Studio - 3 Beds,"89 E Dedham St, Boston, MA 02118"
0,"$4,240 - 22,510",Studio - 3 Beds,"212 Stuart St, Boston, MA 02116"
0,"$2,600 - 4,965",Studio - 3 Beds,"1211 Dorchester Ave, Boston, MA 02125"
0,"$2,935 - 6,792",Studio - 3 Beds,"301 Guest St, Allston, MA 02134"
0,"$3,090 - 5,025",Studio - 3 Beds,"10 Innerbelt Rd, Somerville, MA 02143"
0,"$2,380 - 3,989",Studio - 2 Beds,"255 Vale St, Chelsea, MA 02150"
0,"$3,105 - 4,525",1-2 Beds,"1 Hancock Village Dr, Chestnut Hill, MA 02467"
0,"$2,967 - 13,243",Studio - 3 Beds,"219 Western Ave, Allston, MA 02134"
0,"$2,700 - 7,489",Studio - 4 Beds,"175 Washington St, Brighton, MA 02135"
0,"$2,805 - 9,425",Studio - 3 Beds,"151 N First St, Cambridge, MA 02141"
0,"$2,325 - 4,125",Studio - 2 Beds,"101 Mill Rd, Everett, MA 02149"
0,"$2,599 - 3,545",Studio - 2 Beds,"250 Vale St, Chelsea, MA 02150"
0,"$2,125 - 3,525",Studio - 2 Beds,"484 2nd St, Everett, MA 02149"
0,"$2,480 - 4,467",Studio - 2 Beds,"780 Morrissey Blvd, Dorchester, MA 02122"
0,"$3,150 - 5,855",Studio - 2 Beds,"1260 Boylston St, Boston, MA 02215"
0,"$2,427 - 11,526",Studio - 2 Beds,"144 Addison St, Boston, MA 02128"
0,"$2,944 - 7,597",Studio - 3 Beds,"345 Harrison Ave, Boston, MA 02118"
0,"$3,575 - 11,347",Studio - 3 Beds,"1350 Boylston St, Boston, MA 02215"
0,"$3,099 - 9,244",Studio - 3 Beds,"100 Pier 4 Blvd, Boston, MA 02210"
0,"$3,434 - 13,000",Studio - 3 Beds,"131 Seaport Blvd, Boston, MA 02210"
0,"$2,685 - 7,080",Studio - 3 Beds,"1 Emerson Pl, Boston, MA 02114"
0,"$3,061 - 8,503",Studio - 2 Beds,"50 W West B..., Boston, MA 02127"
0,"$3,205 - 8,932",Studio - 3 Beds,"1 Park Ln, Boston, MA 02210"
0,"$3,556 - 15,829",Studio - 3 Beds,"50 Causeway St, Boston, MA 02114"
0,"$3,087 - 12,108",Studio - 3 Beds,"899 Congress St, Boston, MA 02210"
0,"$2,735 - 3,460",Studio - 2 Beds,"320-326 D St, Boston, MA 02127"
0,"$3,210 - 7,470",Studio - 2 Beds,"36 Lomasney Way, Boston, MA 02114"
0,"$3,911 - 7,225",1-3 Beds,"32-32 Garrison St, Boston, MA 02116"
0,"$2,575 - 7,885",Studio - 3 Beds,"5 Longfellow Pl, Boston, MA 02114"
0,"$2,150 - 3,200",Studio - 1 Bed,"62 Boylston St, Boston, MA 02116"
0,"$3,345 - 7,995",Studio - 3 Beds,"100 Sudbury St, Boston, MA 02114"
0,"$2,610 - 5,850",Studio - 2 Beds,"55 Traveler St, Boston, MA 02118"
