,price,rooms,address
0,"$2,423 - 9,396",Studio - 3 Beds,"3000 Pearl Pky, Boulder, CO 80301"
0,"$1,799 - 7,828",Studio - 4 Beds,"4730-4790 Broadway, Boulder, CO 80304"
0,"$2,150 - 3,150",Studio - 2 Beds,"5801-5847 Arapahoe Ave, Boulder, CO 80303"
0,"$1,395 - 1,595",1-2 Beds,"704-710 Mohawk Dr, Boulder, CO 80303"
0,"$1,428 - 4,610",Studio - 2 Beds,"5510 Spine Rd, Boulder, CO 80301"
0,"$1,921 - 7,251",1-2 Beds,"4970 Meredith Way, Boulder, CO 80303"
0,"$2,239 - 9,526",1-2 Beds,"1955 30th St, Boulder, CO 80301"
0,"$1,793 - 8,062",Studio - 3 Beds,"3303 Bluff St, Boulder, CO 80301"
0,"$2,616 - 6,929",1-3 Beds,"1707 Walnut St, Boulder, CO 80302"
0,"$1,869 - 2,078",Studio - 2 Beds,"6655 Lookout Rd, Boulder, CO 80301"
0,"$2,000 - 4,148",Studio - 3 Beds,"1590 Eisenhower Dr, Boulder, CO 80303"
0,"$1,701 - 5,086",1-2 Beds,"4560 13th St, Boulder, CO 80304"
0,"$2,200 - 7,995",Studio - 4 Beds,"1750 15th St, Boulder, CO 80302"
0,"$1,762 - 2,220",1-2 Beds,"4920 Thunderbird Cir, Boulder, CO 80303"
0,"$2,092 - 3,167",Studio - 2 Beds,"3100 Pearl St, Boulder, CO 80301"
0,"$4,400",4 Beds,"2110 Grove Cir, Boulder, CO 80302"
0,"$1,509 - 2,539",Studio - 3 Beds,"5131 Williams Fork Trl, Boulder, CO 80301"
0,"$1,895 - 2,025",2 Beds,"1515 Broadway St, Boulder, CO 80302"
0,"$1,850 - 1,895",2 Beds,"1838 23rd St, Boulder, CO 80302"
0,"$1,450 - 2,775",1-3 Beds,"1025 Adams Cir, Boulder, CO 80303"
0,"$1,210 - 1,747",1-3 Beds,"4990 Osage Dr, Boulder, CO 80303"
0,"$1,780 - 2,700",Studio - 3 Beds,"2121 Canyon Blvd, Boulder, CO 80302"
0,"$1,685 - 2,085",1-2 Beds,"4977 Moorhead Ave, Boulder, CO 80305"
0,"$1,489 - 2,706",Studio - 2 Beds,"2995-2995 Glenwood Dr, Boulder, CO 80301"
0,"$1,909 - 2,550",Studio - 2 Beds,"3455 Table Mesa Dr, Boulder, CO 80305"
0,"$2,765 - 2,945",2-3 Beds,"3701 Paseo del Prado, Boulder, CO 80301"
0,"$2,470",2 Beds,"4500-4530 Laguna Pl, Boulder, CO 80303"
0,"$3,150 - 3,765",3 Beds,"865 30th St, Boulder, CO 80303"
0,"$1,740 - 3,540",Studio - 3 Beds,"635 Mohawk Dr, Boulder, CO 80303"
0,"$1,834 - 4,044",Studio - 2 Beds,"3773 Canfield St, Boulder, CO 80301"
0,"$2,356 - 9,018",1-3 Beds,"3200 Bluff St, Boulder, CO 80301"
0,"$1,750 - 2,700",Studio - 2 Beds,"2000 Walnut St, Boulder, CO 80302"
0,"$1,650",1 Bed,"Boulder, CO 80302"
0,"$1,550 - 1,900",1-2 Beds,"701 Arapahoe Ave, Boulder, CO 80302"
0,"$1,525 - 1,800",3-4 Beds,"950 28th St, Boulder, CO 80303"
0,"$1,400 - 1,875",2-4 Beds,"900 28th St, Boulder, CO 80303"
0,"$1,640 - 2,930",Studio - 3 Beds,"970 28th St, Boulder, CO 80303"
0,"$1,494",1 Bed,"3705 Canfield St, Boulder, CO 80301"
0,"$1,494 - 1,794",1-2 Beds,"2665-2805 28th St, Boulder, CO 80301"
0,"$1,440 - 2,195",1-3 Beds,"2726 Moorhead Ave, Boulder, CO 80305"
