,price,rooms,address
0,"$1,283 - 2,514",Studio - 2 Beds,"5401 94th Ave N, Brooklyn Park, MN 55443"
0,"$1,450 - 1,985",Studio - 3 Beds,"8617 Edinbrook Xing, Brooklyn Park, MN 55443"
0,$950 - 975,1 Bed,"5805 73rd Ave N, Brooklyn Park, MN 55429"
0,"$830 - 1,710",1-2 Beds,"5840 73rd Ave N, Brooklyn Park, MN 55429"
0,"$1,139 - 2,786",Studio - 3 Beds,"6060 Main St NE, Fridley, MN 55432"
0,"$1,153 - 2,061",Studio - 2 Beds,"6000 Main St NE, Fridley, MN 55432"
0,"$954 - 1,740",1-3 Beds,"8500-8516 63rd Ave N, Minneapolis, MN 55428"
0,"$965 - 1,965",1-2 Beds,"5750 E River Rd, Fridley, MN 55432"
0,"$1,192 - 3,280",Studio - 3 Beds,"6051 University Ave, Fridley, MN 55432"
0,"$1,575 - 3,070",Studio - 3 Beds,"8400 Bass Lake Rd, New Hope, MN 55428"
0,"$1,440 - 1,730",1-2 Beds,"7020-7050 Magda Dr, Maple Grove, MN 55369"
0,"$1,325 - 2,075",Studio - 2 Beds,"5055 N 96th Ave, Brooklyn Park, MN 55443"
0,"$999 - 1,395",1-2 Beds,"8104 Zane Ave, Brooklyn Park, MN 55443"
0,$980 - 995,1 Bed,"6232 65th Ave N, Brooklyn Park, MN 55429"
0,"$1,387 - 3,403",Studio - 3 Beds,"20 6th St NW, Osseo, MN 55369"
0,"$1,079",1 Bed,"7015 Brooklyn Blvd, Brooklyn Center, MN 55429"
0,"$1,015 - 1,405",1-2 Beds,"6200 78th Ave N, Minneapolis, MN 55443"
0,"$1,225 - 1,555",1-3 Beds,"5625 Boone Ave N, Minneapolis, MN 55428"
0,"$1,139 - 1,539",1-2 Beds,"6401-6401 Camden Ave N, Brooklyn Center, MN 55430"
0,Call for Rent,3 Beds,"6740 Grimes Pl, Brooklyn Center, MN 55429"
0,"$995 - 1,430",1-2 Beds,"7779-7899 University Ave NE, Spring Lake Park, MN 55432"
0,"$1,039",1 Bed,"6511 Humboldt Ave N, Brooklyn Center, MN 55430"
0,"$1,214 - 2,325",Studio - 3 Beds,"6530 University Ave NE, Fridley, MN 55432"
0,"$1,230 - 1,635",1-2 Beds,"5700 73rd Ave N, Brooklyn Park, MN 55429"
0,"$1,319",2 Beds,"6390-6402 Douglas Dr N, Brooklyn Park, MN 55429"
0,"$1,075 - 1,635",1-3 Beds,"6455 Zane Ave N, Brooklyn Park, MN 55429"
0,"$1,249 - 9,446",1-3 Beds,"6717 Oak Grove Pkwy, Brooklyn Park, MN 55445"
0,$995,1 Bed,"5601 69th Ave N, Brooklyn Park, MN 55429"
0,"$1,089 - 1,319",1-2 Beds,"7521 Jersey Ave N, Brooklyn Park, MN 55428"
0,"$925 - 1,250",1-2 Beds,"8302-8316 Zane Ave N, Brooklyn Park, MN 55443"
0,"$1,060 - 1,435",1-3 Beds,"6624 W Broadway Ave, Brooklyn Park, MN 55428"
0,"$905 - 1,325",1-2 Beds,"7870 Zane Ave N, Brooklyn Park, MN 55443"
0,"$1,029 - 1,629",1-3 Beds,"8447 Regent Ave N, Brooklyn Park, MN 55443"
0,"$1,069 - 1,309",1-2 Beds,"3907-3911 65th Ave N, Minneapolis, MN 55429"
0,"$1,550 - 2,299",1-3 Beds,"10000 59th Ave N, Plymouth, MN 55442"
0,"$1,070 - 1,905",1-2 Beds,"1410 100th Ave NW, Coon Rapids, MN 55433"
0,"$1,329",2 Beds,"7136 60th Ave N, New Hope, MN 55428"
0,$995,1 Bed,"5700 Boone Ave N, New Hope, MN 55428"
0,"$1,650 - 1,775",3 Beds,"700-890 66th Ave N, Brooklyn Center, MN 55430"
0,"$1,125 - 1,795",1-3 Beds,"5716 Winnetka Ave N, Minneapolis, MN 55428"
