,price,rooms,address
0,"$2,999 - 5,200",1-4 Beds,"1901 N Buena Vista St, Burbank, CA 91504"
0,"$2,650 - 2,855",1 Bed,"10555 Bloomfield St, Toluca Lake, CA 91602"
0,"$2,427 - 4,220",Studio - 3 Beds,"11059 McCormick St, North Hollywood, CA 91601"
0,"$1,404 - 6,950",Studio - 3 Beds,"325 N First St, Burbank, CA 91502"
0,"$2,825 - 4,025",Studio - 3 Beds,"350 S San Fernando Blvd, Burbank, CA 91502"
0,"$2,045 - 4,495",Studio - 1 Bed,"1200 W Riverside Dr, Burbank, CA 91506"
0,"$1,742 - 4,205",Studio - 3 Beds,"401 N Pass Ave, Burbank, CA 91505"
0,"$3,996 - 9,684",1-3 Beds,"3425 W Olive Ave, Burbank, CA 91505"
0,"$2,325 - 4,265",Studio - 2 Beds,"5115 N Lankershim Blvd, North Hollywood, CA 91601"
0,"$2,495 - 3,755",1-2 Beds,"11011 Huston St, North Hollywood, CA 91601"
0,"$2,351 - 5,741",1-2 Beds,"4605 Cahuenga Blvd, Toluca Lake, CA 91602"
0,"$1,925 - 2,500",Studio,"5355 Cartwright Ave, North Hollywood, CA 91601"
0,"$3,059 - 8,764",2-3 Beds,"10407 Magnolia Blvd, North Hollywood, CA 91601"
0,"$1,920 - 3,490",Studio - 2 Beds,"3600 Barham Blvd, Los Angeles, CA 90068"
0,"$3,381 - 7,041",1-2 Beds,"4636 Cahuenga Blvd, North Hollywood, CA 91602"
0,"$2,495 - 4,850",1-3 Beds,"11110 Hartsook St, North Hollywood, CA 91601"
0,"$2,105 - 3,681",1-3 Beds,"11047 Otsego St, North Hollywood, CA 91601"
0,"$2,145 - 2,250",Studio - 3 Beds,"1731 Rogers Pl, Burbank, CA 91504"
0,"$2,368 - 3,573",Studio - 2 Beds,"316 N Maple St, Burbank, CA 91505"
0,"$2,950 - 3,000",2 Beds,"10916 Peachgrove St, North Hollywood, CA 91601"
0,"$2,750 - 2,800",2 Beds,"10834 Blix St, Toluca Lake, CA 91602"
0,"$2,550",1 Bed,"5536 Fulcher Ave, North Hollywood, CA 91601"
0,"$2,650 - 3,650",1-2 Beds,"1407 W Glenoaks Blvd, Glendale, CA 91201"
0,"$1,999 - 2,099",1 Bed,"415 E Cedar Ave, Burbank, CA 91501"
0,"$2,495",1 Bed,"520 E Magnolia Blvd, Burbank, CA 91501"
0,"$2,695 - 2,995",1-2 Beds,"1171 Allen Ave, Glendale, CA 91201"
0,"$3,250 - 3,650",2 Beds,"10620 Whipple St, Toluca Lake, CA 91602"
0,"$2,745 - 2,795",2 Beds,"10930 Otsego St, North Hollywood, CA 91601"
0,"$2,695 - 2,780",1-2 Beds,"10740 Blix St, North Hollywood, CA 91602"
0,"$1,995 - 2,195",1 Bed,"5331 Cahuenga Blvd, North Hollywood, CA 91601"
0,"$2,046 - 5,000",Studio - 3 Beds,"311 N Buena Vista St, Burbank, CA 91505"
0,"$2,844 - 3,350",1-2 Beds,"521 E Palm Ave, Burbank, CA 91501"
0,Call for Rent,1-2 Beds,"2908 W Victory Blvd, Burbank, CA 91505"
0,"$2,625 - 2,750",2 Beds,"2700 W Victory Blvd, Burbank, CA 91505"
0,"$2,528 - 8,111",1-2 Beds,"333 Andover Dr, Burbank, CA 91504"
0,"$2,601 - 3,718",1-2 Beds,"1800 Grismer Ave, Burbank, CA 91504"
0,"$2,595 - 2,695",2 Beds,"225 W Verdugo Ave, Burbank, CA 91502"
0,"$2,860 - 6,380",1-3 Beds,"600 E Olive Ave, Burbank, CA 91501"
0,"$2,050 - 2,250",1 Bed,"300 E Tujunga, Burbank, CA 91502"
0,"$2,867 - 3,450",Studio - 2 Beds,"525 E Magnolia Blvd, Burbank, CA 91501"
