,price,rooms,address
0,"$2,495 - 3,474",1-2 Beds,"2000 S Melrose Dr, Vista, CA 92081"
0,"$2,500 - 2,995",Studio - 2 Beds,"336 Pine Ave, Carlsbad, CA 92008"
0,"$2,742 - 9,868",1-3 Beds,"2510 W Ranch St, Carlsbad, CA 92010"
0,"$3,500",1-2 Beds,"2615 Cannon Rd, Carlsbad, CA 92010"
0,"$3,295 - 9,170",1-3 Beds,"1040 Carlsbad Village Dr, Carlsbad, CA 92008"
0,"$2,374 - 2,663",1-2 Beds,"1580 Shadowridge Dr, Vista, CA 92081"
0,"$2,285 - 3,440",1-2 Beds,"3760 North Way, Oceanside, CA 92056"
0,"$2,497 - 4,743",1-3 Beds,"2300 Rising Glen Way, Carlsbad, CA 92008"
0,"$2,898 - 6,863",1-3 Beds,"3251 Marisol Pl, Carlsbad, CA 92010"
0,"$2,182 - 2,545",1-3 Beds,"2701-2707 Avenida de Anita, Carlsbad, CA 92010"
0,"$2,895",2 Beds,"2600-2695 Kremeyer Cir, Carlsbad, CA 92008"
0,"$2,155 - 2,713",1-2 Beds,"1617 Live Oak Rd, Vista, CA 92081"
0,"$2,175 - 3,130",1-2 Beds,"2051 Geneva St, Oceanside, CA 92054"
0,"$2,445 - 2,795",1-2 Beds,"3634 College Blvd, Oceanside, CA 92056"
0,"$2,350 - 2,895",1-2 Beds,"3675 Barnard Dr, Oceanside, CA 92056"
0,"$1,967 - 2,251",1-2 Beds,"2316 Paseo De Laura, Oceanside, CA 92056"
0,"$2,830 - 3,940",1-3 Beds,"1100 Garden View Rd, Encinitas, CA 92024"
0,"$3,249 - 4,679",1 Bed,"3642 Village Cir, Carlsbad, CA 92008"
0,"$3,395 - 4,340",2 Beds,"6555 Sea Gate Rd, Carlsbad, CA 92011"
0,"$3,675 - 3,725",2-3 Beds,"1901 Cassia Rd, Carlsbad, CA 92011"
0,"$3,045",2 Beds,"2937-2949 Unicornio St, Carlsbad, CA 92009"
0,"$2,995 - 5,500",1-2 Beds,"6938 Seascape Dr, Carlsbad, CA 92011"
0,"$5,195",3 Beds,"135-149 Avocado St, Encinitas, CA 92024"
0,"$3,145 - 3,445",2-3 Beds,"2385-2399 Caringa Way, Carlsbad, CA 92009"
0,"$2,795 - 3,170",2 Beds,"315-395 Walnut Ave, Carlsbad, CA 92008"
0,"$2,945 - 3,195",Studio - 2 Beds,"2605 Jefferson St, Carlsbad, CA 92008"
0,"$5,900",2 Beds,"6790 Embarcadero Ln, Carlsbad, CA 92011"
0,"$2,795 - 5,715",1-3 Beds,"5162 Whitman Way, Carlsbad, CA 92008"
0,"$3,095",2 Beds,"350-370 Chinquapin Ave, Carlsbad, CA 92008"
0,"$2,145 - 2,795",Studio - 2 Beds,"1000 Chinquapin Ave, Carlsbad, CA 92008"
0,"$3,805 - 5,710",1-3 Beds,"2504 Marron Rd, Carlsbad, CA 92010"
0,"$2,395 - 3,750",Studio - 2 Beds,"357 Chestnut Ave, Carlsbad, CA 92008"
0,"$2,135 - 6,424",Studio - 2 Beds,"2262 Avenida Magnifica, Carlsbad, CA 92008"
0,"$2,665 - 3,750",1-3 Beds,"6610 Ambrosia Ln, Carlsbad, CA 92011"
0,"$2,275 - 2,750",1-2 Beds,"3699 Barnard Dr, Oceanside, CA 92056"
0,"$2,210 - 2,840",1-2 Beds,"1510 S Melrose Dr, Vista, CA 92081"
0,"$3,995",2 Beds,"125 Hillcrest Dr, Encinitas, CA 92024"
0,"$3,767 - 3,982",2-3 Beds,"3402 Piazza De Oro Way, Oceanside, CA 92056"
0,"$2,345 - 2,645",2-3 Beds,"1515 S Melrose Dr, Vista, CA 92081"
0,"$1,895 - 2,095",Studio - 1 Bed,"3964-3970 Waring Rd, Oceanside, CA 92056"
