,price,rooms,address
0,"$1,390 - 2,865",Studio - 3 Beds,"13111 Old Meridian St, Carmel, IN 46032"
0,"$1,183 - 4,138",Studio - 3 Beds,"7520 Alluvium St, Noblesville, IN 46062"
0,"$1,299 - 2,799",1-3 Beds,"5000 Bennett Pky, Zionsville, IN 46077"
0,"$1,050 - 1,600",1-2 Beds,"8850 Riverbend Pky, Indianapolis, IN 46250"
0,"$1,810 - 2,505",1-2 Beds,"41 N Rangeline Rd, Carmel, IN 46032"
0,"$1,560 - 2,920",1-3 Beds,"11325 Springmill Rd, Carmel, IN 46032"
0,"$1,549 - 2,999",1-3 Beds,"675 Beacon St, Carmel, IN 46032"
0,"$1,485 - 2,488",1-3 Beds,"1661 Sierra Spgs, Carmel, IN 46280"
0,"$1,236 - 1,747",1-2 Beds,"382 Arbor Dr, Carmel, IN 46032"
0,"$1,150 - 1,999",Studio - 3 Beds,"12880 University Cres, Carmel, IN 46032"
0,"$1,596 - 3,747",1-3 Beds,"110 W Main St, Carmel, IN 46032"
0,"$1,435 - 3,430",1-2 Beds,"W Main St & Old Meridian St, Carmel, IN 46032"
0,"$1,208 - 3,983",Studio - 3 Beds,"12890 Old Meridian St, Carmel, IN 46032"
0,"$1,398 - 2,409",1-3 Beds,"1501 Starcross Ln, Carmel, IN 46280"
0,"$1,399 - 2,075",1-2 Beds,"1225 Veterans Way, Carmel, IN 46032"
0,"$1,668 - 2,841",1-2 Beds,"525 North End Dr, Carmel, IN 46032"
0,"$825 - 1,285",1-2 Beds,"9115 Knights Bridge Blvd, Indianapolis, IN 46240"
0,"$900 - 1,525",Studio - 2 Beds,"8810 Colby Blvd, Indianapolis, IN 46268"
0,"$1,160 - 1,785",1-3 Beds,"1844 Pemberton Ln, Indianapolis, IN 46260"
0,"$824 - 1,224",1-3 Beds,"1130 Racquet Club North Dr, Indianapolis, IN 46260"
0,"$974 - 1,409",1-2 Beds,"9301 Yale Dr, Indianapolis, IN 46240"
0,"$1,600",1-3 Beds,"8740 Arborway Ct, Indianapolis, IN 46268"
0,"$1,029 - 1,710",1-2 Beds,"9075 Autumn Woods Dr, Indianapolis, IN 46250"
0,"$949 - 1,739",1-3 Beds,"9250 Kungsholm Dr, Indianapolis, IN 46250"
0,"$1,270 - 1,835",1-3 Beds,"5702 Castle Hill Dr, Indianapolis, IN 46250"
0,"$665 - 1,245",Studio - 2 Beds,"9000 N College Ave, Indianapolis, IN 46240"
0,"$1,400 - 1,855",1-2 Beds,"2810 Willow Lake Dr, Indianapolis, IN 46268"
0,"$1,180 - 1,836",1-3 Beds,"1010 Clubhouse Ct, Carmel, IN 46032"
0,"$1,112 - 2,348",1-2 Beds,"8785 Keystone Xing, Indianapolis, IN 46240"
0,"$1,306 - 2,829",1-2 Beds,"12415 N Pennsylvania St, Carmel, IN 46032"
0,"$2,010 - 3,195",2-3 Beds,"720 S Rangeline Rd, Carmel, IN 46032"
0,"$1,149 - 1,850",1-3 Beds,"3008 Warren Way, Carmel, IN 46033"
0,"$1,290 - 2,415",Studio - 2 Beds,"1685 E 116th St, Carmel, IN 46032"
0,"$1,347 - 2,931",1-3 Beds,"9815 Seasons West Dr, Carmel, IN 46280"
0,"$1,204 - 2,869",1-3 Beds,"1411 Fairfax Manor Dr, Carmel, IN 46032"
0,"$1,553 - 2,559",1-2 Beds,"18183 Wheeler Rd, Carmel, IN 46074"
0,"$1,375 - 3,796",2-3 Beds,"5830 River Wood Dr, Indianapolis, IN 46250"
0,"$1,056 - 1,304",1-2 Beds,"9535 Benchmark Dr, Indianapolis, IN 46240"
0,"$999 - 1,140",Studio - 2 Beds,"3553 Founders Rd, Indianapolis, IN 46268"
0,"$1,491 - 2,335",1-3 Beds,"11005 Octave Dr, Zionsville, IN 46077"
