,price,rooms,address
0,"$1,316 - 2,755",Studio - 2 Beds,"4216 Sloane St, Carrollton, TX 75007"
0,"$1,326 - 2,790",1-3 Beds,"3301 President George Bush Tpke, Dallas, TX 75287"
0,"$1,195 - 6,074",1-3 Beds,"3702 Frankford Rd, Dallas, TX 75287"
0,"$1,639 - 3,107",1-3 Beds,"11900 Commerce St, Farmers Branch, TX 75234"
0,"$1,195 - 2,249",Studio - 2 Beds,"1199 N Broadway St, Carrollton, TX 75006"
0,"$1,334 - 2,255",1-2 Beds,"1700 W Frankford Rd, Carrollton, TX 75007"
0,"$1,279 - 2,333",1-3 Beds,"2057 W Hebron Pkwy, Carrollton, TX 75010"
0,"$1,393 - 4,418",1-3 Beds,"1701 Hebron Pky E, Carrollton, TX 75010"
0,"$1,255 - 2,140",1-2 Beds,"2116 Marsh Ln, Carrollton, TX 75006"
0,"$966 - 1,914",1-2 Beds,"1120 Mac Arthur Dr, Carrollton, TX 75007"
0,"$1,383 - 2,399",1-2 Beds,"2061 Wittington Pl, Farmers Branch, TX 75234"
0,"$1,710 - 4,283",Studio - 2 Beds,"15250 Quorum Dr, Addison, TX 75001"
0,"$1,370 - 3,922",Studio - 2 Beds,"4150 Belt Line Rd, Addison, TX 75001"
0,"$1,517 - 5,135",1-4 Beds,"1850 Mercer Pky E, Farmers Branch, TX 75234"
0,"$1,425 - 6,137",1-4 Beds,"1790 Mercer Pky E, Farmers Branch, TX 75234"
0,"$1,567 - 6,519",1-4 Beds,"1890 Mercer Pky E, Farmers Branch, TX 75234"
0,"$1,565 - 3,962",Studio - 3 Beds,"17727 Addison Rd, Dallas, TX 75287"
0,"$1,445 - 2,860",Studio - 2 Beds,"7550 State Highway 161, Irving, TX 75039"
0,"$1,300 - 2,775",Studio - 2 Beds,"2901 Lady Bettye Dr, Lewisville, TX 75056"
0,"$1,399 - 2,889",Studio - 2 Beds,"17501 North Dallas Pky, Dallas, TX 75287"
0,"$933 - 1,820",1-2 Beds,"3750 Rosemeade Pky, Dallas, TX 75287"
0,"$1,055 - 1,573",Studio - 2 Beds,"2626 Frankford Rd, Dallas, TX 75287"
0,"$1,020 - 3,820",Studio - 3 Beds,"5009 Addison Cir, Addison, TX 75001"
0,"$1,277 - 2,145",1-3 Beds,"801 Hebron Pky, Lewisville, TX 75057"
0,"$1,036 - 2,330",1-2 Beds,"3637 Trinity Mills Rd, Dallas, TX 75287"
0,"$1,362 - 3,008",1-2 Beds,"4800 Keller Springs Rd, Addison, TX 75001"
0,"$1,195 - 4,489",1-2 Beds,"9519 E Valley Ranch Pky, Irving, TX 75063"
0,"$1,427 - 2,958",1-3 Beds,"6201 Chapel Hill Blvd, Plano, TX 75093"
