,price,rooms,address
0,"$1,699 - 2,230",1-3 Beds,"10300 Kingsclere Dr, Cary, NC 27511"
0,"$1,452 - 3,439",1-3 Beds,"1010 Legacy Village Dr, Cary, NC 27518"
0,"$1,299 - 4,199",Studio - 3 Beds,"21035 Bradford Green Sq, Cary, NC 27519"
0,"$1,299 - 2,299",1-3 Beds,"2000 Cary Reserve Dr, Cary, NC 27519"
0,"$1,250 - 2,293",Studio - 2 Beds,"1017 Umstead Hollow Pl, Cary, NC 27513"
0,"$1,590 - 2,175",1-3 Beds,"9205 Chapel Hill Rd, Cary, NC 27513"
0,"$1,456 - 3,368",1-3 Beds,"2132 Alston Ave, Cary, NC 27519"
0,"$1,350 - 2,060",1-3 Beds,"5425 Dana Dr, Raleigh, NC 27606"
0,"$1,355 - 2,472",1-2 Beds,"3818 Page Rd, Durham, NC 27703"
0,"$1,394 - 2,397",Studio - 2 Beds,"700 Corporate Center Dr, Raleigh, NC 27607"
0,"$1,399 - 2,455",1-3 Beds,"2000 Banyon Grove Loop, Cary, NC 27513"
0,"$1,353 - 3,431",1-2 Beds,"900 Waterford Forest Cir, Cary, NC 27513"
0,"$1,320 - 2,057",1-3 Beds,"200 Brook Arbor Dr, Cary, NC 27519"
0,"$1,092 - 1,712",1-2 Beds,"100 Kempwood Dr, Cary, NC 27513"
0,"$1,160 - 2,972",1-3 Beds,"1331 Wicklow Ct, Cary, NC 27511"
0,"$1,269 - 2,489",1-2 Beds,"300 Woodway Bluff Cir, Cary, NC 27513"
0,"$1,397 - 2,238",1-3 Beds,"200-5100 Dominion Oak Cir, Cary, NC 27519"
0,"$1,128 - 3,432",1-3 Beds,"100 Eclipse Dr, Cary, NC 27518"
0,"$1,194 - 1,993",1-3 Beds,"2000 Alexan Dr, Cary, NC 27519"
0,"$1,350 - 1,425",1-3 Beds,"200 Wrenn Dr, Cary, NC 27511"
0,"$1,409 - 2,530",1-3 Beds,"2101 Lakeside Lofts Cir, Cary, NC 27513"
0,"$1,395 - 2,129",1-2 Beds,"3000 Renaissance Park Pl, Cary, NC 27513"
0,"$1,404 - 5,098",1-3 Beds,"12000 Wisdom Dr, Cary, NC 27519"
0,"$1,085 - 2,190",1-2 Beds,"101 Harlon Dr, Cary, NC 27511"
0,"$1,039 - 2,369",1-3 Beds,"1000 Ballena Cir, Cary, NC 27513"
0,"$1,189 - 2,437",Studio - 3 Beds,"5110 Alston Glen Dr, Cary, NC 27519"
0,"$1,465 - 2,390",1-3 Beds,"5000 Green Landing Dr, Cary, NC 27519"
