,price,rooms,address
0,"$1,763 - 3,028",1-3 Beds,"1250 Sweet Springs Cir, Castle Pines, CO 80108"
0,"$1,737 - 3,875",1-3 Beds,"5989 Alpine Vista Cir, Castle Rock, CO 80108"
0,"$1,704 - 5,389",1-3 Beds,"1100 Plum Creek Pky, Castle Rock, CO 80104"
0,"$1,640 - 2,160",1-3 Beds,"483 Scott Blvd, Castle Rock, CO 80104"
0,"$1,874 - 2,875",1-3 Beds,"4300 Swanson Way, Castle Rock, CO 80109"
0,"$1,827 - 12,532",1-3 Beds,"2355 Mercantile St, Castle Rock, CO 80109"
0,"$1,645 - 4,110",1-3 Beds,"3360 Esker Cir, Castle Rock, CO 80108"
0,"$2,245 - 3,425",1-4 Beds,"353 Edge View Cir, Castle Pines, CO 80108"
0,"$2,200 - 3,534",1-3 Beds,"300 Canvas Ridge Ave, Castle Rock, CO 80104"
0,"$1,885 - 4,193",1-3 Beds,"3715 Bilberry St, Castle Rock, CO 80109"
0,"$1,583 - 2,876",Studio - 3 Beds,"115 Wilcox St, Castle Rock, CO 80104"
0,"$1,770 - 2,450",1-3 Beds,"1193 Auburn Dr, Castle Rock, CO 80109"
0,"$1,455 - 1,785",1-2 Beds,"1129 S Eaton Cir, Castle Rock, CO 80104"
0,"$1,601 - 3,149",1-3 Beds,"6221 Castlegate Dr W, Castle Rock, CO 80108"
0,"$1,654 - 3,447",1-3 Beds,"339 E Allen St, Castle Rock, CO 80108"
0,"$1,725 - 3,075",1-3 Beds,"6200 Castlegate Dr W, Castle Rock, CO 80108"
0,"$3,110 /mo","4 Beds, 2.5 Baths","5140 S Meadow Lark Dr, Castle Rock, CO 80109"
