,price,rooms,address
0,"$1,416 - 1,725",1-2 Beds,"14401 Woodmere Ct, Centreville, VA 20120"
0,"$2,218 - 4,812",Studio - 3 Beds,"4950 Westcroft Blvd, Chantilly, VA 20151"
0,"$1,825 - 4,785",1-2 Beds,"5751 Wood Meadow Way, Centreville, VA 20120"
0,"$2,320 - 5,140",Studio - 3 Beds,"5865 Trinity Pky, Centreville, VA 20120"
0,"$2,101 - 4,743",1-2 Beds,"6221 Summer Pond Dr, Centreville, VA 20121"
0,"$2,045 - 6,170",1-3 Beds,"5804 Post Corners Trl, Centreville, VA 20120"
0,"$1,920 - 2,670",1-2 Beds,"13116 Autumn Woods Way, Fairfax, VA 22033"
0,"$1,660 - 1,895",1-2 Beds,"7101 Royal Fern Cir, Manassas, VA 20111"
0,"$2,178 - 5,533",1-3 Beds,"5115 Woodmere Dr, Centreville, VA 20120"
0,"$1,813 - 7,833",1-3 Beds,"14411 Newton Patent Ct, Centreville, VA 20120"
0,"$2,233 - 4,458",1-2 Beds,"13840 Braddock Springs Rd, Centreville, VA 20121"
0,"$1,847 - 2,637",1-3 Beds,"13630 Bent Tree Cir, Centreville, VA 20121"
