,price,rooms,address
0,"$1,248 - 2,379",1-2 Beds,"1725-1755 Ashley Hall Rd, Charleston, SC 29407"
0,"$1,480 - 2,538",Studio - 3 Beds,"1000 Channel Marker Way, Charleston, SC 29410"
0,"$1,525 - 5,270",Studio - 2 Beds,"55 Romney St, Charleston, SC 29403"
0,"$1,690 - 3,252",1-2 Beds,"1100 Hampton Rivers Rd, Charleston, SC 29414"
0,"$1,590 - 2,940",Studio - 3 Beds,"3915 William E Murray Blvd, Charleston, SC 29414"
0,"$1,677 - 4,502",Studio - 3 Beds,"50 Central Island St, Daniel Island, SC 29492"
0,"$1,525 - 2,365",1-3 Beds,"101 Tomshire Dr, Johns Island, SC 29455"
0,"$1,743 - 2,807",1-3 Beds,"211 Satori Way, Johns Island, SC 29455"
0,"$2,550 - 2,700",3 Beds,"4099 Silverside Way, Johns Island, SC 29455"
0,"$1,400 - 1,425",2 Beds,"885 Castlewood Blvd, Charleston, SC 29414"
0,"$1,582 - 2,239",1-3 Beds,"2020 Proximity Dr, Charleston, SC 29414"
0,"$2,075 - 2,250",2-3 Beds,"1801 Haddon Hall Dr, Charleston, SC 29414"
0,"$1,487 - 3,121",Studio - 2 Beds,"35 Folly Road Blvd, Charleston, SC 29407"
0,"$1,521 - 2,072",1-3 Beds,"3301 Glenn McConnell Pky, Charleston, SC 29414"
0,"$1,560 - 2,531",1-3 Beds,"1500 Parklawn Dr, Charleston, SC 29414"
0,"$1,335 - 1,730",1-2 Beds,"2274-2284 Ashley River Rd, Charleston, SC 29414"
0,"$1,300 - 1,475",1-2 Beds,"1704 N Woodmere Dr, Charleston, SC 29407"
0,"$1,473 - 5,196",1-2 Beds,"2225 Ashley River Rd, Charleston, SC 29414"
0,"$1,649 - 3,599",Studio - 3 Beds,"12000 Sweet Pl, Charleston, SC 29492"
0,"$1,918 - 8,306",1-3 Beds,"1674 Folly Rd, Charleston, SC 29412"
0,"$1,663 - 4,609",1-3 Beds,"1030 Jack Primus Rd, Charleston, SC 29492"
0,"$1,560 - 2,480",2 Beds,"2181 Dunlap St, Charleston, SC 29406"
0,"$1,744 - 6,376",1-3 Beds,"3530 Verdier Blvd, Charleston, SC 29414"
0,"$1,331 - 2,761",1-3 Beds,"2510 Atlantic Palms Ln, Charleston, SC 29406"
0,"$1,818 - 2,593",1-3 Beds,"1001 Riverland Woods Pl, Charleston, SC 29412"
0,"$1,459 - 2,267",1-3 Beds,"1680 Bluewater Way, Charleston, SC 29414"
0,"$1,755 - 4,715",Studio - 2 Beds,"99 WestEdge St, Charleston, SC 29403"
0,"$1,651 - 2,346",Studio - 3 Beds,"3220 Hatchet Bay Dr, Charleston, SC 29414"
