,price,rooms,address
0,"$1,428 - 2,683",1-2 Beds,"525 E 21st St, Charlotte, NC 28206"
0,"$1,170 - 1,935",1-3 Beds,"655 W Mallard Creek Church Rd, Charlotte, NC 28262"
0,"$1,447 - 4,980",1-2 Beds,"2715 Wet Stone Way, Charlotte, NC 28208"
0,"$1,410 - 3,905",Studio - 3 Beds,"1308 Lorna St, Charlotte, NC 28205"
0,"$1,170 - 1,915",1-3 Beds,"7116 Finn Hall Ave, Charlotte, NC 28216"
0,"$1,185 - 1,730",1-3 Beds,"9015 Kings Grant Dr, Charlotte, NC 28262"
0,"$1,806 - 4,744",Studio - 3 Beds,"550 E Brooklyn Village Ave, Charlotte, NC 28202"
0,"$1,398 - 4,167",1-3 Beds,"2120 N Brevard St, Charlotte, NC 28206"
0,"$1,559 - 4,649",Studio - 3 Beds,"500 W Trade St, Charlotte, NC 28202"
0,"$1,712 - 4,539",Studio - 3 Beds,"5350 Pinehurst Park Dr, Charlotte, NC 28211"
0,"$1,295 - 2,700",1-3 Beds,"9235 Senator Royal Dr, Charlotte, NC 28262"
0,"$1,355 - 2,025",1-3 Beds,"12509 Crown Park Ct, Charlotte, NC 28273"
0,"$1,217 - 3,427",Studio - 2 Beds,"1615 Mockingbird Ln, Charlotte, NC 28209"
0,"$1,295 - 2,375",1-3 Beds,"5025 Wembley Central Ln, Charlotte, NC 28213"
0,"$1,789 - 4,099",1-3 Beds,"4220 Colony Plaza Dr, Charlotte, NC 28211"
0,"$1,530 - 3,460",Studio - 2 Beds,"2705 Haverford Pl, Charlotte, NC 28209"
0,"$1,260 - 2,735",1-3 Beds,"11020 David Taylor Dr, Charlotte, NC 28262"
0,"$1,475 - 3,270",Studio - 2 Beds,"200 E Cama St, Charlotte, NC 28217"
0,"$1,316 - 2,476",1-3 Beds,"5340 Periwinkle Hill Ave, Charlotte, NC 28213"
0,"$1,333 - 3,514",1-3 Beds,"16200 Croft Dr, Charlotte, NC 28269"
0,"$1,280 - 4,120",Studio - 3 Beds,"8050 Lapis Ln NW, Charlotte, NC 28262"
0,"$1,448 - 3,172",1-3 Beds,"8108 Grace Farms Dr, Charlotte, NC 28213"
0,"$1,164 - 2,705",Studio - 3 Beds,"2051 Establishment Way, Charlotte, NC 28217"
0,"$1,068 - 2,700",1-3 Beds,"6026 Station Crossing Ave, Charlotte, NC 28217"
0,"$1,404 - 2,781",1-3 Beds,"10601 Harrisburg Rd, Charlotte, NC 28215"
0,"$1,631 - 3,064",Studio - 2 Beds,"14011 Bespoke Rd, Charlotte, NC 28277"
0,"$1,379 - 5,014",Studio - 3 Beds,"2818 Cullman Ave, Charlotte, NC 28206"
0,"$1,364 - 2,917",Studio - 2 Beds,"1200 S Mint St, Charlotte, NC 28203"
0,"$1,379 - 5,023",Studio - 3 Beds,"1133 Harding Pl, Charlotte, NC 28204"
0,"$1,365 - 2,875",1-3 Beds,"2818 Barrow Rd, Charlotte, NC 28269"
0,"$1,496 - 3,300",Studio - 2 Beds,"3615 Tryclan Dr, Charlotte, NC 28217"
0,"$1,399 - 2,987",1-3 Beds,"5306 Acadia Heights Dr, Charlotte, NC 28217"
0,"$1,500 - 3,190",Studio - 3 Beds,"8515 University Executive Park Dr, Charlotte, NC 28262"
0,"$1,450 - 2,830",Studio - 2 Beds,"4612 Gilead Rd, Charlotte, NC 28217"
0,"$1,293 - 6,213",Studio - 3 Beds,"4015 Craft St, Charlotte, NC 28217"
0,"$1,590 - 7,000",Studio - 2 Beds,"1115 S Mint St, Charlotte, NC 28203"
0,"$1,100 - 1,646",1-2 Beds,"8800 Meadow Vista Rd, Charlotte, NC 28213"
0,"$1,000 - 1,850",1-3 Beds,"5920 Monroe Rd, Charlotte, NC 28212"
0,"$1,125 - 1,600",1-3 Beds,"2400 Whitehall Estates Dr, Charlotte, NC 28273"
0,"$1,234 - 3,167",1-3 Beds,"2002 Laysan Teal Ln, Charlotte, NC 28262"
