,price,rooms,address
0,"$1,099 - 2,139",1-3 Beds,"7301 E Brainerd Rd, Chattanooga, TN 37421"
0,"$1,199 - 1,699",Studio - 3 Beds,"936 Mountain Creek Rd, Chattanooga, TN 37405"
0,"$1,129 - 2,399",Studio - 3 Beds,"1133 Bexley Sq, Chattanooga, TN 37410"
0,"$1,930 - 1,996",2-3 Beds,"2500 E 18th St, Chattanooga, TN 37404"
0,"$1,400 - 2,495",Studio - 3 Beds,"6930 Populus Loop, Chattanooga, TN 37421"
0,"$1,299 - 1,799",1-3 Beds,"4832 Ruby Red Dr, Ooltewah, TN 37363"
0,"$1,375 - 2,025",1-3 Beds,"4720 Ardmore Dr, Ooltewah, TN 37363"
0,"$1,275 - 3,800",1-3 Beds,"5067 Elevated View, Hixson, TN 37343"
0,"$1,247 - 1,945",1-3 Beds,"7205 Aventine Way, Chattanooga, TN 37421"
0,"$1,376 - 4,093",1-3 Beds,"200 CityGreen Way, Chattanooga, TN 37405"
0,"$1,195 - 1,285",2 Beds,"4053 Priceless Vw, Chattanooga, TN 37415"
0,"$1,439 - 2,499",1-2 Beds,"2 Market St, Chattanooga, TN 37402"
0,"$924 - 1,331",1-2 Beds,"728 Frawley Rd, Chattanooga, TN 37412"
0,"$1,035 - 1,405",1-2 Beds,"4101-4103 Dayton Blvd, Chattanooga, TN 37415"
0,"$924 - 1,548",1-3 Beds,"1507 Hickory Valley Rd, Chattanooga, TN 37421"
0,"$1,049 - 1,799",1-4 Beds,"1408C Mana Ln, Chattanooga, TN 37412"
0,"$1,125 - 1,740",1-3 Beds,"4827 Jersey Pike, Chattanooga, TN 37416"
0,"$1,174 - 1,941",1-3 Beds,"7700 Aspen Lodge Way, Chattanooga, TN 37421"
0,"$1,149 - 2,209",Studio - 3 Beds,"5840 Lake Resort Ter, Chattanooga, TN 37415"
0,"$998 - 1,888",1-2 Beds,"20 Mason Dr, Chattanooga, TN 37415"
0,"$1,125 - 1,860",1-3 Beds,"2415 Bridge Cir, Chattanooga, TN 37421"
0,"$1,182 - 1,672",1-2 Beds,"1920 Gunbarrel Rd, Chattanooga, TN 37421"
0,"$1,169 - 2,039",1-2 Beds,"805 Canal St, Chattanooga, TN 37402"
0,"$1,406 - 5,445",Studio - 3 Beds,"1348 Passenger St, Chattanooga, TN 37408"
0,"$1,159 - 2,099",Studio - 2 Beds,"726 Fulton St, Chattanooga, TN 37402"
0,"$1,545 - 2,035",1-2 Beds,"6412 Shallowford Rd, Chattanooga, TN 37421"
0,"$2,199 - 2,400",3 Beds,"1705 Henegar Cir, Chattanooga, TN 37421"
