,price,rooms,address
0,"$1,655 - 4,230",1-3 Beds,"3000 Conservancy Dr, Chesapeake, VA 23323"
0,"$1,597 - 2,250",1-3 Beds,"728 Tapestry Park Loop, Chesapeake, VA 23320"
0,"$1,560 - 2,480",1-3 Beds,"2540 Holly Point Blvd, Chesapeake, VA 23325"
0,"$2,810 - 5,160",Studio - 2 Beds,"843 N Battlefield Blvd, Chesapeake, VA 23320"
0,"$1,400 - 2,644",1-3 Beds,"150 Coveside Ln, Chesapeake, VA 23320"
0,"$969 - 1,689",1-3 Beds,"3537 Towne Pointe Rd, Chesapeake, VA 23321"
0,"$1,480 - 3,705",1-2 Beds,"301 Oak Lake Way, Chesapeake, VA 23320"
0,"$1,435 - 2,030",1-3 Beds,"1314 Kingston Way, Chesapeake, VA 23320"
0,"$1,375 - 1,495",1-2 Beds,"200 Red Cedar Ct, Chesapeake, VA 23320"
0,"$1,644 - 6,928",1-3 Beds,"111 Gateway Ct, Chesapeake, VA 23320"
0,"$1,655 - 2,662",1-3 Beds,"504 Cap Stone Arch, Chesapeake, VA 23323"
0,"$1,669 - 1,899",1-3 Beds,"1805 Kerwyck Pl, Chesapeake, VA 23320"
0,"$1,504 - 2,443",1-3 Beds,"3200 Prices Folk Blvd, Suffolk, VA 23435"
0,"$1,808 - 2,048",1-3 Beds,"2019 Barclay Pl, Suffolk, VA 23435"
0,"$1,130 - 2,810",1-3 Beds,"1101 Craftsman Dr, Virginia Beach, VA 23464"
0,"$1,275 - 1,695",1-3 Beds,"3601 Gateway Dr, Portsmouth, VA 23703"
0,"$1,758 - 3,544",1-3 Beds,"5700 Magnolia Chase Way, Virginia Beach, VA 23464"
0,"$1,550 - 2,500",1-3 Beds,"1888 Somerton Pl, Virginia Beach, VA 23464"
0,"$1,599 - 2,799",1-2 Beds,"901 Beringer Rd, Suffolk, VA 23435"
0,"$1,500 - 1,850",2-3 Beds,"1201 Edenham Ct, Virginia Beach, VA 23464"
0,"$1,657 - 3,432",1-3 Beds,"5657 Infinity Ln, Virginia Beach, VA 23464"
0,"$1,448 - 2,200",1-3 Beds,"7190 Harbour Towne Pky, Suffolk, VA 23435"
0,"$1,150 - 1,600",1-3 Beds,"6020 Churchland Blvd, Portsmouth, VA 23703"
0,"$950 - 1,299",1-3 Beds,"6200 Hightower Rd, Portsmouth, VA 23703"
0,"$1,441 - 4,101",Studio - 3 Beds,"929 Wintercress Way, Chesapeake, VA 23320"
0,"$1,698 - 4,323",1-3 Beds,"101 Sabal Palm Ln, Chesapeake, VA 23320"
0,"$2,419",1-3 Beds,"580 Belaire Ave, Chesapeake, VA 23320"
0,"$1,398 - 3,676",1-3 Beds,"1150 Volvo Pky, Chesapeake, VA 23320"
0,"$1,155 - 1,425",1-2 Beds,"100-110 Williamsburg Dr, Chesapeake, VA 23322"
0,"$1,261",2 Beds,"2600 Harvard Dr, Chesapeake, VA 23324"
0,"$1,149 - 1,340",2-3 Beds,"2815 E Indian River Rd, Chesapeake, VA 23325"
0,"$1,241 - 1,429",2-3 Beds,"3824 Maplefield Dr, Chesapeake, VA 23321"
0,"$1,385 - 3,747",1-3 Beds,"6300 Blakely Sq, Virginia Beach, VA 23464"
0,"$1,099 - 1,565",1-3 Beds,"3802 Towne Point Rd, Portsmouth, VA 23703"
0,"$1,003 - 1,388",1-3 Beds,"5120 George Washington Hwy, Portsmouth, VA 23702"
0,"$1,145 - 1,640",1-3 Beds,"3790 Pepperwood Ct, Portsmouth, VA 23703"
0,"$1,150 - 1,350",2-3 Beds,"1001-1012 Riviera Dr, Virginia Beach, VA 23464"
0,"$830 - 1,000",1-3 Beds,"3515 Gatling Ave, Norfolk, VA 23502"
0,"$1,335 - 2,994",1-3 Beds,"124 Fairwind Dr, Chesapeake, VA 23320"
0,"$1,290 - 1,670",1-3 Beds,"1105 Merchants Ct, Chesapeake, VA 23320"
