,price,rooms,address
0,"$2,378 - 5,069",1-3 Beds,"16675 Slate Dr, Chino Hills, CA 91709"
0,"$2,365 - 3,565",1-2 Beds,"2400 Ridgeview Dr, Chino Hills, CA 91709"
0,"$2,290 - 3,635",1-3 Beds,"15101 Fairfield Ranch Rd, Chino, CA 91709"
0,"$2,583 - 2,945",1-2 Beds,"14901 Frost Ave, Chino Hills, CA 91709"
0,"$3,060 - 4,199",1-4 Beds,"15920 Pomona Rincon Rd, Chino Hills, CA 91709"
0,"$2,299 - 2,999",1-2 Beds,"15773 High Knoll Dr, Chino Hills, CA 91709"
0,"$2,470 - 3,860",1-3 Beds,"5685 Park Dr, Chino Hills, CA 91709"
0,"$2,315 - 3,325",1-2 Beds,"25550 River Bend Dr, Yorba Linda, CA 92887"
0,"$3,450 - 3,475",3 Beds,"1 Lyons St, Pomona, CA 91766"
0,"$2,491 - 2,955",1-2 Beds,"13316 Woodsorrel Rd, Chino Hills, CA 91709"
0,"$2,212 - 6,252",Studio - 3 Beds,"4200 Village Dr, Chino Hills, CA 91709"
0,"$2,050 - 2,495",2 Beds,"13439 Peyton Dr, Chino Hills, CA 91709"
0,"$2,579",Studio,"Chino Hills, CA 91709"
0,"$2,608",Studio,"Chino Hills, CA 91709"
0,"$3,267",2 Beds,"Chino Hills, CA 91709"
