,price,rooms,address
0,"$2,467 - 4,092",1-4 Beds,"16250 Homecoming Dr, Chino, CA 91708"
0,"$1,750 - 2,899",Studio - 2 Beds,"180 E Monterey Ave, Pomona, CA 91767"
0,"$1,675 - 1,995",1-2 Beds,"11902 Central Ave, Chino, CA 91710"
0,"$2,305 - 2,400",2-3 Beds,"13151 Yorba Ave, Chino, CA 91710"
0,"$2,050 - 3,020",1-2 Beds,"2550 E Riverside Dr, Ontario, CA 91761"
0,"$2,240 - 3,320",1-3 Beds,"1056 E Philadelphia St, Ontario, CA 91761"
0,"$2,378 - 5,069",1-3 Beds,"16675 Slate Dr, Chino Hills, CA 91709"
0,"$2,046 - 4,100",1-2 Beds,"3303 S Archibald Ave, Ontario, CA 91761"
0,"$1,675 - 1,950",1-2 Beds,"154 N Palmetto Ave, Ontario, CA 91762"
0,"$2,190 - 3,430",1-2 Beds,"11838 Central Ave, Chino, CA 91710"
0,"$2,075 - 3,485",1-2 Beds,"11475 Central Ave, Chino, CA 91710"
0,"$2,290 - 3,635",1-3 Beds,"15101 Fairfield Ranch Rd, Chino, CA 91709"
0,"$2,223 - 2,700",1-2 Beds,"1001 W Mission Blvd, Ontario, CA 91762"
0,"$2,365 - 3,565",1-2 Beds,"2400 Ridgeview Dr, Chino Hills, CA 91709"
0,"$2,480 - 2,800",2 Beds,"5775 Riverside Dr, Chino, CA 91710"
0,"$2,583 - 2,945",1-2 Beds,"14901 Frost Ave, Chino Hills, CA 91709"
0,"$3,060 - 4,199",1-4 Beds,"15920 Pomona Rincon Rd, Chino Hills, CA 91709"
0,"$2,299 - 2,999",1-2 Beds,"15773 High Knoll Dr, Chino Hills, CA 91709"
0,"$2,470 - 3,860",1-3 Beds,"5685 Park Dr, Chino Hills, CA 91709"
0,"$1,930 - 2,870",1-3 Beds,"1352 W 5th St, Ontario, CA 91762"
0,"$2,100 - 3,175",1-2 Beds,"1300 W Mission Blvd, Pomona, CA 91766"
0,"$2,025 - 2,295",1-2 Beds,"451 E Riverside Dr, Ontario, CA 91761"
0,"$1,831 - 2,245",1-3 Beds,"1900 S Campus Ave, Ontario, CA 91761"
0,"$2,500 - 2,600",2 Beds,"13106 Yorba Ave, Chino, CA 91710"
0,"$1,750 - 2,277",1-3 Beds,"408 W G St, Ontario, CA 91762"
0,"$3,450 - 3,475",3 Beds,"1 Lyons St, Pomona, CA 91766"
0,"$2,965",2-3 Beds,"12351 Marshall Ave, Chino, CA 91710"
0,"$2,085 - 2,685",1-2 Beds,"12180 Ramona Ave, Chino, CA 91710"
0,"$1,795 - 2,395",Studio - 2 Beds,"11819 Central Ave, Chino, CA 91710"
0,"$1,775 - 2,475",Studio - 2 Beds,"12350 Marshall Ave, Chino, CA 91710"
0,"$2,025 - 2,495",1-2 Beds,"619 E Riverside Dr, Ontario, CA 91761"
0,"$2,220",1 Bed,"9550 Fremont Ave, Montclair, CA 91763"
0,"$2,024 - 5,477",1-2 Beds,"551 E Riverside Dr, Ontario, CA 91761"
0,"$2,491 - 2,955",1-2 Beds,"13316 Woodsorrel Rd, Chino Hills, CA 91709"
0,"$2,100 - 2,445",1-2 Beds,"910 W Phillips St, Ontario, CA 91762"
0,"$2,212 - 6,252",Studio - 3 Beds,"4200 Village Dr, Chino Hills, CA 91709"
0,"$1,810 - 2,840",1-2 Beds,"510 E 3rd St, Pomona, CA 91766"
0,"$2,714 - 3,644",2-3 Beds,"9200 Monte Vista Ave, Montclair, CA 91763"
0,"$1,759 - 2,357",1-2 Beds,"777 E 3rd St, Pomona, CA 91766"
0,"$1,850 - 2,150",1-2 Beds,"2455 S Fern Ave, Ontario, CA 91762"
