,price,rooms,address
0,"$1,584 - 2,940",1-3 Beds,"7711 Greenback Ln, Citrus Heights, CA 95610"
0,"$1,680 - 2,535",1-3 Beds,"7311 Huntington Square Ln, Citrus Heights, CA 95621"
0,"$1,539 - 2,529",1-2 Beds,"12801 Fair Oaks Blvd, Citrus Heights, CA 95610"
0,Call for Rent,1-3 Beds,"7566 Greenback Ln, Citrus Heights, CA 95610"
0,"$1,295 - 1,440",Studio - 2 Beds,"6650 Crosswoods Cir, Citrus Heights, CA 95621"
0,"$1,599 - 1,950",1-2 Beds,"6413 Tupelo Dr, Citrus Heights, CA 95621"
0,"$1,675 - 2,175",1-2 Beds,"6801 San Tomas Dr, Citrus Heights, CA 95621"
0,"$1,455 - 2,005",Studio - 2 Beds,"6016 Sunrise Vista Dr, Citrus Heights, CA 95610"
0,"$1,650 - 1,875",1-2 Beds,"5109 Andrea Blvd, Sacramento, CA 95842"
0,"$1,675 - 2,050",1-2 Beds,"12202 Fair Oaks Blvd, Fair Oaks, CA 95628"
0,"$1,646",1 Bed,"8123 Sunrise Blvd, Citrus Heights, CA 95610"
0,"$1,750 - 1,975",1-2 Beds,"12633 Fair Oaks Blvd, Citrus Heights, CA 95610"
0,"$1,549 - 2,953",1-2 Beds,"4800 Sunset Ter, Fair Oaks, CA 95628"
0,"$1,545",2 Beds,"4934 San Juan Ave, Fair Oaks, CA 95628"
0,"$1,760 - 2,840",1-2 Beds,"7541 Ramona Ln, Citrus Heights, CA 95610"
0,"$1,777 - 2,575",1-2 Beds,"6011 Shadow Ln, Citrus Heights, CA 95621"
0,"$1,509 - 1,745",1-2 Beds,"6231 Burich Ave, Citrus Heights, CA 95610"
0,"$1,495 - 2,200",1-2 Beds,"7969 Madison Ave, Citrus Heights, CA 95610"
0,"$1,875 - 2,275",2-3 Beds,"6312 Birdcage St, Citrus Heights, CA 95610"
0,"$1,475 - 1,799",1-2 Beds,"5849 Sunrise Vista Dr, Citrus Heights, CA 95610"
0,"$1,400 - 1,750",Studio - 2 Beds,"6546 Auburn Blvd, Citrus Heights, CA 95621"
0,"$1,471 - 3,222",1-3 Beds,"5979 DeVecchi Ave, Citrus Heights, CA 95621"
0,"$1,395 - 2,000",Studio - 2 Beds,"7761 Greenback Ln, Citrus Heights, CA 95610"
0,"$1,250 - 2,000",1-2 Beds,"7799 Farmgate Way, Citrus Heights, CA 95610"
0,"$1,833 - 2,956",1-2 Beds,"1010 Madden Ln, Roseville, CA 95661"
0,"$1,615 - 3,270",1-2 Beds,"1900 S Cirby Way, Roseville, CA 95661"
0,"$1,772 - 2,045",1-2 Beds,"7795 Antelope Rd, Citrus Heights, CA 95610"
0,"$1,450 - 1,895",1-2 Beds,"8059 Targa Cir, Citrus Heights, CA 95610"
0,"$1,410 - 1,855",Studio - 2 Beds,"7677 Greenback Ln, Citrus Heights, CA 95610"
0,"$1,800 - 2,185",1-2 Beds,"333 Cirby Way, Roseville, CA 95678"
0,"$1,695 - 2,395",1-2 Beds,"8317 Sunrise Blvd, Citrus Heights, CA 95610"
0,"$1,500",1 Bed,"7969 Pebble Beach Dr, Citrus Heights, CA 95610"
0,"$1,555 - 1,760",1-2 Beds,"6316 Mariposa Ave, Citrus Heights, CA 95610"
0,"$1,675 - 1,775",1 Bed,"7434 Auburn Oaks Ct, Citrus Heights, CA 95621"
0,"$1,470 - 1,770",1-2 Beds,"6380 Denton Way, Citrus Heights, CA 95610"
0,"$1,495",1 Bed,"8079 Sunrise East Way, Citrus Heights, CA 95610"
0,"$1,450 - 1,975",1-2 Beds,"7522 Sunrise Blvd, Citrus Heights, CA 95610"
0,"$1,550 - 2,200",1-2 Beds,"7849 Sunrise Blvd, Citrus Heights, CA 95610"
0,"$1,375 - 1,675",1-2 Beds,"7840 Antelope Rd, Citrus Heights, CA 95610"
0,"$1,850 - 2,250",1-2 Beds,"1000 Cirby Oaks Way, Roseville, CA 95678"
