,price,rooms,address
0,"$1,000 - 1,400",1-2 Beds,"1605 Needmore Rd, Clarksville, TN 37040"
0,"$1,349 - 2,199",2-3 Beds,"1523 Nolen Rd, Clarksville, TN 37040"
0,"$1,199 - 1,399",1-2 Beds,"120 Malibu Dr, Clarksville, TN 37043"
0,"$1,095 - 1,495",1-3 Beds,"375 S Lancaster Rd, Clarksville, TN 37042"
0,"$1,195",2 Beds,"1387 Dover Rd, Clarksville, TN 37042"
0,"$1,195 - 1,450",2 Beds,"227 Drayton Dr, Clarksville, TN 37042"
0,"$1,195 - 1,295",1-2 Beds,"850 Professional Park Dr, Clarksville, TN 37040"
0,"$1,450 - 1,595",2-3 Beds,"Clarksville, TN 37040"
0,"$1,149 - 1,449",1-3 Beds,"851 Ted A Crozier Sr Blvd, Clarksville, TN 37043"
0,"$1,250 - 1,325",2 Beds,"180 Cave Rd, Clarksville, TN 37043"
0,"$1,175 - 1,350",1-2 Beds,"1841 Madison St, Clarksville, TN 37043"
0,"$1,333 - 2,050",1-3 Beds,"1985 Needmore Rd, Clarksville, TN 37042"
0,"$1,050 - 1,350",1-2 Beds,"1828 Beckett Dr, Clarksville, TN 37042"
0,"$1,133 - 4,371",1-3 Beds,"2934 Dunlop Ln, Clarksville, TN 37043"
0,"$1,375",2 Beds,"1701 Old Trenton Rd, Clarksville, TN 37040"
0,"$1,195 - 1,495",1-3 Beds,"401 Victory Rd, Clarksville, TN 37042"
0,"$1,025 - 1,225",1-2 Beds,"525 Neptune dr, Clarksville, TN 37043"
0,"$1,400",2 Beds,"615 Tiny Town Rd, Clarksville, TN 37042"
0,"$1,785 - 1,810",1-3 Beds,"3000 Dalton Smith Ct, Clarksville, TN 37043"
0,"$1,195 - 1,245",2 Beds,"335 Greenwood Ave, Clarksville, TN 37040"
0,"$1,350",2 Beds,"150 Fairview Ln, Clarksville, TN 37040"
0,"$1,400",2 Beds,"874 Needmore Rd, Clarksville, TN 37040"
0,"$1,295",2 Beds,"155 Airport Rd, Clarksville, TN 37042"
0,"$1,095",2 Beds,"800 Hidden Spring Dr, Clarksville, TN 37042"
0,$995,2 Beds,"542 Lafayette Rd, Clarksville, TN 37042"
0,"$1,375",2 Beds,"360 Needmore Rd, Clarksville, TN 37040"
0,"$1,549 - 1,699",3 Beds,"2152 Fort Campbell Blvd, Clarksville, TN 37042"
0,"$1,325 - 1,555",2-3 Beds,"1060 W Coyote Trl, Clarksville, TN 37042"
0,"$1,300 - 1,550",2-3 Beds,"2630 Union Hall Rd, Clarksville, TN 37040"
0,$999,Studio - 1 Bed,"803 N 2nd St, Clarksville, TN 37040"
0,"$1,165 - 1,600",1-3 Beds,"200 S Hampton Pl, Clarksville, TN 37040"
0,"$1,006 - 1,149",2 Beds,"137 A West Concord Dr, Clarksville, TN 37042"
0,"$915 - 1,590",1-3 Beds,"1925 Ashland City Rd, Clarksville, TN 37043"
0,"$1,150",2 Beds,"1260 Parkway Plz, Clarksville, TN 37042"
0,"$615 - 1,135",1-4 Beds,"101 University Ave, Clarksville, TN 37040"
0,"$1,250",2 Beds,"1105 Plymouth Rd, Clarksville, TN 37040"
0,"$1,249 - 1,395",2 Beds,"169 Center Pointe Dr, Clarksville, TN 37040"
0,"$880 - 1,495",Studio - 2 Beds,"611 Madison St, Clarksville, TN 37040"
0,"$990 - 1,685",1-3 Beds,"135 Westfield Ct, Clarksville, TN 37040"
0,"$1,395 - 1,595",2-3 Beds,"630 Huntco Dr, Clarksville, TN 37043"
