,price,rooms,address
0,"$1,355 - 6,549",Studio - 3 Beds,"12301 Cedar Rd, Cleveland Heights, OH 44106"
0,"$944 - 1,899",Studio - 2 Beds,"7218 Euclid Ave, Cleveland, OH 44103"
0,"$1,240 - 2,500",Studio - 2 Beds,"1878 E 90th St, Cleveland, OH 44106"
0,"$1,070 - 1,900",Studio - 3 Beds,"12000 Fairhill Rd, Cleveland, OH 44120"
0,"$1,600 - 2,750",1-2 Beds,"1618 Hazel Dr, Cleveland, OH 44106"
0,"$1,820 - 10,425",Studio - 4 Beds,"10730 Euclid Ave, Cleveland, OH 44106"
0,"$1,500 - 2,300",1 Bed,"1599 E 118th St, Cleveland, OH 44106"
0,"$1,300 - 2,300",1-2 Beds,"1750 Ansel Rd, Cleveland, OH 44106"
0,"$1,270 - 2,430",Studio - 2 Beds,"12201 Larchmere Blvd, Cleveland, OH 44120"
0,"$1,550 - 3,400",1-2 Beds,"2348 Overlook Rd, Cleveland Heights, OH 44106"
0,"$1,651 - 2,405",1-2 Beds,"1866 E 93rd St, Cleveland, OH 44106"
0,"$1,499 - 2,613",Studio - 2 Beds,"10300 Cedar Ave, Cleveland, OH 44106"
0,"$1,469 - 3,630",1-2 Beds,"1820 E 97th St, Cleveland, OH 44106"
0,"$795 - 1,025",1-2 Beds,"2590 N Moreland Blvd, Shaker Heights, OH 44120"
0,"$900 - 1,600",1-3 Beds,"2431-2439 Overlook Rd, Cleveland, OH 44106"
0,"$950 - 1,100",1-2 Beds,"17500 Euclid Ave, Cleveland, OH 44112"
0,"$1,575 - 2,700",Studio - 1 Bed,"10001 Chester Ave, Cleveland, OH 44106"
0,"$1,070 - 1,675",Studio - 2 Beds,"35 Severance Cir, Cleveland Heights, OH 44118"
0,$899,1 Bed,"2809-2949 Van Aken Blvd, Shaker Heights, OH 44120"
0,$655 - 885,Studio - 2 Beds,"1541 E 191st St, Euclid, OH 44117"
0,"$950 - 1,150",1-2 Beds,"2680 N Moreland Blvd, Cleveland, OH 44120"
0,"$680 - 1,500",Studio - 3 Beds,"13855 Superior Rd, East Cleveland, OH 44118"
0,"$1,450 - 2,050",1 Bed,"11905 Mayfield Rd, Cleveland, OH 44106"
0,"$1,425 - 1,699",Studio,"12607 Larchmere Blvd, Cleveland, OH 44120"
0,"$1,310 - 2,595",Studio - 2 Beds,"11471 Euclid Ave, Cleveland, OH 44106"
0,"$1,107 - 2,900",1-2 Beds,"2260 E 105th St, Cleveland, OH 44106"
0,"$1,105 - 1,630",1-2 Beds,"30 Severance Cir, Cleveland, OH 44118"
0,"$950 - 1,350",1-2 Beds,"2550 Kemper Rd, Shaker Heights, OH 44120"
0,"$1,000 - 1,435",1-3 Beds,"2200 Milton Rd, University Heights, OH 44118"
0,$780 - 800,1 Bed,"12929 Shaker Blvd, Cleveland, OH 44120"
0,"$1,050",1-2 Beds,"12850 Fairhill Rd, Shaker Heights, OH 44120"
0,"$800 - 1,350",1-3 Beds,"2515 Kemper Rd, Shaker Heights, OH 44120"
0,"$800 - 1,600",Studio - 3 Beds,"2546 Kenilworth Rd, Cleveland, OH 44106"
0,"$690 - 2,000",1-4 Beds,"20150 Euclid Ave, Euclid, OH 44117"
0,"$1,195 - 1,450",1 Bed,"12383 Cedar Rd, Cleveland Heights, OH 44106"
0,"$950 - 1,000",1 Bed,"Cleveland, OH 44104"
0,"$1,700 - 2,900",1-3 Beds,"10510 Park Ln, Cleveland, OH 44106"
0,"$900 - 4,900",1 Bed,"Cleveland, OH 44106"
0,"$1,000 - 1,200",Studio - 1 Bed,"Cleveland, OH 44106"
0,$940 - 965,1-5 Beds,"2325 Euclid Heights Blvd, Cleveland Heights, OH 44106"
